_runtime,time,_step,step,_timestamp,loss_boundary,l2_error,loss_interior,loss
5.361596584320068,1.097618818283081,0,0,1713887801.6083605,1.4507086606586714,3.1524451930985418,120.30927686545765,121.75998552611632
5.523332357406616,1.5983655452728271,1,1,1713887801.7700963,4.831612849331953,2.07627232852659,116.23545530732775,121.0670681566597
5.753008127212524,1.8282606601715088,2,2,1713887801.999772,2.4527347063964426,1.3152051282367987,67.99201707515925,70.4447517815557
6.000661373138428,2.0758962631225586,3,3,1713887802.2474253,1.2919268121297223,1.688792221622538,26.936591104832633,28.228517916962357
6.263859987258911,2.339085817337036,4,4,1713887802.510624,1.502163793087995,0.7894782405499903,16.88908529793604,18.391249091024036
6.54130220413208,2.6164779663085938,5,5,1713887802.7880661,0.5486650576630594,0.6010486093684415,2.7399704088651258,3.288635466528185
6.80070686340332,2.8758740425109863,6,6,1713887803.0474708,0.3373587814493472,0.5643779570622036,2.5863309762634996,2.9236897577128467
7.224328279495239,3.299546241760254,7,7,1713887803.4710922,0.24395805189398279,0.22452347405688128,0.715488577787553,0.9594466296815358
7.585825681686401,3.6610655784606934,8,8,1713887803.8325896,0.0434501181368827,0.1697211598502368,0.13319507734267058,0.1766451954795533
7.802171230316162,3.876091957092285,9,9,1713887804.0489352,0.0246722620885775,0.13235756444868463,0.12961808868725616,0.15429035077583367
8.340324640274048,4.4155433177948,10,10,1713887804.5870886,0.013871284577381243,0.08555105310315832,0.09620055651296094,0.11007184109034218
8.743155717849731,4.818394660949707,11,11,1713887804.9899197,0.005841581314252865,0.07878224097423041,0.06255516333697347,0.06839674465122633
9.317168235778809,5.392408847808838,12,12,1713887805.5639322,0.004517305267780036,0.04991882096354296,0.010396500426983323,0.01491380569476336
10.632974624633789,6.708209276199341,13,13,1713887806.8797386,0.0021144868546865026,0.03839730274417257,0.0071622212751869105,0.009276708129873412
11.247963666915894,7.32304048538208,14,14,1713887807.4947276,0.001245046061323587,0.032221765327181205,0.0062065068756192035,0.007451552936942791
12.551282405853271,8.626407623291016,15,16,1713887808.7980464,0.0006404791637084514,0.029237450769891846,0.005215323863567189,0.005855803027275641
13.568174123764038,9.643392324447632,16,17,1713887809.814938,0.0006883278124054525,0.02928130612104849,0.004643114576652442,0.005331442389057895
14.376274824142456,10.451499700546265,17,18,1713887810.6230388,0.0007255711803578693,0.03183367320886433,0.004138458089041703,0.004864029269399573
15.858590364456177,11.933817863464355,18,20,1713887812.1053543,0.0007543158957879957,0.030681324791982798,0.002796742200132777,0.003551058095920773
16.29367685317993,12.36868929862976,19,21,1713887812.5404408,0.0007355373913929755,0.0297960562771524,0.0021072426956440897,0.002842780087037065
17.94944953918457,14.024555444717407,20,23,1713887814.1962135,0.0005834432970103236,0.024118786864984292,0.00160810772660487,0.0021915510236151935
19.21965527534485,15.294881343841553,21,24,1713887815.4664192,0.0005086239588307013,0.023792329503949636,0.001376908152159001,0.0018855321109897023
21.103423833847046,17.178633451461792,22,26,1713887817.3501878,0.0004253509584590052,0.021968227222674455,0.0010557652320776593,0.0014811161905366646
22.71437978744507,18.789589166641235,23,28,1713887818.9611437,0.00041075381017348773,0.021067262596684806,0.0008093371715699566,0.0012200909817434444
23.98827838897705,20.063501596450806,24,31,1713887820.2350423,0.0003873695535516309,0.019699084226965285,0.0007509319999474062,0.001138301553499037
25.62694239616394,21.70215892791748,25,33,1713887821.8737063,0.0003527242620278892,0.017431174237195347,0.0007307466345681762,0.0010834708965960654
27.27779269218445,23.35299038887024,26,35,1713887823.5245566,0.00023359377600466998,0.013493247706950231,0.0006434325685051518,0.0008770263445098218
29.415332555770874,25.490556240081787,27,38,1713887825.6620965,0.00016831138887858754,0.013480816690339107,0.000447139105522884,0.0006154504944014715
32.765780210494995,28.840891361236572,28,41,1713887829.0125442,0.00012113178099982871,0.009868411989981656,0.00031306015734924164,0.0004341919383490703
34.55886125564575,30.633878231048584,29,44,1713887830.8056252,6.300260534296871e-05,0.008232602711346126,0.00020825272156663947,0.0002712553269096082
35.470893144607544,31.546106576919556,30,48,1713887831.717657,4.8865571912059534e-05,0.007425110570931287,0.00018020009033556332,0.00022906566224762285
36.49014735221863,32.56525754928589,31,51,1713887832.7369113,4.2882150196059305e-05,0.007117506556549265,0.00016650763508738414,0.00020938978528344345
38.55978488922119,34.635009765625,32,55,1713887834.8065488,3.633946666723996e-05,0.006774796232162467,0.0001374824392304014,0.00017382190589764135
41.950570583343506,38.02580142021179,33,59,1713887838.1973345,2.232202587305691e-05,0.004770681899760406,4.827076980442692e-05,7.059279567748382e-05
46.5570867061615,42.63229036331177,34,64,1713887842.8038507,8.105087697148427e-06,0.002905634525154376,2.4432675579788397e-05,3.253776327693682e-05
49.22901105880737,45.304234981536865,35,69,1713887845.475775,7.66058471591732e-06,0.0028215384691393642,1.942760783081581e-05,2.708819254673313e-05
52.80865287780762,48.88378119468689,36,74,1713887849.0554168,6.6599091677242855e-06,0.0028634831805920335,1.4029623867344079e-05,2.0689533035068366e-05
57.82686138153076,53.90174961090088,37,80,1713887854.0736253,4.78492185246536e-06,0.002343355601376779,1.0844668473269717e-05,1.5629590325735078e-05
59.799171686172485,55.874390840530396,38,86,1713887856.0459356,3.973805472709489e-06,0.0020863516828802863,9.559377132672621e-06,1.353318260538211e-05
63.857787132263184,59.93297553062439,39,93,1713887860.104551,2.7509954938595555e-06,0.0016082117319757847,7.006489961124716e-06,9.757485454984271e-06
70.02636742591858,66.1015853881836,40,100,1713887866.2731314,1.416182120665023e-06,0.0012261950805626891,4.400608658709222e-06,5.816790779374245e-06
