step,loss_boundary,loss_interior,_timestamp,time,l2_error,loss,_step,_runtime
0,0.029843192091417906,36.98753711057163,1712925832.6000326,2.9334540367126465,0.36992609958780764,37.01738030266305,0,24.706074476242065
1,0.029852743132630248,36.9873427101615,1712925832.9171846,4.3985443115234375,0.36994183232010197,37.01719545329413,1,25.023226499557495
2,0.029856885017037777,36.98730634511979,1712925833.2275338,4.708760023117065,0.9822706775415503,37.01716323013683,2,25.33357572555542
3,0.4915899462344542,33.13692656857048,1712925833.520597,5.001617431640625,0.985991375947145,33.628516514804936,3,25.626638889312744
4,0.4947094238822848,33.12818639877348,1712925833.8295896,5.3094422817230225,1.0675142175422765,33.622895822655764,4,25.93563151359558
5,0.5744900378880388,32.978986251886106,1712925834.1331294,5.614349842071533,1.2427605305680782,33.553476289774146,5,26.239171266555786
6,0.7779822099644441,30.745567162394387,1712925834.4360862,5.9173126220703125,1.2028060414214128,31.523549372358833,6,26.542128086090088
7,0.7333915316879016,29.793702161786268,1712925834.739131,6.220332145690918,1.1354014253887739,30.527093693474168,7,26.845172882080078
8,0.6639815952234842,27.81584181141865,1712925835.0434604,6.524676322937012,1.1216423378981788,28.479823406642133,8,27.149502277374268
9,0.6459483090220697,27.15377497720732,1712925835.3463066,6.827514886856079,1.095168030146707,27.79972328622939,9,27.452348470687866
10,0.6066889862394141,25.722285627966862,1712925835.66407,7.1448891162872314,1.0713963410367142,26.328974614206277,10,27.770111799240112
11,0.6053332369380601,16.602755401987043,1712925835.9713044,7.452470302581787,0.9215815285095443,17.2080886389251,11,28.077346324920654
12,0.43244702575204097,11.048086137004642,1712925836.2932553,7.774472236633301,0.7440669049304381,11.480533162756682,12,28.39929723739624
13,0.2863778840505102,5.383665001392886,1712925836.6251776,8.106359958648682,0.4387521968734119,5.670042885443396,13,28.73121953010559
14,0.10853886180482691,2.600560818172239,1712925836.932832,8.413952827453613,0.19311797035042724,2.709099679977066,14,29.03887391090393
16,0.016859486343168965,0.7808117758107893,1712925837.5428753,9.02385425567627,0.1254868898212015,0.7976712621539582,15,29.648917198181152
17,0.011610670669134631,0.5636757331738192,1712925837.8509905,9.332077980041504,0.12459982987514442,0.5752864038429539,16,29.957032442092896
18,0.011770385171674015,0.46174874995171655,1712925838.1624007,9.643624305725098,0.12786188732743417,0.47351913512339056,17,30.268442630767822
20,0.01224422821081328,0.32622031547818214,1712925838.7615337,10.242739915847778,0.12781613453529875,0.3384645436889954,18,30.867575645446777
21,0.011960139275266716,0.27937116389782923,1712925839.0685863,10.549814939498901,0.12481045867212157,0.29133130317309597,19,31.174628257751465
23,0.01144160602284601,0.2103413714737028,1712925839.6755674,11.156804084777832,0.12415376882218006,0.2217829774965488,20,31.781609296798706
24,0.01125106576584541,0.19092147284227076,1712925839.977864,11.45909571647644,0.12469821388282276,0.20217253860811618,21,32.083905935287476
26,0.01189415753862474,0.14968730349815743,1712925840.5764332,12.057692050933838,0.12563242954177642,0.16158146103678217,22,32.682475090026855
28,0.011187124283395024,0.12045714044394688,1712925841.1722405,12.65349006652832,0.12425324038220432,0.13164426472734192,23,33.27828240394592
31,0.010119745785165828,0.09485533679660667,1712925842.0660334,13.547189950942993,0.1149065491999841,0.10497508258177249,24,34.172075271606445
33,0.009850719334582708,0.08229956898869877,1712925842.6643572,14.145591259002686,0.11197206609588557,0.09215028832328147,25,34.77039909362793
35,0.009564400252964596,0.07424187512877968,1712925843.2718523,14.753097534179688,0.10670221917112607,0.08380627538174427,26,35.377894163131714
38,0.008527780095154133,0.0655802806761264,1712925844.194486,15.67569375038147,0.1017997785027889,0.07410806077128053,27,36.300527811050415
41,0.007990411950341156,0.05863583954881585,1712925845.1562254,16.637012720108032,0.09837464042702188,0.066626251499157,28,37.26226735115051
44,0.0075713934894032385,0.0531436884427297,1712925846.1386502,17.61992335319519,0.09644386759894102,0.06071508193213294,29,38.24469208717346
48,0.007149590088991987,0.046688502785172996,1712925847.3703942,18.85162615776062,0.09376062100920403,0.05383809287416498,30,39.476436138153076
51,0.007011193868088939,0.041869596825062555,1712925848.307824,19.789071321487427,0.0916385187488889,0.048880790693151495,31,40.41386580467224
55,0.006806075675832938,0.03808334818692608,1712925849.5488253,21.03006076812744,0.0903790676654065,0.04488942386275902,32,41.65486717224121
59,0.006472931914629701,0.0334775580400456,1712925850.792142,22.27328133583069,0.08893159717006474,0.0399504899546753,33,42.898183822631836
64,0.006052005796184764,0.030211707659387712,1712925852.3367274,23.817940711975098,0.08604005820034319,0.03626371345557248,34,44.442769289016724
69,0.005529548851382897,0.027375304935891274,1712925853.9226873,25.403910398483276,0.08244775448400346,0.032904853787274174,35,46.02872920036316
74,0.005026496203589827,0.025131682287867257,1712925855.462785,26.944055795669556,0.07813254667198093,0.030158178491457084,36,47.56882691383362
80,0.004335865187934678,0.02210881310132402,1712925857.4089162,28.88953161239624,0.07396814716287924,0.0264446782892587,37,49.51495814323425
86,0.0040381217784144574,0.019837728962175203,1712925859.3112233,30.792433977127075,0.07190526227840635,0.02387585074058966,38,51.41726517677307
93,0.003867140931489445,0.01697212368046115,1712925861.541179,33.022408962249756,0.07160068828533547,0.020839264611950598,39,53.647220849990845
100,0.00365432327130401,0.014853227713395185,1712925863.8038704,35.2845356464386,0.07024619660564223,0.018507550984699195,40,55.90991234779358
107,0.0034345680957255454,0.013780374095545217,1712925866.107119,37.58818340301514,0.06851094782427825,0.017214942191270764,41,58.2131609916687
115,0.003246235370727538,0.012768177047565462,1712925868.9290795,40.41015076637268,0.06679156908891459,0.016014412418293,42,61.03512144088745
