_step,_runtime,time,loss,l2_error,loss_boundary,loss_interior,step,_timestamp
0,5.570107936859131,1.2782518863677979,121.7599812787429,1.2632862718955122,1.4507086750632023,120.3092726036797,0,1714543771.128448
1,5.63761568069458,1.6561856269836426,108.43449490639442,3.4696178064149215,0.7541688090509263,107.6803260973435,1,1714543771.1959558
2,5.79606556892395,1.8137152194976807,100.0809625015885,4.7366067090726105,8.189007836894252,91.89195466469425,2,1714543771.3544056
3,5.9520556926727295,1.9708492755889893,28.30697329361579,3.4678118989455653,14.469361053875437,13.837612239740352,3,1714543771.5103958
4,6.096951723098755,2.1158039569854736,18.928425606232572,3.476486411078077,8.153398636995131,10.775026969237443,4,1714543771.6552918
5,6.270085096359253,2.2885427474975586,10.905050716492475,3.1006603163394657,8.102692933080856,2.8023577834116185,5,1714543771.8284252
6,6.4478442668914795,2.466693878173828,7.763528937378688,2.2893718263992104,6.437128475897043,1.3264004614816456,6,1714543772.0061843
7,6.66471266746521,2.6835432052612305,4.155654767766867,1.5735481653699608,3.502726113441956,0.652928654324911,7,1714543772.2230527
8,6.895856142044067,2.914649248123169,2.190245039201198,1.214549903505282,1.6580404734203869,0.532204565780811,8,1714543772.4541962
9,7.195027589797974,3.2139382362365723,1.3413688456677717,0.9361110226373454,0.9900775494957146,0.3512912961720572,9,1714543772.7533677
10,7.407585859298706,3.4264535903930664,0.989106201952682,0.6767314248831617,0.5885558644869545,0.4005503374657275,10,1714543772.965926
11,7.650737524032593,3.669581413269043,0.44952916137872667,0.47604324808264253,0.3014708037101492,0.14805835766857742,11,1714543773.2090776
12,7.927454471588135,3.9462666511535645,0.24927851957706149,0.29235676179686376,0.14859811780290988,0.10068040177415162,12,1714543773.4857945
13,8.263979434967041,4.282803773880005,0.12935904550601973,0.2160654312181282,0.05738924360380675,0.071969801902213,13,1714543773.8223195
14,8.636466264724731,4.655295372009277,0.07568922739007697,0.1612058551363571,0.03282448640107412,0.04286474098900284,14,1714543774.1948063
15,8.898364782333374,4.917213678359985,0.0626601617492874,0.12805735166741802,0.019939582268583802,0.0427205794807036,15,1714543774.4567049
16,9.204825401306152,5.223652362823486,0.03872177244925817,0.11904315456276011,0.014474608337982907,0.02424716411127526,16,1714543774.7631655
17,9.533686637878418,5.552509784698486,0.0322603337649199,0.1060423885460525,0.012707231055733096,0.019553102709186806,17,1714543775.0920267
18,9.951297760009766,5.970075368881226,0.025520134590014922,0.09254130082847213,0.010602321089865651,0.014917813500149271,18,1714543775.5096378
19,10.443009853363037,6.461884021759033,0.02016167661306901,0.0803908370006925,0.008500857573080344,0.011660819039988665,19,1714543776.00135
20,10.996444702148438,7.015300989151001,0.015897461351001067,0.07038362284152458,0.006704241077173163,0.009193220273827903,20,1714543776.5547848
21,11.581078052520752,7.599897861480713,0.012970164972229897,0.05896252154895964,0.005228576943939727,0.007741588028290169,21,1714543777.1394181
22,12.11177921295166,8.130592346191406,0.01070112302028169,0.05102215463438699,0.0037813703911930576,0.006919752629088632,22,1714543777.6701193
23,12.939190864562988,8.958041667938232,0.008049098429945181,0.04526465967465138,0.002834738680574387,0.005214359749370795,23,1714543778.497531
24,13.72278380393982,9.741519927978516,0.007133337848910007,0.04008478235226276,0.002181979359800945,0.004951358489109063,24,1714543779.2811239
25,14.487321376800537,10.506151914596558,0.006286405450843417,0.03681604210278015,0.0016486868308078773,0.00463771862003554,25,1714543780.0456614
26,14.880942344665527,10.899776220321655,0.005752754931978737,0.03293965559533049,0.0013477440814263142,0.004405010850552423,26,1714543780.4392824
27,15.138514280319214,11.157150030136108,0.005167216130196635,0.030628122086890357,0.001066057217748067,0.004101158912448568,27,1714543780.6968544
28,16.0961434841156,12.11491322517395,0.0048169918338285735,0.02860823744857586,0.0009187565107975055,0.003898235323031068,28,1714543781.6544836
29,16.898696422576904,12.917498111724854,0.003963593997412767,0.025673374303732496,0.0007053139652224446,0.0032582800321903217,29,1714543782.4570365
30,17.786746740341187,13.805588960647583,0.0032796753292492443,0.022699395957813895,0.00046177630328347223,0.002817899025965772,30,1714543783.3450868
31,19.056724309921265,15.075534105300903,0.002697854136536901,0.021238283490319476,0.0003537993347961034,0.002344054801740798,31,1714543784.6150644
32,19.44730257987976,15.466131687164307,0.0022957106891246396,0.01862651175665844,0.00029675448933987676,0.0019989561997847626,32,1714543785.0056427
33,19.72536611557007,15.744203805923462,0.002128498039874871,0.017666034784317747,0.0002587349582005439,0.0018697630816743272,33,1714543785.2837062
34,20.281805276870728,16.300636053085327,0.0021149658943252062,0.01638224780634121,0.00024590280273965425,0.001869063091585552,34,1714543785.8401453
35,21.550170421600342,17.56893491744995,0.0018574758807588965,0.018283510279393993,0.00023450843281579064,0.001622967447943106,35,1714543787.1085105
