_step,l2_error,_runtime,loss_boundary,loss_interior,step,_timestamp,loss,time
0,3.422285757467905,4.3645853996276855,0.029843192091417906,36.28802142882445,0,1711485075.4945283,36.31786462091587,0.845482587814331
1,1.9936835099258718,4.412933826446533,6.095107218443524,25.212201225619285,1,1711485075.5428767,31.30730844406281,0.8939404487609863
2,0.22207285801787405,4.484076499938965,2.0673536908425705,21.09324709967732,2,1711485075.6140194,23.16060079051989,0.9650740623474121
3,0.9902877084734256,4.59477424621582,0.027793904406473596,19.375992145294237,3,1711485075.7247171,19.40378604970071,1.0757920742034912
4,0.9897454603550889,4.724676609039307,0.4790532194923952,16.788355799852198,4,1711485075.8546195,17.267409019344594,1.2058000564575195
5,1.4944886450045165,4.862538576126099,0.505392755841981,16.476328639175996,5,1711485075.9924815,16.981721395017978,1.3437068462371826
6,1.4100596140643282,5.011216878890991,1.1669150864287159,14.102449633101289,6,1711485076.1411598,15.269364719530005,1.4923546314239502
7,1.1712797289540267,5.152549505233765,1.0705381440891653,12.888955859457118,7,1711485076.2824924,13.959494003546283,1.633704662322998
8,1.102723016214948,5.316669225692749,0.816418363153945,10.727255753654175,8,1711485076.4466121,11.54367411680812,1.7978172302246094
9,0.9710812916877635,5.4861900806427,0.7736435326127532,9.073043160183914,9,1711485076.616133,9.846686692796668,1.9673340320587158
10,0.9892398033694321,5.681744813919067,0.6330622658204045,8.9367742170515,10,1711485076.8116877,9.569836482871905,2.162848711013794
11,0.6962926479252117,5.9086220264434814,0.6861677449413661,6.06915256037561,11,1711485077.038565,6.755320305316976,2.3897435665130615
12,0.627638363295684,6.169113636016846,0.38501046636576025,5.025378791989325,12,1711485077.2990565,5.410389258355085,2.648909330368042
13,0.4865206558132141,6.457216501235962,0.2775071342393479,4.1127754944219586,13,1711485077.5871594,4.390282628661306,2.938307046890259
14,0.6278390993653101,6.8118157386779785,0.175595488963735,3.473364770939012,14,1711485077.9417586,3.648960259902747,3.2929491996765137
15,0.3539125762396752,7.1450159549713135,0.23516715071348585,2.7605304086800846,15,1711485078.2749588,2.9956975593935704,3.626155138015747
16,0.30395118934588233,7.505605936050415,0.09894502067557717,2.282506247430976,16,1711485078.6355488,2.381451268106553,3.9867208003997803
17,0.2596881541682242,7.890307903289795,0.07550754118241403,2.141931860922275,17,1711485079.0202508,2.217439402104689,4.371371507644653
18,0.24607384249868308,8.334028720855713,0.055588976922927226,1.6133366703072884,18,1711485079.4639716,1.6689256472302156,4.8151695728302
19,0.3314584458994732,8.616103649139404,0.041487364387907594,1.466369628061636,19,1711485079.7460465,1.5078569924495437,5.097229719161987
20,0.2518374744609347,9.127727746963501,0.07033613430365936,1.1266159401492033,20,1711485080.2576706,1.1969520744528626,5.608866930007935
21,0.2395633380410086,9.594652891159058,0.05081496992041971,0.8670009759072527,21,1711485080.7245958,0.9178159458276723,6.075791835784912
22,0.2459239185026136,10.033874273300171,0.04761707297878396,0.7682018189715274,22,1711485081.1638172,0.8158188919503113,6.514978408813477
23,0.28755393438915855,11.22235631942749,0.06397504367011549,0.4714068541832138,24,1711485082.3522992,0.5353818978533293,7.7031941413879395
24,0.26059432852281283,11.940326452255249,0.062102743405266295,0.3727421955877621,25,1711485083.0702693,0.4348449389930284,8.421398878097534
25,0.2697961881393216,12.439085245132446,0.0523838910610194,0.33956455313680045,26,1711485083.5690281,0.3919484441978198,8.920154571533203
26,0.2789914407667308,14.055037260055542,0.05594608424991225,0.2584990707656353,28,1711485085.1849802,0.31444515501554754,10.53618860244751
27,0.2646451601548726,14.393758058547974,0.05320375351244285,0.24179905194766402,29,1711485085.523701,0.2950028054601069,10.874882459640503
28,0.23616649401327885,16.547987461090088,0.04842082305553806,0.22292252410246832,31,1711485087.6779304,0.2713433471580064,13.029115438461304
29,0.2445688939105465,17.291043758392334,0.0472248742956227,0.1933786637848662,32,1711485088.4209867,0.2406035380804889,13.772187948226929
