_runtime,l2_error,loss,loss_boundary,_step,_timestamp,step,loss_interior,time
4.632782697677612,1.339643617596742,121.7103350429466,1.6761577093521625,0,1730085068.9173777,0,120.03417733359443,3.2907519340515137
4.69664740562439,1.0035786282636086,118.2084136149918,0.9179360404651914,1,1730085068.9812424,1,117.2904775745266,4.057197332382202
4.7712366580963135,1.5840007773353701,105.99659136057517,0.4900509620995807,2,1730085069.0558317,2,105.50654039847558,4.131850719451904
4.881381034851074,2.361249586253843,60.78214937965993,1.6824032711450922,3,1730085069.165976,3,59.099746108514836,4.242088079452515
5.014831781387329,2.2399822295909293,20.990735147466225,3.6028455558506836,4,1730085069.2994268,4,17.38788959161554,4.37562108039856
5.1395814418792725,2.1026594569578125,13.087741974671257,3.6020571453815267,5,1730085069.4241765,5,9.48568482928973,4.500342607498169
5.280241966247559,1.969373608499638,9.194472885565325,2.9854399320655265,6,1730085069.564837,6,6.209032953499799,4.640959024429321
5.429457187652588,1.6909035320239947,7.025343381137905,2.380137930730051,7,1730085069.7140522,7,4.645205450407854,4.788930416107178
5.584810733795166,1.2042455592562744,5.6486599003657645,2.0376213388505198,8,1730085069.8694057,8,3.6110385615152443,4.945558071136475
5.765171527862549,0.7642638256803391,3.313920719385532,1.0313345975155432,9,1730085070.0497665,9,2.282586121869989,5.125908374786377
5.95741081237793,0.4641188236287595,1.8933413073173098,0.40257542900117776,10,1730085070.2420058,10,1.490765878316132,5.318172216415405
6.167615652084351,0.3320637481819225,0.9269963718204135,0.14531465404128283,11,1730085070.4522107,11,0.7816817177791306,5.528350830078125
6.426417589187622,0.2157782389398157,0.4479876958640806,0.08179089475364866,12,1730085070.7110126,12,0.36619680111043196,5.787156820297241
6.69894552230835,0.2236732331047537,0.3316089773814911,0.041152544310358,13,1730085070.9835405,13,0.29045643307113306,6.059739589691162
6.917951822280884,0.2118722538156773,0.2172554731307416,0.047335268390655376,14,1730085071.2025468,14,0.1699202047400862,6.278659343719482
7.1432204246521,0.16606174429351028,0.2207549658085137,0.035613851060849515,15,1730085071.4278154,15,0.18514111474766418,6.5039873123168945
7.426601409912109,0.14567080612872552,0.10886922651300737,0.025042754817988462,16,1730085071.7111964,16,0.08382647169501892,6.787350177764893
7.752423286437988,0.11217188128653685,0.06729865798014026,0.016162593019794946,17,1730085072.0370183,17,0.051136064960345305,7.113148212432861
8.122443675994873,0.08647112004137693,0.04504348178930504,0.014101462079084382,18,1730085072.4070387,18,0.030942019710220658,7.4831719398498535
8.512417554855347,0.0684705036731939,0.029655699726368674,0.0073329763714047105,19,1730085072.7970126,19,0.022322723354963964,7.873104810714722
8.913187503814697,0.05784588475680608,0.023356478591360256,0.004537632406399938,20,1730085073.1977825,20,0.018818846184960318,8.273952960968018
9.350181102752686,0.049443825883011924,0.015376936077806613,0.002993243673610326,21,1730085073.634776,21,0.012383692404196286,8.710911512374878
9.836177825927734,0.041592274716149236,0.01102367982194219,0.0029490643042750222,22,1730085074.1207728,22,0.008074615517667166,9.19693922996521
10.231842994689941,0.03447597458611917,0.0106175308671913,0.0018239025485096423,23,1730085074.516438,23,0.008793628318681657,9.592543601989746
10.787516117095947,0.027303673995723744,0.009532332021319798,0.0011430762175917066,24,1730085075.0721111,24,0.008389255803728091,10.148251056671143
11.492089033126831,0.02162105544330243,0.004212903584270968,0.0006986500419854221,25,1730085075.776684,25,0.0035142535422855456,10.852839946746826
12.024890184402466,0.01594502838609334,0.004242761121156003,0.0005995430730943577,26,1730085076.3094852,26,0.0036432180480616455,11.385614395141602
12.757524013519287,0.011106321137028499,0.0037613766078122856,0.00029187097199173196,27,1730085077.042119,27,0.0034695056358205537,12.11823320388794
13.700336217880249,0.008897377224550638,0.0027126994224974817,0.00014571861781833824,28,1730085077.9849312,28,0.0025669808046791436,13.061001539230347
14.772923231124878,0.007053344357848196,0.002592717120164207,6.631795909724723e-05,29,1730085079.0575182,29,0.00252639916106696,14.133629083633423
15.630395889282227,0.006613344811530988,0.0025522259781565917,3.963451672181911e-05,30,1730085079.914991,30,0.0025125914614347726,14.99109172821045
16.60262179374695,0.00760653437759989,0.0024788026266551514,4.1197136677699166e-05,31,1730085080.8872168,31,0.002437605489977452,15.963160514831543
17.727883338928223,0.007442454307378389,0.0021243753940829316,4.773945675217649e-05,32,1730085082.0124784,32,0.002076635937330755,17.088619470596313
18.744791269302368,0.007345805994835769,0.0019413529953213157,5.9175703579793556e-05,33,1730085083.0293863,33,0.0018821772917415223,18.105525016784668
19.86447525024414,0.008077922065182895,0.001861638909170186,4.675114697092106e-05,34,1730085084.1490703,34,0.001814887762199265,19.225142240524292
20.989466667175293,0.007836430401437736,0.0018087935705216464,6.753155910860231e-05,35,1730085085.2740617,35,0.001741262011413044,20.350167751312256
22.199545860290527,0.007931601304072038,0.001857686951982928,6.42637775138735e-05,36,1730085086.4841409,36,0.0017934231744690544,21.560062885284424
23.34686279296875,0.008284527465058644,0.0018657726736555234,5.615083820702747e-05,37,1730085087.6314578,37,0.001809621835448496,22.707481622695923
24.680522441864014,0.008310497420986118,0.0018026565039022146,6.0261533497032614e-05,38,1730085088.9651175,38,0.001742394970405182,24.041245222091675
25.86280584335327,0.00821186799598212,0.0018396662596873827,5.627570281698634e-05,39,1730085090.1474009,39,0.0017833905568703963,25.223525047302246
26.926740884780884,0.008044284989476118,0.0018025572470538678,6.59044242313968e-05,40,1730085091.211336,40,0.001736652822822471,26.28744888305664
29.600202798843384,0.009540158003721497,0.0017369736040835887,7.449072697551536e-05,41,1730085093.8847978,42,0.0016624828771080733,28.960822582244873
