l2_error,loss_interior,_step,_runtime,_timestamp,step,time,loss_boundary,loss
2.3377777863386595,36.98753711057163,0,5.430546998977661,1712905722.130301,0,1.4527232646942139,0.029843192091417906,37.01738030266305
0.6500914115617243,28.618542613745994,1,5.584125518798828,1712905722.2838795,1,1.8453521728515625,2.8843632654871367,31.502905879233133
1.1552687889108293,26.612411155911666,2,5.737501621246338,1712905722.4372556,2,1.9987006187438965,0.25130744524465526,26.86371860115632
0.4669724927358354,20.77576543149573,3,5.894043922424316,1712905722.593798,3,2.1552677154541016,0.7119292870115632,21.487694718507296
0.5585322410359493,18.457735308216463,4,6.0461106300354,1712905722.7458646,4,2.3073532581329346,0.1358132712617216,18.593548579478185
0.4484029912830149,17.209339997262962,5,6.195920944213867,1712905722.895675,5,2.457052707672119,0.1870629977209815,17.396402994983944
0.6372230917987979,16.324520317799475,6,6.346895456314087,1712905723.0466495,6,2.6081247329711914,0.1299578924047886,16.454478210204265
0.48968969693782244,14.28023211639701,7,6.502142429351807,1712905723.2018964,7,2.763296604156494,0.23051329779113708,14.510745414188147
0.4467437412836165,13.552434868030018,8,6.654971122741699,1712905723.3547251,8,2.9148874282836914,0.15182458318463604,13.704259451214654
0.48429478597322917,12.95612269030198,9,6.807299852371216,1712905723.5070539,9,3.0685019493103027,0.13081641493578502,13.086939105237764
0.4679779707327151,12.537950476818573,10,6.957495212554932,1712905723.6572492,10,3.2187840938568115,0.14876985784246807,12.686720334661041
0.4886048439514224,12.228781818153584,11,7.1082494258880615,1712905723.8080034,11,3.369497537612915,0.1421108178298179,12.370892635983402
0.4592705429844988,11.88939330444414,12,7.256361722946167,1712905723.9561157,12,3.5176336765289307,0.1516924598154712,12.041085764259611
0.4977979764035745,11.672541708163335,13,7.407144069671631,1712905724.106898,13,3.6684417724609375,0.1392373741870797,11.811779082350414
0.4630397513088908,11.393695988817411,14,7.558606863021851,1712905724.2583609,14,3.8198342323303223,0.15673331217492475,11.550429300992336
0.46719024774688717,10.972557623358805,15,7.855953693389893,1712905724.5557077,16,4.117196559906006,0.1598349009917614,11.132392524350566
0.5029638928509499,10.784737025792472,16,8.006594181060791,1712905724.7063482,17,4.267773151397705,0.14531336610815243,10.930050391900624
0.4722434456039041,10.588299632861895,17,8.154825448989868,1712905724.8545794,18,4.416109800338745,0.16158005151083166,10.749879684372727
0.47763699534755083,10.238727096962098,18,8.467097997665405,1712905725.166852,20,4.728079080581665,0.16212647315746664,10.400853570119564
0.5363519734864336,10.102599063439712,19,8.618963718414307,1712905725.3187177,21,4.880023002624512,0.1527559135476609,10.255354976987373
0.49578510323464525,9.66316400647335,20,8.920358896255493,1712905725.620113,23,5.181583404541016,0.15792891089706645,9.821092917370416
0.49197930399882944,9.549522645921419,21,9.075834035873413,1712905725.775588,24,5.3370606899261475,0.1634920590606182,9.713014704982037
0.4955846819672915,9.175959511177423,22,9.37555980682373,1712905726.0753138,26,5.636816024780273,0.169748489555591,9.345708000733014
0.5143396649455156,8.970095842556113,23,9.681642055511475,1712905726.381396,28,5.9428770542144775,0.1711125672689162,9.141208409825028
0.5190808173575571,8.359822024342447,24,10.12195348739624,1712905726.8217075,31,6.383175849914551,0.17786893363469614,8.537690957977144
0.5233839910967402,8.119526905444234,25,10.42882251739502,1712905727.1285765,33,6.689826011657715,0.18143771654764934,8.300964621991882
0.5272759062680338,7.893127016694057,26,10.737173795700073,1712905727.4369278,35,6.99812126159668,0.18444209308003617,8.077569109774092
0.5239396038669017,7.580113542718146,27,11.20571494102478,1712905727.905469,38,7.466844797134399,0.19078722837490733,7.7709007710930535
0.5351327518778448,7.267999402690135,28,11.703518629074097,1712905728.4032726,41,7.96473240852356,0.19167610804643656,7.459675510736572
0.5327293642045862,6.875571928511319,29,12.162611246109009,1712905728.8623652,44,8.423845291137695,0.1992856912823948,7.074857619793714
0.5374657847126225,6.553561149313283,30,12.765975713729858,1712905729.4657297,48,9.02720022201538,0.21210316355120137,6.765664312864484
0.5431472093043724,6.33436563909484,31,13.219627857208252,1712905729.9193819,51,9.48087191581726,0.19966772653106143,6.534033365625902
0.5460210197397196,5.962992164049822,32,13.820716857910156,1712905730.5204709,55,10.081716060638428,0.20163291402770525,6.164625078077527
0.5484545373721421,5.627933771617591,33,14.41112756729126,1712905731.1108816,59,10.672280311584473,0.20342040560986724,5.831354177227458
0.5422455544521122,5.245089606776387,34,15.161194562911987,1712905731.8609486,64,11.422449588775635,0.20865289746484939,5.4537425042412355
0.5516884268184421,4.9170022208031545,35,15.90609335899353,1712905732.6058474,69,12.167294025421143,0.20756928991602536,5.12457151071918
0.5444319606492135,4.629052630466798,36,16.657952785491943,1712905733.3577068,74,12.919140577316284,0.211130060988995,4.840182691455793
0.5441500409058075,4.281945646932115,37,17.543900966644287,1712905734.243655,80,13.805143117904663,0.21145162458873915,4.4933972715208546
0.5396098425974337,3.9871836132275553,38,18.431722164154053,1712905735.1314762,86,14.692959785461426,0.21023643916447082,4.197420052392026
0.5440926022020701,3.60590618001511,39,19.480149745941162,1712905736.1799037,93,15.741384744644165,0.2012733152195042,3.8071794952346143
0.529969353045632,3.2917656109608244,40,20.529193878173828,1712905737.2289479,100,16.790388822555542,0.2007755993750095,3.4925412103358338
0.5347051225277487,3.074167639855009,41,21.590556144714355,1712905738.2903101,107,17.85154414176941,0.1940135710230162,3.2681812108780255
0.5271886957728819,2.8730313059996977,42,22.791112184524536,1712905739.4908662,115,19.05227518081665,0.18755891371602895,3.060590219715727
