loss,_step,loss_boundary,_runtime,loss_interior,step,_timestamp,time,l2_error
121.75998552611632,0,1.4507086606586714,7.232846975326538,120.30927686545765,0,1713885350.483738,1.0270023345947266,1.526653642887683
118.9564301975276,1,1.308521777510205,7.244700908660889,117.64790842001739,1,1713885350.4955919,2.0158181190490723,1.3901773734630516
115.1236536856558,2,1.0381167867300698,7.25317120552063,114.08553689892572,2,1713885350.5040622,2.024757146835327,1.1456903918785162
109.46905778038632,3,0.6689053063209847,7.259827375411987,108.80015247406534,3,1713885350.5107183,2.0314323902130127,0.7253402139823147
101.65556476073944,4,0.2507452860881163,7.266080617904663,101.40481947465132,4,1713885350.5169716,2.037741184234619,0.4550722853256716
91.33519824075015,5,0.12066941582988314,7.272255897521973,91.21452882492027,5,1713885350.5231469,2.0438618659973145,1.1803711802059271
78.59263885055981,6,0.7936607029484944,7.278510570526123,77.79897814761131,6,1713885350.5294015,2.0500829219818115,1.8812071306192986
63.52601346523064,7,1.9980695083177393,7.2846033573150635,61.5279439569129,7,1713885350.5354943,2.05623197555542,2.3124118656465296
46.89942503992442,8,3.117011876619102,7.290929079055786,43.782413163305314,8,1713885350.54182,2.0625,2.728301830536666
31.14366464447775,9,4.465348527815036,7.296726226806641,26.678316116662714,9,1713885350.5476172,2.0683135986328125,3.378876317401229
19.749337785488876,10,6.749967396881352,7.30237889289856,12.999370388607524,10,1713885350.5532699,2.0740139484405518,3.5000767854422357
15.991246801423724,11,7.693629250646589,7.308469772338867,8.297617550777135,11,1713885350.5593607,2.0800676345825195,3.944791037150801
29.046429747959515,12,9.409531125710394,7.3184826374053955,19.63689862224912,13,1713885350.5693736,2.0901083946228027,3.664380675264241
25.055795537250418,13,8.950079672243417,7.325771808624268,16.105715865007,14,1713885350.5766628,2.0961906909942627,3.436641697965833
23.41295983640469,14,8.05301729143434,7.332253932952881,15.359942544970346,15,1713885350.583145,2.103851318359375,3.7466657200682008
20.110815251645207,15,10.071629941465,7.344994306564331,10.039185310180205,17,1713885350.5958853,2.116154193878174,3.5057844295891707
17.90664577932431,16,7.840879725103192,7.351487636566162,10.06576605422112,18,1713885350.6023786,2.1230828762054443,3.0065202867587115
16.80259782163015,17,5.865803659963193,7.362924814224243,10.936794161666958,20,1713885350.6138158,2.1344099044799805,3.109261773823152
13.82393346078343,18,5.825313422516799,7.37470817565918,7.998620038266631,22,1713885350.6255991,2.14619517326355,2.6558918061209877
11.184535959885213,19,4.756861370885481,7.385493755340576,6.427674588999731,24,1713885350.6363847,2.1569771766662598,2.761904403345338
9.86684628322336,20,4.759487270120363,7.396328687667847,5.107359013102997,26,1713885350.6472197,2.167801856994629,2.5752880574313544
9.011312164057674,21,4.066786348230747,7.411706447601318,4.944525815826927,29,1713885350.6625974,2.183023452758789,2.4239822728631224
8.228474847325815,22,3.001422462579778,7.42215371131897,5.227052384746037,31,1713885350.6730447,2.193682909011841,1.8774504101037037
7.3842498890906105,23,1.969965519013095,7.43346643447876,5.414284370077516,34,1713885350.6843574,2.2050743103027344,1.6305041292159006
6.713642983741137,24,1.7987769443787822,7.443940162658691,4.914866039362354,37,1713885350.6948311,2.215571403503418,1.6475878596452225
6.448967916045719,25,1.5521824214249886,7.457767724990845,4.8967854946207305,41,1713885350.7086587,2.229297399520874,1.44421503059163
5.9407705350640985,26,1.2497744778044733,7.471300363540649,4.690996057259626,45,1713885350.7221913,2.243001699447632,1.263015192370804
5.417311865454812,27,1.07950710122928,7.4884068965911865,4.337804764225531,49,1713885350.7392979,2.2601430416107178,1.2631893253558983
4.957598668678408,28,1.0555565472010682,7.504944562911987,3.902042121477339,54,1713885350.7558355,2.276625156402588,1.2324355524992043
4.476228861386194,29,0.984947268135674,7.522018671035767,3.49128159325052,59,1713885350.7729096,2.2936811447143555,1.1999556499729478
3.990193438583384,30,0.9031803674183659,7.538215637207031,3.087013071165018,64,1713885350.7891066,2.309941530227661,1.1081918610345747
3.3424296988682776,31,0.781130060431896,7.557764291763306,2.5612996384363815,70,1713885350.8086553,2.329252243041992,1.045148901593673
2.548238156785819,32,0.5480997284406076,7.580566644668579,2.0001384283452115,77,1713885350.8314576,2.3522415161132812,0.8539824414773645
1.8142189387841752,33,0.40266597760151546,7.6036131381988525,1.4115529611826596,84,1713885350.854504,2.3753058910369873,0.7009786603294562
1.1711901900683064,34,0.22691521632366815,7.628573894500732,0.9442749737446383,92,1713885350.8794649,2.4002671241760254,0.5320471546370622
0.7489141082415122,35,0.14427592939980458,7.659015417098999,0.6046381788417076,100,1713885350.9099064,2.430731773376465,0.40215412450128524
0.49882685853680475,36,0.09566708011270217,7.686001539230347,0.4031597784241026,109,1713885350.9368925,2.4578027725219727,0.3262965378476568
0.6028638462838365,37,0.0835441080873693,7.721402645111084,0.5193197381964672,120,1713885350.9722936,2.4931442737579346,0.287992231133591
0.3870334121800006,38,0.07138891386505375,7.755375385284424,0.31564449831494684,131,1713885351.0062664,2.5270979404449463,0.2748255735747148
0.28124924944619295,39,0.05898926458596148,7.792547941207886,0.22225998486023146,143,1713885351.043439,2.564317464828491,0.2609399667262204
0.21707972198473152,40,0.05299147586083132,7.838630199432373,0.16408824612390022,156,1713885351.0895212,2.6102383136749268,0.2356284390996961
0.18392641149558767,41,0.046219459787464216,7.885641098022461,0.13770695170812344,171,1713885351.136532,2.65738582611084,0.21901534255093663
0.33309030399435735,42,0.04714771639097431,7.9359095096588135,0.28594258760338304,187,1713885351.1868005,2.7076737880706787,0.22166321858720806
