_step,loss,time,step,_runtime,l2_error,loss_interior,_timestamp,loss_boundary
0,121.7599812787429,1.548248052597046,0,5.991491079330444,1.5633335666840398,120.3092726036797,1714534637.822483,1.4507086750632023
1,121.75390395794875,1.858306884765625,1,6.050475835800171,1.5632200368790423,120.30342646557885,1714534637.8814678,1.450477492369905
2,121.75293741305066,1.9164903163909912,2,6.1085264682769775,1.5630899036515638,120.30269651563248,1714534637.9395185,1.4502408974181793
3,121.75202249751061,1.9744675159454346,3,6.166546583175659,1.5563688277101064,120.30204925290607,1714534637.9975386,1.4499732446045381
4,121.72665703461712,2.0332627296447754,4,6.226586818695068,1.546700890491041,120.29002706500752,1714534638.0575788,1.4366299696096037
5,121.68899185567324,2.095158576965332,5,6.287394762039185,1.546700890491041,120.27151976732331,1714534638.1183867,1.4174720883499186
6,121.68899185567324,2.155505657196045,6,6.3481152057647705,1.543378439276314,120.27151976732331,1714534638.1791072,1.4174720883499186
7,121.67898256154469,2.2181990146636963,7,6.411001443862915,1.5379085699023225,120.26817825237694,1714534638.2419934,1.4108043091677447
8,121.65841307907874,2.2816710472106934,8,6.47442102432251,1.5290465201802852,120.25878692861235,1714534638.305413,1.399626150466384
9,121.5861023294292,2.3432252407073975,9,6.535773754119873,1.5185728055383405,120.20541957369741,1714534638.3667657,1.3806827557317822
10,121.29582100723695,2.4007201194763184,10,6.59303617477417,1.5171282631977465,119.94177431780261,1714534638.4240282,1.3540466894343481
11,121.21688053520565,2.4584784507751465,11,6.651027679443359,1.517188119708783,119.8700804744023,1714534638.4820197,1.3468000608033517
12,121.18518523308155,2.5187203884124756,12,6.711338043212891,1.517443135653908,119.84284892358828,1714534638.54233,1.3423363094932765
13,121.1672909985883,2.5782766342163086,13,6.770897388458252,1.5180911405094422,119.82653399362354,1714534638.6018894,1.3407570049647564
14,121.06732266829601,2.6390440464019775,14,6.831653118133545,1.5179408370820513,119.73259356386583,1714534638.662645,1.3347291044301792
15,120.99118380094451,2.698784351348877,15,6.891385078430176,1.5168742851725496,119.66325414610924,1714534638.722377,1.3279296548352708
16,120.88386612452577,2.7587568759918213,16,6.95136022567749,1.513183394323194,119.5637532278349,1714534638.7823522,1.320112896690875
17,120.55378375053408,2.8186888694763184,17,7.011316776275635,1.5059071560919275,119.25174334692446,1714534638.8423088,1.302040403609625
18,120.13714788718151,2.881479501724243,18,7.074028491973877,1.5053233340727348,118.87328541489988,1714534638.9050205,1.2638624722816367
19,120.11967532647785,2.940147876739502,19,7.132824659347534,1.5033040856548516,118.85980285409882,1714534638.9638166,1.2598724723790364
20,119.95859785071157,3.0006628036499023,20,7.193305253982544,1.501179596908779,118.71181720051945,1714534639.0242972,1.246780650192122
21,119.76929338634928,3.060197114944458,21,7.252743482589722,1.4938441952798114,118.53373721167621,1714534639.0837355,1.2355561746730646
22,119.38760176474287,3.1226916313171387,22,7.315188407897949,1.4809253409498007,118.17506284793136,1714534639.1461804,1.212538916811509
23,119.19870281695931,3.1826369762420654,23,7.375122308731079,1.4729154545686538,118.01372478236277,1714534639.2061143,1.1849780345965337
24,119.13342629166496,3.24167537689209,24,7.434209585189819,1.454564632708171,117.96288254393986,1714534639.2652016,1.1705437477251095
25,118.9537961214324,3.3205177783966064,25,7.517163515090942,1.445159127156132,117.81199411346702,1714534639.3481555,1.1418020079653872
26,118.82526890666563,3.3881685733795166,26,7.580594778060913,1.4272904841570617,117.69660201131579,1714534639.4115868,1.1286668953498389
27,118.52077325417827,3.448291540145874,27,7.640925407409668,1.4188685198748354,117.4147521300965,1714534639.4719174,1.1060211240817608
28,118.39937762662963,3.508697509765625,28,7.70129656791687,1.4017182554899337,117.30327200075442,1714534639.5322886,1.0961056258752042
29,118.05995040375053,3.568211317062378,29,7.760839462280273,1.3113977875108458,116.98345390698906,1714534639.5918314,1.0764964967614723
30,116.67569401855746,3.6324408054351807,30,7.825088262557983,1.231240629300836,115.69429178230143,1714534639.6560802,0.9814022362560348
31,115.1108643312859,3.708625555038452,31,7.901306867599487,1.2078436520930362,114.18867979278544,1714534639.7322989,0.9221845385004612
