step,_step,loss,_runtime,time,loss_interior,loss_boundary,_timestamp
0,0,36.316366762237806,4.512026071548462,0.916999340057373,36.28802142882445,0.02834533341335681,1711474976.164483
1,1,35.71120319457224,4.517703056335449,0.9228129386901855,35.6155972675076,0.09560592706464138,1711474976.17016
2,2,35.14833586735018,4.520901918411255,0.9261014461517334,34.94494081174503,0.2033950556051484,1711474976.173359
3,3,34.62079903452286,4.524198532104492,0.929389238357544,34.272048481376075,0.3487505531467862,1711474976.1766555
4,4,34.12126548924487,4.528861999511719,0.9337708950042725,33.59418905153412,0.5270764377107459,1711474976.181319
5,5,33.644289017181904,4.533827781677246,0.9388914108276367,32.9083528505497,0.7359361666322055,1711474976.1862848
6,6,33.18626319155264,4.538269519805908,0.9433376789093018,32.212663253904566,0.9735999376480728,1711474976.1907265
7,7,32.744871568788355,4.542483329772949,0.9476094245910645,31.50712633812522,1.2377452306631327,1711474976.1949403
8,8,32.31882509765474,4.546422004699707,0.9515573978424072,30.79432013140123,1.5245049662535066,1711474976.198879
9,9,31.90706703736185,4.550313234329224,0.9554469585418701,30.07946280758406,1.8276042297777888,1711474976.2027702
10,10,31.50824363077391,4.554407835006714,0.9595246315002441,29.369816078435317,2.1384275523385945,1711474976.2068648
11,11,31.12040005984221,4.558208465576172,0.9633557796478271,28.674175806995603,2.446224252846607,1711474976.2106655
12,12,30.740663816516975,4.562025785446167,0.9671597480773926,28.002235627286073,2.7384281892309006,1711474976.2144828
14,13,29.989814209629653,4.569092512130737,0.9742319583892822,26.765693546933605,3.2241206626960484,1711474976.2215495
15,14,29.609754255350055,4.572932481765747,0.9780821800231934,26.214713103572183,3.3950411517778702,1711474976.2253895
16,15,29.22081532529925,4.576746463775635,0.9819035530090332,25.71355512346391,3.507260201835339,1711474976.2292035
17,16,28.819752014196432,4.580416917800903,0.9856171607971191,25.262726502998067,3.557025511198363,1711474976.232874
19,17,27.976383445921332,4.586888313293457,0.9920804500579834,24.503520503508664,3.472862942412667,1711474976.2393453
21,18,27.085934304030935,4.592810392379761,0.9980282783508301,23.90580740036954,3.180126903661397,1711474976.2452674
22,19,26.63036885338713,4.5963499546051025,1.0015738010406494,23.653595142677265,2.976773710709864,1711474976.248807
24,20,25.717273451367745,4.603475332260132,1.0074617862701416,23.210388915912407,2.50688453545534,1711474976.2559323
27,21,24.38515432151606,4.611637115478516,1.016831874847412,22.596941236288036,1.788213085228028,1711474976.264094
29,22,23.533986987335243,4.617414951324463,1.0226516723632812,22.15432129343386,1.379665693901382,1711474976.269872
31,23,22.7138887288486,4.6230878829956055,1.028325080871582,21.66310419100917,1.0507845378394312,1711474976.275545
34,24,21.576353493072073,4.6314697265625,1.0367045402526855,20.8949068317223,0.681446661349774,1711474976.2839267
37,25,20.63395216905054,4.6398375034332275,1.0450658798217773,20.239284601571143,0.39466756747940024,1711474976.2922945
40,26,19.9321351289069,4.6539366245269775,1.0590386390686035,19.76328965330882,0.16884547559808083,1711474976.3063936
44,27,19.364708851699195,4.667274475097656,1.0724279880523682,19.26541942788074,0.09928942381845385,1711474976.3197315
48,28,19.087795412088717,4.680549383163452,1.0857582092285156,18.84260610246815,0.24518930962056693,1711474976.3330064
52,29,18.816782100037532,4.691548585891724,1.0967586040496826,18.49505588731069,0.32172621272684016,1711474976.3440056
56,30,18.42037138261236,4.7046799659729,1.1096842288970947,18.079680829070274,0.3406905535420842,1711474976.357137
61,31,17.84984797008846,4.7228615283966064,1.1280755996704102,17.61983626939508,0.23001170069338325,1711474976.3753185
67,32,17.187786503343332,4.740632057189941,1.145841360092163,17.062867251994543,0.12491925134879073,1711474976.393089
72,33,16.621453107815007,4.75530743598938,1.1605095863342285,16.52154281105734,0.09991029675766806,1711474976.4077644
79,34,15.794224584241332,4.775143384933472,1.180342674255371,15.656452112634874,0.1377724716064588,1711474976.4276004
85,35,15.040635769258252,4.793761253356934,1.1989531517028809,14.851294426126424,0.18934134313182846,1711474976.4462183
93,36,13.924480756543609,4.818064451217651,1.2231955528259277,13.670608972996915,0.2538717835466946,1711474976.4705215
101,37,12.618236441850346,4.839994430541992,1.245187759399414,12.287006662716362,0.33122977913398505,1711474976.4924514
110,38,10.866094228598344,4.864508152008057,1.269690752029419,10.463493089230234,0.40260113936811,1711474976.5169652
119,39,8.961711066349569,4.8890016078948975,1.294198751449585,8.497351753787918,0.46435931256165064,1711474976.5414586
129,40,7.041633758996347,4.91590142250061,1.3210923671722412,6.5335511322674655,0.5080826267288813,1711474976.5683584
140,41,5.5041498072321495,4.945517063140869,1.3507111072540283,4.993276931228627,0.5108728760035217,1711474976.597974
153,42,4.27091175092919,4.981239557266235,1.3864312171936035,3.8132444083380785,0.45766734259111125,1711474976.6336966
166,43,3.4219922389830595,5.015888929367065,1.421081781387329,3.057474834928106,0.3645174040549539,1711474976.668346
180,44,2.7961480368839484,5.055675983428955,1.4608471393585205,2.5090459485565257,0.28710208832742273,1711474976.708133
196,45,2.3011280983456177,5.1000072956085205,1.5051307678222656,2.0810889316257675,0.22003916671985008,1711474976.7524643
212,46,1.9329301685264169,5.14339804649353,1.5485155582427979,1.7755966441458373,0.1573335243805796,1711474976.795855
231,47,1.607267366582032,5.1946306228637695,1.599764108657837,1.4992113715002129,0.10805599508181911,1711474976.8470876
251,48,1.3574389660541608,5.257816314697266,1.6629421710968018,1.2770409232104074,0.08039804284375349,1711474976.9102733
272,49,1.1725150331142236,5.322429656982422,1.727567434310913,1.1073876152291877,0.06512741788503576,1711474976.9748867
