l2_error,_timestamp,time,_step,loss_boundary,_runtime,loss_interior,loss,step
0.30749119688368054,1713027739.3791935,1.4855997562408447,0,0.029843192091417906,5.594161510467529,36.98753711057163,37.01738030266305,0
0.332967036784134,1713027739.4393368,1.9507522583007812,1,0.016654332154248472,5.65430474281311,36.86687548646734,36.88352981862159,1
0.25396207989708625,1713027739.496014,2.0076475143432617,2,0.021855087255224556,5.710982084274292,36.4881317584569,36.50998684571213,2
0.32025203439131084,1713027739.552868,2.0643997192382812,3,0.007967339845977325,5.767835855484009,34.84965414059828,34.85762148044426,3
0.2767226898345929,1713027739.6422544,2.1540627479553223,4,0.0210522922967722,5.857222318649292,32.42880312822585,32.449855420522624,4
0.3735150451739991,1713027739.7000945,2.211623430252075,5,0.01576292942741243,5.915062427520752,29.47391726168353,29.489680191110942,5
0.2654788312335709,1713027739.7599037,2.2714273929595947,6,0.04730291111580799,5.974871635437012,26.444578302705544,26.49188121382135,6
0.615142838642988,1713027739.817573,2.3278090953826904,7,0.03688492726307101,6.032541036605835,19.964853665872642,20.001738593135713,7
0.5101574528031748,1713027739.8741195,2.385751247406006,8,0.18663587650492192,6.08908748626709,17.430645018874685,17.617280895379608,8
0.4982220401875181,1713027739.9290476,2.4407577514648438,9,0.13209018165886638,6.144015550613403,15.762996867798087,15.895087049456952,9
0.6842934059393109,1713027740.0049338,2.5167977809906006,10,0.14078388842907888,6.21990180015564,13.394740827897774,13.535524716326853,10
0.5479195129246801,1713027740.1140113,2.6257741451263428,11,0.24877316533189758,6.328979253768921,11.153391139945857,11.402164305277754,11
0.4219957060590674,1713027740.2222524,2.7339892387390137,12,0.1709439836538728,6.437220335006714,9.476932974596933,9.647876958250805,12
0.39115058862435986,1713027740.2841315,2.795442581176758,13,0.10095778958249745,6.499099493026733,8.636127367477615,8.737085157060113,13
0.351286849420653,1713027740.341144,2.852552652359009,14,0.09613315232931982,6.556112051010132,7.942614776124447,8.038747928453766,14
0.2430239622854848,1713027740.4583411,2.9693424701690674,15,0.05410085577913466,6.673309087753296,6.515864483969092,6.569965339748227,16
0.2455216125040696,1713027740.5173547,3.0284574031829834,16,0.04566154601395462,6.732322692871094,6.241314985145612,6.286976531159567,17
0.23929853136831622,1713027740.5751328,3.0866873264312744,17,0.04834315817143307,6.790100812911987,5.99997278120788,6.0483159393793136,18
0.23648209501616216,1713027740.6859868,3.19754958152771,18,0.046878339720893884,6.900954723358154,5.5985234826553265,5.64540182237622,20
0.23803494571686495,1713027740.7440152,3.255598783493042,19,0.045078157173133,6.9589831829071045,5.280933338248296,5.3260114954214295,21
0.23646628597456537,1713027740.8561246,3.367427349090576,20,0.045095732280414386,7.07109260559082,4.957195066642284,5.002290798922698,23
0.23320051209635165,1713027740.9128215,3.4245102405548096,21,0.04535795017322167,7.127789497375488,4.767102507012652,4.812460457185874,24
0.23363907091685496,1713027741.0316865,3.543304204940796,22,0.04367260976550507,7.246654510498047,4.285538837940778,4.329211447706283,26
0.2286174698504404,1713027741.1408925,3.652526617050171,23,0.04266019130412949,7.355860471725464,3.9287163123409656,3.971376503645095,28
0.21798576802264988,1713027741.3103945,3.820439338684082,24,0.04156654104880366,7.525362491607666,3.720417601417256,3.7619841424660594,31
0.22096144075950502,1713027741.422606,3.934202194213867,25,0.03996159939422635,7.637573957443237,3.4324678544911373,3.4724294538853635,33
0.21821329943977635,1713027741.5432606,4.052560091018677,26,0.03965598575931949,7.758228540420532,3.350215668021906,3.3898716537812255,35
0.20656703531196852,1713027741.7033613,4.2151267528533936,27,0.03721493989585699,7.918329238891602,2.7252094927471298,2.7624244326429865,38
0.2070107642245417,1713027741.8805583,4.391241073608398,28,0.03671481661514872,8.095526218414307,2.605816319482086,2.642531136097235,41
0.20556536721363416,1713027742.0453084,4.5570244789123535,29,0.036822618320251764,8.260276317596436,2.491280549150598,2.52810316747085,44
0.2080053562026473,1713027742.2717257,4.783393383026123,30,0.03825528538425621,8.486693620681763,2.1990851818678703,2.2373404672521264,48
0.20957274604955556,1713027742.4401689,4.951823711395264,31,0.03834386958065877,8.655136823654175,2.1294169200594775,2.1677607896401363,51
0.21029885692044778,1713027742.6620212,5.173614263534546,32,0.0387637446801242,8.876989126205444,2.0350077943236418,2.073771539003766,55
0.21092642553909394,1713027742.8942926,5.405829191207886,33,0.03943312683798839,9.109260559082031,1.921922627008165,1.9613557538461535,59
0.21419865122430062,1713027743.16812,5.679847955703735,34,0.041801972189713425,9.383087873458862,1.7375362245800157,1.779338196769729,64
0.21678070921895978,1713027743.4347887,5.946616888046265,35,0.042178870247271724,9.649756669998169,1.672518836944062,1.7146977071913336,69
0.21754193428195595,1713027743.7039125,6.215757846832275,36,0.043508267504066236,9.918880462646484,1.5988268815562308,1.642335149060297,74
0.21926681438485987,1713027744.021747,6.533561706542969,37,0.044398764947793726,10.236715078353882,1.5055742359633228,1.5499730009111166,80
0.22064150431373877,1713027744.3491855,6.861044406890869,38,0.04558695070379076,10.56415343284607,1.3965503453149353,1.442137296018726,86
0.22231798939590028,1713027744.7647316,7.275998592376709,39,0.046299079815830015,10.979699611663818,1.2243924383490576,1.2706915181648877,93
0.22360311446196812,1713027745.1384087,7.649498701095581,40,0.04813151568934558,11.353376626968384,1.044559538775505,1.0926910544648505,100
0.2219338619031937,1713027745.5141706,8.025555610656738,41,0.047253241720725925,11.729138612747192,0.9139994728016011,0.9612527145223271,107
0.21940824861950572,1713027745.9451776,8.456459283828735,42,0.04589440601510193,12.16014552116394,0.7960735936235522,0.8419679996386542,115
