l2_error,step,loss_interior,loss,_step,_runtime,_timestamp,time,loss_boundary
1.5424960545925355,0,120.30927686545765,121.75998552611632,0,6.457303762435913,1713900541.8196507,1.3198530673980713,1.4507086606586714
1.3999797376332048,1,119.07399018447673,120.45292205672732,1,6.586678981781006,1713900541.9490259,2.456010341644287,1.378931872250589
1.2447021059021925,2,112.20250997451681,113.26796700182791,2,6.711291313171387,1713900542.0736382,2.5805861949920654,1.0654570273111044
1.098624711159926,3,102.41282844186651,103.26360662964915,3,6.8350677490234375,1713900542.1974146,2.7044193744659424,0.8507781877826442
1.0286294044948057,4,91.22975703995311,91.85126747290496,4,6.957406044006348,1713900542.319753,2.826875686645508,0.6215104329518452
0.9205923018552941,5,81.05026498766782,81.61013158130797,5,7.081956386566162,1713900542.4443033,2.951326370239258,0.5598665936401547
0.627693914065549,6,68.25152087984253,68.6644035499203,6,7.206919431686401,1713900542.5692663,3.0763261318206787,0.4128826700777583
1.0974550451711134,7,58.6424406027525,58.85652033949313,7,7.3330512046813965,1713900542.695398,3.2010648250579834,0.2140797367406318
1.150778960289583,8,42.40923941778817,42.98794506369268,8,7.4601287841796875,1713900542.8224757,3.329576253890991,0.5787056459045029
0.533731153545832,9,30.407304177829246,31.04316258148115,9,7.583606481552124,1713900542.9459534,3.4530317783355713,0.6358584036519023
0.8853958175002212,10,25.343476326879816,25.510027028453,10,7.708387851715088,1713900543.0707347,3.5778207778930664,0.16655070157318222
0.823578550663888,11,13.128984022758054,13.629817290470923,11,7.832244157791138,1713900543.194591,3.701709747314453,0.5008332677128693
0.8994018570131929,12,12.200197230241455,12.664148611221268,12,7.955543041229248,1713900543.31789,3.8249080181121826,0.4639513809798132
0.8934877107721334,13,10.056647923534346,10.59428632383736,13,8.081630229949951,1713900543.443977,3.951021194458008,0.5376384003030155
0.9117659295218946,14,9.569319595853905,10.119400713630316,14,8.20579218864441,1713900543.568139,4.075172424316406,0.550081117776411
0.9964430070255323,16,8.119078982345734,8.781509973890675,15,8.457185745239258,1713900543.8195326,4.326592922210693,0.6624309915449403
1.0157961379823084,17,7.647813541538952,8.329500802497714,16,8.582413911819458,1713900543.9447608,4.451794385910034,0.6816872609587631
1.0101864983889797,18,7.354102504058481,8.064386067739479,17,8.706533670425415,1713900544.0688806,4.575978994369507,0.7102835636809968
1.0197510922608413,20,6.985545616636402,7.704390785967049,18,8.953875541687012,1713900544.3162224,4.823263168334961,0.7188451693306473
1.0813091987320367,21,6.870723340734648,7.586761414071819,19,9.077806949615479,1713900544.4401538,4.947200298309326,0.7160380733371703
1.0362754845620656,23,5.854792715689924,6.62107415405622,20,9.325249671936035,1713900544.6875966,5.1946632862091064,0.7662814383662959
1.0616827449092414,24,5.475380856125625,6.218526269335091,21,9.449324607849121,1713900544.8116715,5.318691730499268,0.7431454132094659
1.0714938286530962,26,4.874866207307399,5.671564883164428,22,9.696323871612549,1713900545.0586708,5.565729141235352,0.7966986758570295
1.062231725468234,28,4.711995580980111,5.4498274859414035,23,9.941876649856567,1713900545.3042235,5.811317443847656,0.7378319049612926
1.0566338976036735,31,3.9835379421657993,4.7664160397500765,24,10.308262825012207,1713900545.6706097,6.177685022354126,0.7828780975842775
1.0562704089321524,33,3.8661612545522837,4.651124482709502,25,10.55442190170288,1713900545.9167688,6.4237799644470215,0.784963228157218
1.056991829244061,35,3.770262022772035,4.5572624342517924,26,10.801506519317627,1713900546.1638534,6.67092227935791,0.7870004114797574
1.0682919331067715,38,3.649014076403508,4.427540961965566,27,11.174957275390625,1713900546.5373042,7.044330835342407,0.778526885562058
1.057909547018194,41,3.5138324987823863,4.299781855625515,28,11.541453123092651,1713900546.9038,7.4108593463897705,0.7859493568431284
1.0632532256183382,44,3.397210992573204,4.176339545731517,29,11.90928840637207,1713900547.2716353,7.778672218322754,0.7791285531583134
1.0638534196381262,48,3.228702154022474,4.002730016645971,30,12.398936986923218,1713900547.7612839,8.268320560455322,0.7740278626234977
1.059684513140783,51,3.0918840715869202,3.882673859357622,31,12.765568733215332,1713900548.1279156,8.634957551956177,0.7907897877707019
1.0548880988889706,55,2.7846264956361253,3.574180186195191,32,13.250938177108765,1713900548.613285,9.120340347290039,0.7895536905590659
1.0385237877584457,59,2.463011246224947,3.236790273132344,33,13.735036373138428,1713900549.0973833,9.604464054107666,0.773779026907397
0.9841932741211998,64,1.9222845453766655,2.602158391994058,34,14.348564386367798,1713900549.7109113,10.217974662780762,0.6798738466173926
0.9131834766477861,69,1.6135994808561858,2.2219901217191103,35,14.96604871749878,1713900550.3283956,10.83545207977295,0.6083906408629246
0.9082712164413272,74,1.5565744332103935,2.1436711699043514,36,15.577509641647339,1713900550.9398565,11.446911096572876,0.5870967366939581
0.8977797259848069,80,1.511381958209836,2.0855945192083336,37,16.308156967163086,1713900551.6705039,12.177604675292969,0.5742125609984974
0.8851908664669043,86,1.4690779924410495,2.029478719572472,38,17.039953470230103,1713900552.4023004,12.90935492515564,0.5604007271314222
0.8625750163500148,93,1.4129887288683864,1.9597866720068886,39,17.89055323600769,1713900553.2529001,13.759972095489502,0.5467979431385022
0.849077582286686,100,1.3689551448678776,1.8831644194250279,40,18.733554363250732,1713900554.0959013,14.602980852127075,0.5142092745571504
0.8230907144811193,107,1.2922753636378796,1.794180100269013,41,19.59107208251953,1713900554.953419,15.460457801818848,0.5019047366311333
0.7943237478428575,115,1.196445095546987,1.6635083049036195,42,20.558353424072266,1713900555.9207003,16.42778515815735,0.46706320935663254
