step,_step,_runtime,_timestamp,loss_boundary,loss,time,loss_interior,l2_error
0,0,5.571917533874512,1715397773.6784894,1.6761577093521625,121.7103350429466,1.4267497062683105,120.03417733359443,1.5716457830077466
1,1,5.608690977096558,1715397773.715263,1.6761558079138683,121.71032472863106,1.7343945503234863,120.03416892071719,5.9013112126075615
2,2,5.642577171325684,1715397773.749149,23.621830573977267,996.8408057066896,1.7683384418487549,973.2189751327123,3.358120017062848
3,3,5.6760876178741455,1715397773.7826595,7.438963805865892,125.33491914698133,1.801943302154541,117.89595534111544,4.219594453167661
4,4,5.712710380554199,1715397773.8192823,10.886090707047229,39.76525390808186,1.8378348350524902,28.87916320103463,3.250121859215794
5,5,5.748723268508911,1715397773.8552952,6.820939060686031,29.246013443881644,1.8745238780975342,22.425074383195614,2.6910614762909644
6,6,5.791152477264404,1715397773.8977244,5.729484706908846,17.021039081269546,1.9170043468475342,11.2915543743607,2.6425530633066017
7,7,5.821340084075928,1715397773.927912,5.466965314317198,12.379853975271214,1.9472990036010742,6.912888660954016,2.1472143522226297
8,8,5.853164434432983,1715397773.9597363,3.6687570538179464,9.945781065953513,1.9777860641479492,6.277024012135567,1.7090103886373047
9,9,5.883817434310913,1715397773.9903893,2.247065419392302,7.497521329317706,2.0097556114196777,5.250455909925404,1.4792622804375615
10,10,5.922419309616089,1715397774.0289912,1.6152074770254545,6.4754023188221215,2.0483171939849854,4.860194841796667,1.0515262087889221
11,11,5.958439588546753,1715397774.0650115,0.8558260186983374,5.191735737598099,2.0843026638031006,4.335909718899761,0.8296230659880242
12,12,5.9940807819366455,1715397774.1006527,0.5526378753696592,4.070733374604057,2.1199071407318115,3.5180954992343976,0.550448867080969
13,13,6.024010181427002,1715397774.130582,0.27217541998542255,3.177548333566457,2.1500470638275146,2.9053729135810342,0.42757977870118896
14,14,6.061461925506592,1715397774.1680338,0.1723267657703235,2.3436381569277622,2.1873950958251953,2.1713113911574387,0.40568322856796063
15,15,6.093377113342285,1715397774.199949,0.15624477299123615,2.0241027419496844,2.219433069229126,1.8678579689584482,0.37439733559369026
16,16,6.127728223800659,1715397774.2343001,0.13504940601491214,1.6906255175725993,2.2537894248962402,1.5555761115576872,0.34419938705248376
17,17,6.161290645599365,1715397774.2678626,0.12275824416771089,1.3367735750904015,2.287276029586792,1.2140153309226906,0.33902844124136705
18,18,6.192493200302124,1715397774.299065,0.12272231538473899,1.214356003366756,2.3185157775878906,1.091633687982017,0.336393897345024
19,19,6.224751949310303,1715397774.3313239,0.12788296893708603,1.0494324624397404,2.3507542610168457,0.9215494935026545,0.34346181148600613
20,20,6.253535032272339,1715397774.360107,0.13121729980609154,0.9268502676889216,2.379589080810547,0.7956329678828301,0.35007575053234413
21,21,6.292829275131226,1715397774.3994012,0.1329113836007673,0.8452394124400031,2.418775796890259,0.7123280288392358,0.36568346990020006
22,22,6.323525667190552,1715397774.4300976,0.1358885371310945,0.737897823287287,2.4495553970336914,0.6020092861561925,0.36497308809398965
23,23,6.352422475814819,1715397774.4589944,0.1319320888193969,0.6365598396867224,2.4784834384918213,0.5046277508673255,0.3635041732872083
24,24,6.3811869621276855,1715397774.4877589,0.12987369789338765,0.5831404380028475,2.5072412490844727,0.45326674010945983,0.35151901495605603
25,25,6.411665201187134,1715397774.518237,0.12596473790598484,0.5191843390416082,2.537719964981079,0.3932196011356233,0.34120303594142143
26,26,6.439870119094849,1715397774.546442,0.122988075618001,0.45939217093573176,2.5659573078155518,0.33640409531773074,0.3317727276047459
27,27,6.475939512252808,1715397774.5825114,0.11908406243162742,0.42821700135573937,2.6019134521484375,0.3091329389241119,0.3242444776393565
28,28,6.507395267486572,1715397774.6139672,0.11445096530008164,0.40596516439283586,2.633370876312256,0.2915141990927542,0.31252994641991333
29,29,6.540026664733887,1715397774.6465986,0.10689176014125207,0.37379100534535903,2.6660263538360596,0.26689924520410696,0.30255372141721754
30,30,6.574271202087402,1715397774.680843,0.1004235262865088,0.3470208528308996,2.700242757797241,0.24659732654439082,0.29110458291559266
31,31,6.606428861618042,1715397774.7130008,0.09244608526779993,0.31832554403019964,2.732452630996704,0.22587945876239973,0.28584237437774496
32,32,6.637268543243408,1715397774.7438405,0.08745319797523239,0.2975243865289428,2.7633473873138428,0.2100711885537104,0.28173577682812256
33,33,6.669095754623413,1715397774.7756677,0.08420206371435603,0.2844620625692792,2.795158624649048,0.20025999885492318,0.2763945474564254
34,34,6.703501224517822,1715397774.8100731,0.08071426774546524,0.27027917717327066,2.829474925994873,0.18956490942780543,0.26821532981064544
35,35,6.738537311553955,1715397774.8451092,0.07625204499554479,0.25686956078939677,2.8645267486572266,0.180617515793852,0.2590672083029224
36,36,6.771958589553833,1715397774.8785305,0.07154017431377989,0.24436410008162346,2.897940158843994,0.17282392576784356,0.24722799818229718
37,37,6.8064210414886475,1715397774.912993,0.06500293081451708,0.22878753307901162,2.932368278503418,0.16378460226449454,0.24029055039883496
38,38,6.839163303375244,1715397774.9457352,0.060051019181270246,0.2163388488775282,2.96498966217041,0.15628782969625796,0.23357480748296922
39,39,6.8726654052734375,1715397774.9792373,0.055025165753080876,0.20405212874756062,2.9986658096313477,0.14902696299447976,0.22957026416713944
40,40,6.906457901000977,1715397775.0130298,0.05082612897695313,0.1896781319652664,3.0324206352233887,0.13885200298831327,0.22689700501386145
42,41,6.968755483627319,1715397775.0753274,0.045702419776207495,0.16823168436440927,3.0947225093841553,0.12252926458820176,0.2132120935769188
46,42,7.090037107467651,1715397775.196609,0.02570644101476196,0.12677403146602326,3.215965747833252,0.1010675904512613,0.14992776266764496
50,43,7.225315093994141,1715397775.331887,0.018834259610276304,0.10066061453558375,3.3512227535247803,0.08182635492530745,0.1412219334091277
55,44,7.3655104637146,1715397775.4720824,0.013131911730226485,0.08004660703852441,3.4914255142211914,0.06691469530829793,0.1236948972019361
61,45,7.536674976348877,1715397775.643247,0.010271850053994707,0.06446631104766248,3.6626036167144775,0.05419446099366778,0.10196837628566181
67,46,7.702945947647095,1715397775.8095179,0.007355987285953908,0.051207678984214716,3.8288991451263428,0.04385169169826081,0.08897867539077466
73,47,7.891572713851929,1715397775.9981446,0.006677734981436746,0.04237068500813259,4.017521142959595,0.03569295002669584,0.08858766478252468
81,48,8.150609254837036,1715397776.2571812,0.00557573604561911,0.03280476276071755,4.276528358459473,0.027229026715098446,0.07706797214039922
89,49,8.389444828033447,1715397776.4960167,0.004666691819481454,0.02644222831877991,4.515437126159668,0.021775536499298455,0.07612141550383886
98,50,8.660644292831421,1715397776.7672162,0.0035152229420684195,0.019642921499564682,4.7866456508636475,0.016127698557496264,0.0638582719718101
107,51,8.942629337310791,1715397777.0492013,0.0035728397875329277,0.016706351752265144,5.068548679351807,0.013133511964732216,0.05926801341070899
118,52,9.276355981826782,1715397777.382928,0.002747414534709615,0.01247076366712579,5.402331113815308,0.009723349132416174,0.05113732631873143
130,53,9.647033929824829,1715397777.7536058,0.00212098111828813,0.009854159758857986,5.772595405578613,0.007733178640569856,0.04572274623211425
143,54,10.07071566581726,1715397778.1772876,0.0015593893433700646,0.006977709784440247,6.196656942367554,0.005418320441070182,0.03972967728033795
157,55,10.460963249206543,1715397778.5675352,0.0010586343437343248,0.004557486240122812,6.586909532546997,0.003498851896388487,0.03274098892043275
172,56,10.914915084838867,1715397779.021487,0.0008109246208817709,0.0030816894119956315,7.040892124176025,0.002270764791113861,0.028297407442236053
190,57,11.436697959899902,1715397779.5432699,0.0005441581875389996,0.0019891384990855625,7.562669277191162,0.0014449803115465626,0.023467876735487763
