_timestamp,loss,_step,l2_error,loss_boundary,step,time,_runtime,loss_interior
1715386084.0005026,121.7103350429466,0,0.8412166459465507,1.6761577093521625,0,1.5282418727874756,5.70501446723938,120.03417733359443
1715386084.078209,75.03951483680939,1,0.674193624677057,0.3569375882500193,1,1.8363037109375,5.7827208042144775,74.68257724855937
1715386084.1393726,34.25175678779071,2,0.5513880500814841,0.32037186235311116,2,1.8974902629852295,5.843884468078613,33.9313849254376
1715386084.204349,14.510291122719769,3,0.5152639722188928,0.23611855126738493,3,1.9612536430358887,5.908860921859741,14.274172571452384
1715386084.2636678,13.915179791853763,4,0.49719676618933467,0.20585241155106868,4,2.0217950344085693,5.968179702758789,13.709327380302694
1715386084.3225083,13.720554341123108,5,0.47521961244732575,0.1909040040206114,5,2.0808451175689697,6.027020215988159,13.529650337102497
1715386084.375807,13.452181244926814,6,0.454104827761602,0.17333791686637343,6,2.1342506408691406,6.080318927764893,13.278843328060441
1715386084.4295382,13.089299192080802,7,0.5190828888525675,0.15207910517710235,7,2.1879498958587646,6.134050130844116,12.937220086903698
1715386084.4853601,12.781640527283303,8,0.7334808010632659,0.1788808094164619,8,2.2437026500701904,6.1898720264434814,12.60275971786684
1715386084.5394223,12.600553042121405,9,0.8536903771329903,0.3159202052094718,9,2.297771692276001,6.243934154510498,12.284632836911934
1715386084.595385,12.500613461808825,10,1.0641368408175755,0.41190878865830605,10,2.3533594608306885,6.299896955490112,12.08870467315052
1715386084.6503994,12.034882441500258,11,1.2236770464022682,0.6124890324926867,11,2.4087164402008057,6.3549113273620605,11.422393409007572
1715386084.7061863,11.562032895882954,12,1.31593637639231,0.791758753922665,12,2.4644980430603027,6.410698175430298,10.77027414196029
1715386084.765002,11.335921630028011,13,1.3543698027789093,0.9030479857869206,13,2.523318290710449,6.469513893127441,10.43287364424109
1715386084.8218646,11.151519380970806,14,1.3465391949111454,0.9492485367261968,14,2.580174207687378,6.526376485824585,10.202270844244609
1715386084.8763545,10.63477183900124,15,1.27017303038388,0.9394974591344176,15,2.634676694869995,6.58086633682251,9.695274379866824
1715386084.9319532,9.926303905715656,16,1.014892873717116,0.8490911434537328,16,2.6902549266815186,6.636465072631836,9.077212762261924
1715386084.986568,8.948956948704476,17,0.7833666916293429,0.5684141175688531,17,2.7449214458465576,6.69107985496521,8.380542831135623
1715386085.0402977,7.6564122025081796,18,0.6813050573379091,0.3633106923437232,18,2.7986464500427246,6.744809627532959,7.2931015101644565
1715386085.095078,6.145906412304827,19,0.6887196553587609,0.3079518133023757,19,2.8534016609191895,6.7995898723602295,5.837954599002451
1715386085.1494899,5.121429633347243,20,0.7002509239585726,0.33731820277015084,20,2.9078352451324463,6.854001760482788,4.784111430577092
1715386085.2065232,4.763206265246201,21,0.7093568448090593,0.3597258324554619,21,2.964895248413086,6.911035060882568,4.403480432790739
1715386085.2601447,4.604262119003906,22,0.7121316242159593,0.3779330922897888,22,3.0181081295013428,6.964656591415405,4.226329026714117
1715386085.315791,4.5254007258477476,23,0.6908475358193132,0.38781278246966927,23,3.074183225631714,7.020302772521973,4.137587943378079
1715386085.3684993,4.358399049515941,24,0.6888382666267843,0.38021132988139583,24,3.126913547515869,7.073011159896851,3.978187719634545
1715386085.4213102,4.355272349248786,25,0.6828265732688187,0.37894386662224216,25,3.1797688007354736,7.125822067260742,3.9763284826265437
1715386085.4758987,4.311075512173219,26,0.6750556399043267,0.3746508094294475,26,3.2341861724853516,7.180410623550415,3.9364247027437718
1715386085.530041,4.207719361849904,27,0.6665569117633927,0.3685087183374658,27,3.2883942127227783,7.23455286026001,3.8392106435124385
1715386085.584374,4.048568134850729,28,0.663110294634679,0.36106186512390354,28,3.3427135944366455,7.288885831832886,3.6875062697268257
1715386085.6401234,3.9013446767642974,29,0.668642780211589,0.3571656747012871,29,3.3984549045562744,7.344635248184204,3.5441790020630104
1715386085.7022777,3.5641204045626442,30,0.6836070886347059,0.35785386030722005,30,3.46053147315979,7.406789541244507,3.206266544255424
1715386085.7628765,3.308884433082328,31,0.7100299341951315,0.36676365923965104,31,3.521155834197998,7.467388391494751,2.942120773842677
1715386085.821533,2.7740680907148647,32,0.7209690359036223,0.38576925166421633,32,3.579850196838379,7.526044845581055,2.3882988390506483
1715386085.8765178,2.1543785674033082,33,0.7191109860975918,0.3957689699462476,33,3.634864091873169,7.581029653549194,1.7586095974570608
1715386085.9342504,2.0239567955938442,34,0.7120524406818436,0.3956691682475883,34,3.692627429962158,7.6387622356414795,1.6282876273462559
1715386085.9917269,1.9042112734765908,35,0.6928222484498603,0.3913774051236421,35,3.750082015991211,7.69623875617981,1.5128338683529488
1715386086.0491295,1.6146874508337785,36,0.6691740496157716,0.3799198593141082,36,3.8074662685394287,7.753641366958618,1.2347675915196703
1715386086.108131,1.4213827187411274,37,0.641797254493468,0.3636475971181859,37,3.8664426803588867,7.812642812728882,1.0577351216229416
1715386086.1661167,1.3361654154438876,38,0.5923724185613599,0.34009745994833795,38,3.9244112968444824,7.870628595352173,0.9960679554955495
1715386086.2235842,1.165867541332644,39,0.5542015424596405,0.29293001716472283,39,3.981884241104126,7.928096055984497,0.8729375241679213
1715386086.2815456,1.0266886962125106,40,0.5081266083885717,0.2572825693682944,40,4.039855003356934,7.98605751991272,0.7694061268442162
1715386086.39841,0.790520393477122,41,0.47032794166554265,0.20668758761402153,42,4.156736850738525,8.102921962738037,0.5838328058631005
1715386086.6273248,0.5163714875655973,42,0.39793365821858184,0.15393177850845927,46,4.385625839233398,8.331836700439453,0.362439709057138
