loss,_step,loss_boundary,loss_interior,time,_runtime,step,l2_error,_timestamp
121.7599812787429,0,1.4507086750632023,120.3092726036797,1.7570056915283203,8.220483779907227,0,1.5634456962045453,1714834454.5185788
121.7599800594795,1,1.450708631429463,120.30927142805004,3.004589319229126,8.276124238967896,1,3.244287790346922,1714834454.5742192
815360.8295360868,2,5.09345969512017,815355.7360763917,3.0400335788726807,8.312071561813354,2,1.299844116901029,1714834454.6101665
2004.9269216658756,3,1.0849553175691085,2003.8419663483064,3.075754165649414,8.347681999206543,3,1.3140599880101707,1714834454.645777
935.735232094705,4,1.1169381675359913,934.618293927169,3.1108739376068115,8.382481098175049,4,1.3199298308733032,1714834454.680576
615.3903984580373,5,1.1075577996295178,614.2828406584078,3.1448090076446533,8.41634488105774,5,1.512970562738549,1714834454.7144399
94.58382634760167,6,1.4091168874361657,93.1747094601655,3.178842544555664,8.450378656387329,6,1.720424942450141,1714834454.7484736
92.98532306718442,7,1.9932390106636348,90.9920840565208,3.2158124446868896,8.487434148788452,7,1.6483218947341172,1714834454.7855291
78.45818167109996,8,1.794791911569138,76.66338975953083,3.2500572204589844,8.522671937942505,8,1.641585821263431,1714834454.820767
72.79747252576544,9,1.769682635767519,71.02778988999792,3.2859439849853516,8.557842016220093,9,1.6311859316674904,1714834454.855937
71.16710500723893,10,1.7352057942773451,69.43189921296158,3.3210911750793457,8.593026399612427,10,1.6511964475661849,1714834454.8911214
68.37478918604735,11,1.8001832175324066,66.57460596851494,3.3560478687286377,8.627540349960327,11,1.7060683631954823,1714834454.9256353
61.75629596194769,12,1.9893013678030815,59.76699459414461,3.390550136566162,8.662007808685303,12,1.7031013675631088,1714834454.9601028
55.79116466186594,13,1.9832684527526263,53.807896209113316,3.4249231815338135,8.696417570114136,13,1.7205954014985707,1714834454.9945126
51.72827259033248,14,2.0425952642567413,49.68567732607574,3.4592201709747314,8.730652570724487,14,1.7690685497477552,1714834455.0287476
49.63492969163828,15,2.2300989937602855,47.40483069787799,3.4936559200286865,8.765156030654907,15,1.7535467747364775,1714834455.063251
64.29403148375775,16,2.1393021382495583,62.15472934550819,3.5283305644989014,8.799794912338257,16,1.9083639148354925,1714834455.09789
1092.3732355592,17,3.1164267194494335,1089.2568088397506,3.562791347503662,8.83428168296814,17,1.8192494694379204,1714834455.1323767
48.60380043635417,18,2.359449419832353,46.24435101652182,3.5943806171417236,8.865840435028076,18,1.811486089951246,1714834455.1639354
39.18425696651333,19,2.3497749157029966,36.83448205081034,3.6290907859802246,8.900602579116821,19,1.8204699887810525,1714834455.1986976
37.80316703127589,20,2.3867828597491387,35.41638417152675,3.6626033782958984,8.93413496017456,20,1.823776326044925,1714834455.23223
36.57182653001543,21,2.402117837224791,34.169708692790635,3.695890426635742,8.967382907867432,21,1.820755360963451,1714834455.265478
34.52255103467723,22,2.397710027672637,32.12484100700459,3.7292733192443848,9.000699758529663,22,1.8268859208385997,1714834455.2987947
32.72853327161965,23,2.4283669624138184,30.30016630920584,3.7626771926879883,9.03411316871643,23,1.8305160984137436,1714834455.3322082
31.52640756058196,24,2.450805965261412,29.075601595320546,3.8101823329925537,9.081767797470093,24,1.8174954290076184,1714834455.3798628
29.642546113224228,25,2.4188334574334203,27.22371265579081,3.8442728519439697,9.115838289260864,25,1.8204713704180353,1714834455.4139333
220.7836559485746,26,2.4438532192316216,218.33980272934298,3.87809157371521,9.149622201919556,26,1.8013653241712373,1714834455.4477172
27.3014641836204,27,2.387596258164039,24.913867925456362,3.912046432495117,9.183583498001099,27,1.8003569012771863,1714834455.4816785
26.386289616798148,28,2.390350074902597,23.995939541895552,3.9458649158477783,9.217397689819336,28,1.7973946695611427,1714834455.5154927
25.6657118652943,29,2.393004256430651,23.272707608863648,3.9798431396484375,9.251764059066772,29,1.793004130080808,1714834455.549859
24.47276518884816,30,2.3888924341121167,22.083872754736046,4.0149571895599365,9.286866664886475,30,1.7832111296126854,1714834455.5849617
23.718675853941612,31,2.3606957582224473,21.357980095719164,4.050030708312988,9.321935892105103,31,1.7716312705975559,1714834455.6200309
22.79345150333688,32,2.3357572517865175,20.45769425155036,4.085763216018677,9.35771107673645,32,1.757763013838144,1714834455.655806
21.62323522518882,33,2.3098607684568835,19.31337445673194,4.1208336353302,9.392741441726685,33,1.738365153478873,1714834455.6908364
20.832846136959404,34,2.2680979556728333,18.56474818128657,4.155979633331299,9.427915573120117,34,1.7284739503713167,1714834455.7260106
19.795577106966984,35,2.2461404260203337,17.549436680946652,4.191249847412109,9.463159561157227,35,1.7117297325398553,1714834455.7612545
19.234836490420946,36,2.206367654585607,17.02846883583534,4.226330280303955,9.498244524002075,36,1.6849763486638833,1714834455.7963395
17.957589983086205,37,2.149817556469005,15.807772426617198,4.261419296264648,9.532681703567505,37,1.6566234932651205,1714834455.8307767
16.615166250159632,38,2.0898223122436925,14.525343937915938,4.294389963150024,9.565661668777466,38,1.600386206661345,1714834455.8637567
15.23098484170231,39,1.966298610129296,13.264686231573014,4.330060005187988,9.602006912231445,39,1.5738680248838426,1714834455.900102
14.150460808763555,40,1.9098707353153348,12.24059007344822,4.365404367446899,9.637341976165771,40,1.5125333296410035,1714834455.935437
11.246316211837174,41,1.5901837749009338,9.65613243693624,4.431941032409668,9.703899145126343,42,1.3167209559567468,1714834456.0019941
5.630707472382528,42,0.49603343194215266,5.134674040440375,4.5600080490112305,9.831973314285278,46,0.5586675695119302,1714834456.1300683
