_step,_timestamp,loss_interior,time,_runtime,l2_error,loss_boundary,loss,step
0,1714550452.3133628,120.3092726036797,1.4204881191253662,5.587874889373779,1.5561355134878876,1.4507086750632023,121.7599812787429,0
1,1714550452.4618793,118.85638989415823,1.917715311050415,5.736391305923462,1.3605178761178274,1.390648938239687,120.24703883239792,1
2,1714550452.6281095,115.92763992482175,2.0844411849975586,5.902621507644653,1.2764024155409628,1.0561436010687213,116.98378352589047,2
3,1714550452.787764,110.4073380428742,2.24411940574646,6.062276124954224,1.276359311483991,0.8619348775094959,111.2692729203837,3
4,1714550452.9333062,110.4061619972648,2.3895351886749268,6.207818269729614,1.2656579315288308,0.861880261791956,111.26804225905676,4
5,1714550453.0820441,110.1845709677209,2.538357973098755,6.356556177139282,1.1851564970833326,0.8484540042927861,111.03302497201369,5
6,1714550453.2537508,108.48632234118557,2.7088286876678467,6.5282628536224365,1.1449337872186405,0.7510319103892896,109.23735425157486,6
7,1714550453.3873868,91.83682429812949,2.843766212463379,6.661898851394653,1.0257364929431012,0.6774079464680185,92.51423224459751,7
8,1714550453.5244386,79.90881503742872,2.9807984828948975,6.798950672149658,0.5088218955565689,0.5048475258785502,80.41366256330727,8
9,1714550453.6957257,69.92001549633893,3.1520509719848633,6.970237731933594,0.35448890212395984,0.13852945532537106,70.0585449516643,9
10,1714550453.8419702,58.89745233447485,3.2983672618865967,7.116482257843018,1.4009208127348782,0.0730041484653276,58.97045648294018,10
11,1714550453.9723415,17.95855114396981,3.4287233352661133,7.246853590011597,1.401733239587663,1.3079330034059744,19.266484147375785,11
12,1714550454.1407988,14.805118305023928,3.597172975540161,7.415310859680176,1.5841139383710248,1.3706467066378014,16.17576501166173,12
13,1714550454.3154528,13.453571302683867,3.771713972091675,7.589964866638184,1.456700908083874,1.6847205757650945,15.138291878448962,13
14,1714550454.491123,13.023377393831485,3.9474599361419678,7.765635013580322,1.5252542587663078,1.4664356861837902,14.489813080015274,14
15,1714550454.6539314,12.461409311743763,4.1102917194366455,7.928443431854248,1.4828256886323834,1.5933736507662917,14.054782962510055,15
16,1714550454.82104,12.120040230280425,4.27719259262085,8.09555196762085,1.5342025949553437,1.5129397610958513,13.632979991376276,16
17,1714550454.9486299,11.59284463175578,4.405028820037842,8.22314190864563,1.4672962896081925,1.6057652744750914,13.198609906230871,17
18,1714550455.0904794,11.275624572169338,4.546773672103882,8.364991426467896,1.4881735245486967,1.4639588745288907,12.739583446698228,18
19,1714550455.248598,10.869768429923193,4.7049572467803955,8.523110151290894,1.4596168815859332,1.5187411365548587,12.388509566478051,19
20,1714550455.379196,10.63291321833037,4.835554122924805,8.65370798110962,1.4923843419987242,1.4541693441771752,12.087082562507545,20
21,1714550455.5068955,10.273815728656746,4.963286399841309,8.781407594680786,1.4471432118264795,1.5219034697435934,11.79571919840034,21
