_runtime,_timestamp,loss,_step,loss_interior,l2_error,loss_boundary,time,step
6.3441174030303955,1711488387.0030725,36.31786462091587,0,36.28802142882445,0.6933371246725998,0.029843192091417906,1.6232810020446777,0
6.4639365673065186,1711488387.1228917,14.440358153638336,1,14.117284695151001,0.6772305144004961,0.32307345848733415,1.7433171272277832,1
6.623809099197388,1711488387.2827642,7.8788061487752925,2,7.54241666895137,0.2959347449728539,0.3363894798239222,1.9031472206115723,2
6.776800632476807,1711488387.4357557,5.672957655879828,3,5.60119140299936,0.33434897698346977,0.07176625288046785,2.0562727451324463,3
6.929158926010132,1711488387.588114,4.316954017028986,4,4.21325872985479,0.3714138762217813,0.10369528717419618,2.2086806297302246,4
7.083807468414307,1711488387.7427626,3.483139940457956,5,3.3520827403007254,0.3752798062932257,0.13105720015723035,2.360368251800537,5
7.236989974975586,1711488387.895945,2.8669849889578054,6,2.74018554623102,0.33439121332733285,0.12679944272678567,2.516509532928467,6
7.393198013305664,1711488388.052153,2.4539055620392407,7,2.343148293304901,0.3121045571985974,0.11075726873433982,2.672607183456421,7
7.546057462692261,1711488388.2050126,2.1102037180288824,8,2.021634436665156,0.2776836912801498,0.08856928136372617,2.8255600929260254,8
7.7018866539001465,1711488388.3608418,1.9358692793055272,9,1.8665838772891874,0.247459536591501,0.06928540201633988,2.9814019203186035,9
7.8544535636901855,1711488388.5134087,1.734664901878705,10,1.6835347180811844,0.217917255128091,0.051130183797520615,3.133986234664917,10
8.0088050365448,1711488388.6677601,1.5603377634916562,11,1.5212818640963905,0.19854905740846754,0.03905589939526569,3.2881217002868652,11
8.161389827728271,1711488388.820345,1.3945861304034732,12,1.3615967424442417,0.1813512109065527,0.032989387959231536,3.4407997131347656,12
8.316363096237183,1711488388.9753182,1.237569721571674,13,1.2100625451282219,0.17489497414267752,0.02750717644345217,3.595842123031616,13
8.471675634384155,1711488389.1306307,1.1099145172808655,14,1.0841139065247252,0.16830174684311502,0.025800610756140263,3.751098155975342,14
8.62409520149231,1711488389.2830503,1.0028029308478983,15,0.976780598999467,0.1751973850855435,0.026022331848431314,3.9022305011749268,15
8.77609896659851,1711488389.435054,0.9008659942717233,16,0.8749748367092467,0.17801181786313464,0.025891157562476612,4.0555689334869385,16
8.930699586868286,1711488389.5896547,0.801365462175696,17,0.773100894809606,0.17011284433965373,0.028264567366090065,4.209905385971069,17
9.082242965698242,1711488389.741198,0.7153416612681888,18,0.6863884426823844,0.17934460878788697,0.028953218585804366,4.361777067184448,18
9.384871006011963,1711488390.043826,0.584511190736028,19,0.5523349482267997,0.1812045058076761,0.032176242509228195,4.664304733276367,20
9.538798093795776,1711488390.1977532,0.5325415790273151,20,0.5005164776297513,0.17879522758167735,0.03202510139756383,4.818219423294067,21
9.843353986740112,1711488390.502309,0.4133452687936724,21,0.38467370823216446,0.1742271441060348,0.02867156056150794,5.1227874755859375,23
9.996891260147095,1711488390.6558464,0.37766653990032545,22,0.3506443993851139,0.1734040899907192,0.027022140515211582,5.276303291320801,24
10.298576354980469,1711488390.9575315,0.32051676909122245,23,0.29638009645348956,0.1682989459651173,0.024136672637732875,5.578080177307129,26
10.599289417266846,1711488391.2582445,0.2769592918604941,24,0.25482653433707075,0.16410269237781655,0.022132757523423356,5.878808975219727,28
10.902300119400024,1711488391.5612552,0.2469139380263399,25,0.223938796585908,0.16039272206891833,0.022975141440431897,6.181735038757324,30
11.209364652633667,1711488391.8683197,0.22594091589501938,26,0.20458267894777887,0.1585134733017903,0.021358236947240507,6.488795518875122,32
11.512603044509888,1711488392.1715581,0.2146233507698964,27,0.19398527344105393,0.15549039900834621,0.020638077328842448,6.792060613632202,34
11.963053941726685,1711488392.622009,0.19960383180198368,28,0.17837121802106898,0.15969537116666518,0.0212326137809147,7.242524147033691,37
12.2683744430542,1711488392.9273295,0.18798387501973507,29,0.1667042913671598,0.15867619716783327,0.021279583652575262,7.5477988719940186,39
12.723715543746948,1711488393.3826706,0.17339114824961155,30,0.15346727863811024,0.15234471585229026,0.01992386961150131,8.003159284591675,42
13.17657470703125,1711488393.8355298,0.15696430236713121,31,0.13862627002466726,0.14986770912006678,0.018338032342463957,8.456045627593994,45
13.634007453918457,1711488394.2929626,0.14198951334392848,32,0.12380935459228784,0.14811064018669673,0.018180158751640644,8.91340947151184,48
14.085736989974976,1711488394.744692,0.12848306915217958,33,0.11043617756061201,0.1471134548988155,0.018046891591567575,9.36516523361206,51
14.690031290054321,1711488395.3489864,0.10897212037811127,34,0.09225038636900766,0.13977765654586483,0.016721734009103612,9.969476222991943,55
15.292822122573853,1711488395.9517772,0.09177770420031472,35,0.07620519612894541,0.13639283960732854,0.015572508071369317,10.572251558303833,59
15.900926113128662,1711488396.5598812,0.08395732426175455,36,0.06924828961714323,0.13193755680178748,0.014709034644611313,11.180323123931885,63
16.503656148910522,1711488397.1626112,0.07750003741085709,37,0.06449262057101464,0.11988896221515599,0.013007416839842448,11.783080816268921,67
17.260506868362427,1711488397.919462,0.06875039532743728,38,0.0580236323443558,0.11083697356262431,0.010726762983081483,12.539728164672852,72
18.01806640625,1711488398.6770215,0.06164500852696231,39,0.051731362781285456,0.10751817020047573,0.009913645745676852,13.29751443862915,77
18.777010679244995,1711488399.4359658,0.05695073704532316,40,0.04755759000562007,0.10302067787098608,0.009393147039703096,14.056481838226318,82
19.692614555358887,1711488400.3515697,0.0533894645182679,41,0.044982554196874996,0.0989342293737788,0.008406910321392902,14.971933841705322,88
