l2_error,loss_interior,step,_step,_timestamp,loss,time,_runtime,loss_boundary
1.7725661516681395,120.30927686545765,0,0,1713908648.3094294,121.75998552611632,1.5751900672912598,5.839013338088989,1.4507086606586714
1.6544983212357047,116.28188471062079,1,1,1713908648.5493739,118.04366694253699,2.082287073135376,6.078957796096802,1.7617822319161995
1.9459703933053623,115.56214740226065,2,2,1713908648.7530813,117.09717010901213,2.28590726852417,6.282665252685547,1.5350227067514726
1.7250332717176846,111.89821766527847,3,3,1713908648.9543173,114.01546160640737,2.4872543811798096,6.483901262283325,2.1172439411289043
1.6147571638831923,106.56366613892756,4,4,1713908649.1574936,108.26672003514884,2.690383195877075,6.687077522277832,1.7030538962212838
1.266927541854139,90.29625786814361,5,5,1713908649.3586833,91.79296324812483,2.8916518688201904,6.888267278671265,1.4967053799812262
1.1921034419442194,71.05903537757797,6,6,1713908649.558052,72.01413683115098,3.091048240661621,7.0876359939575195,0.9551014535730128
0.9195114011653476,50.59984252171063,7,7,1713908649.7619965,51.46045199447728,3.293574333190918,7.291580438613892,0.8606094727666534
0.7049605974933246,32.07930642471164,8,8,1713908649.967438,32.59781773171969,3.499952793121338,7.497021913528442,0.5185113070080468
0.530350670265046,20.682641525458205,9,9,1713908650.1800284,20.991133440019343,3.7122607231140137,7.7096123695373535,0.308491914561139
0.2639761709402941,7.843733698046233,10,10,1713908650.384508,8.029277406399762,3.9168875217437744,7.9140918254852295,0.1855437083535291
0.2538866453337203,2.56241706882146,11,11,1713908650.5875912,2.6155871677569413,4.120481252670288,8.117175102233887,0.05317009893548115
0.15691691446427386,0.8261056455952609,12,12,1713908650.7915614,0.8725804979280016,4.324484825134277,8.321145296096802,0.046474852332740686
0.15036041564396177,0.18184519399391286,13,13,1713908650.9925191,0.20357001924618912,4.5254881381988525,8.522103071212769,0.02172482525227627
0.12968200100338445,0.09109870032889494,14,14,1713908651.1927266,0.1114260921957412,4.725661993026733,8.722310543060303,0.02032739186684627
0.11961920278960163,0.02922897826090428,16,15,1713908651.6029954,0.04424420435050151,5.135911703109741,9.132579326629639,0.01501522608959723
0.10934463549279928,0.021931487717415498,17,16,1713908651.8055885,0.03569701103895103,5.338537931442261,9.335172414779663,0.013765523321535534
0.10600908081231537,0.016748830786097707,18,17,1713908652.007591,0.0283710152292344,5.540542840957642,9.537174940109253,0.011622184443136696
0.09654665820776102,0.012215459757232473,20,18,1713908652.431438,0.02168494733049156,5.963847398757935,9.961021900177002,0.00946948757325909
0.09043297385422562,0.010319865871824785,21,19,1713908652.63506,0.01935560543297702,6.167976140975952,10.164644002914429,0.009035739561152233
0.08344654445696212,0.007688411884968243,23,20,1713908653.0490391,0.01479839848011944,6.581649303436279,10.578623056411743,0.007109986595151197
0.07462738768196141,0.006521023053832015,24,21,1713908653.2424715,0.013278340629435652,6.775721788406372,10.772055387496948,0.0067573175756036365
0.06955158357607519,0.004382960206603005,26,22,1713908653.5974264,0.0095169676182077,7.130659580230713,11.127010345458984,0.005134007411604695
0.0632181447875309,0.0034685398992361613,28,23,1713908653.961177,0.00766380261677614,7.49440598487854,11.490761041641235,0.004195262717539979
0.050030911069748676,0.0021103164242920894,31,24,1713908654.4947627,0.005005667867317325,8.027909278869629,12.024346590042114,0.0028953514430252354
0.04359757782013176,0.0016232273160229523,33,25,1713908654.905501,0.0038636515497950173,8.437529563903809,12.435084819793701,0.002240424233772065
0.0384657882028528,0.0012946109435775176,35,26,1713908655.3183544,0.003010105811084811,8.850458860397339,12.847938299179077,0.0017154948675072936
0.03173211919925254,0.0009223183200251969,38,27,1713908655.9360027,0.0019774257754502354,9.46893310546875,13.46558666229248,0.0010551074554250384
0.027240536293142503,0.0007645194875404646,41,28,1713908656.558681,0.0015429791533542834,10.091540813446045,14.08826494216919,0.0007784596658138188
0.022375548977881153,0.00066263902796353,44,29,1713908657.1659546,0.0011545437969020475,10.698875665664673,14.695538520812988,0.0004919047689385174
0.01515465886014199,0.0003930392281583365,48,30,1713908657.9731286,0.0006682886309113215,11.50570297241211,15.502712488174438,0.000275249402752985
0.01138089055695398,0.0002782723997005153,51,31,1713908658.5841515,0.0004359362165847648,12.116410732269287,16.11373543739319,0.00015766381688424956
0.008266566085175057,0.00019245977562454793,55,32,1713908659.3890913,0.00027632336924683,12.921972036361694,16.918675184249878,8.386359362228205e-05
0.006094672124596139,0.00012254680513543607,59,33,1713908660.205764,0.00016119066233236776,13.738561868667603,17.735347986221313,3.8643857196931704e-05
0.00456757301335134,8.271181529200935e-05,64,34,1713908661.223792,0.00010622390771490235,14.7566819190979,18.753376007080078,2.3512092422893006e-05
0.003799218712933367,5.385145030763077e-05,69,35,1713908662.262772,6.855583314898524e-05,15.795205116271973,19.79235601425171,1.470438284135446e-05
0.0031300455015787617,3.44783540428459e-05,74,36,1713908663.2913647,4.520270212117321e-05,16.823856115341187,20.820948600769043,1.0724348078327311e-05
0.002584742031970713,2.1742763081564272e-05,80,37,1713908664.5225716,2.8984682488082178e-05,18.055485010147095,22.05215549468994,7.241919406517906e-06
0.002102334827619042,1.4574853787181543e-05,86,38,1713908665.7266023,1.9440377135867722e-05,19.259531021118164,23.25618624687195,4.8655233486861795e-06
0.0015799065108817456,8.886660160573708e-06,93,39,1713908667.1784136,1.1886845373861214e-05,20.710811614990234,24.7079975605011,3.0001852132875064e-06
0.0011982719975068257,5.398620566622009e-06,100,40,1713908668.6141512,7.063339044032173e-06,22.147016525268555,26.14373517036438,1.6647184774101644e-06
