time,_timestamp,step,loss_boundary,loss_interior,_runtime,l2_error,_step,loss
1.439126968383789,1715519403.3977802,0,0.10221430993907545,0.0009206967623794066,5.435275077819824,0.2391073470430701,0,0.10313500670145485
1.7664706707000732,1715519403.516151,1,0.1022142351287107,0.0009206977120450802,5.553645849227905,0.21587404814298775,1,0.10313493284075577
1.875000238418579,1715519403.6245844,2,0.0750445734954359,0.002842770827418486,5.662079334259033,0.22636399450821498,2,0.0778873443228544
1.976299524307251,1715519403.7258868,3,0.07607121657683183,0.0008328579690510565,5.763381719589233,0.21784977958164525,3,0.07690407454588288
2.077294111251831,1715519403.8268597,4,0.0727251235353982,0.0025813127070595646,5.864354610443115,0.23133402652333518,4,0.07530643624245777
2.177990674972534,1715519403.927531,5,0.07020572230597441,0.0013849060350426187,5.965025901794434,0.14795018701910242,5,0.07159062834101702
2.278684139251709,1715519404.0294974,6,0.03997516460580322,0.028654269964774756,6.066992282867432,0.14583971815116017,6,0.06862943457057798
2.380659580230713,1715519404.1299293,7,0.02869817457345702,0.019866739510791775,6.167424201965332,0.10807700770021371,7,0.048564914084248796
2.4777352809906006,1715519404.227138,8,0.024816974941295762,0.007286290172432067,6.264632940292358,0.10118047787920988,8,0.03210326511372783
2.580073595046997,1715519404.3295977,9,0.023330297170276407,0.005936702840222959,6.367092609405518,0.11525096589196526,9,0.029267000010499367
2.680119037628174,1715519404.4296288,10,0.02266159594584486,0.0014771816336154825,6.467123746871948,0.09912325734241875,10,0.024138777579460344
2.7798149585723877,1715519404.5288188,11,0.01776002107798386,0.0026611716294173407,6.566313743591309,0.08553780038050594,11,0.0204211927074012
2.864602565765381,1715519404.6136496,12,0.015048976177581538,0.0027852343260899083,6.651144504547119,0.07380066765886302,12,0.017834210503671448
2.9489028453826904,1715519404.6979904,13,0.012959780752739646,0.002328492872258552,6.735485315322876,0.07128970630014207,13,0.015288273624998197
3.03353214263916,1715519404.782568,14,0.011605700687766325,0.0017163182146102325,6.820062875747681,0.06486557189135032,14,0.013322018902376557
3.117969512939453,1715519404.8670373,15,0.009637474589716475,0.001090057408935949,6.904532194137573,0.055100851258289396,15,0.010727531998652425
3.2025415897369385,1715519404.951573,16,0.005240289503945692,0.004956559665182915,6.989067792892456,0.05273348249781246,16,0.010196849169128608
3.2912368774414062,1715519405.04032,17,0.005295339939032759,0.0013068863942786362,7.077814817428589,0.04510010999410128,17,0.006602226333311395
3.375812530517578,1715519405.124859,18,0.004793983520190326,0.0008927857323553454,7.162353992462158,0.036782750174356074,18,0.005686769252545671
3.466510057449341,1715519405.2155743,19,0.0037999124495835808,0.0011722403040045595,7.253069162368774,0.029414394013674856,19,0.00497215275358814
3.5511369705200195,1715519405.3001835,20,0.0030698835928004873,0.0015825730327334207,7.3376784324646,0.033988189785318125,20,0.004652456625533908
3.6364986896514893,1715519405.3855932,21,0.002600847217705148,0.0013030319382178182,7.423088073730469,0.0285908520301491,21,0.0039038791559229662
3.720789909362793,1715519405.4698143,22,0.0022693813455737996,0.0011674331609906829,7.507309198379517,0.029126865395044756,22,0.0034368145065644825
3.8257393836975098,1715519405.575117,23,0.0021460038521770777,0.0005071966172208855,7.612612009048462,0.02165876476571788,23,0.0026532004693979633
3.929332733154297,1715519405.6790361,24,0.0017102911011108483,0.0009959016371775752,7.716531038284302,0.018899943737432135,24,0.0027061927382884235
4.0318238735198975,1715519405.7812731,25,0.0013778764009219494,0.0004936677989645764,7.81876802444458,0.017509717770887306,25,0.001871544199886526
4.13012170791626,1715519405.879674,26,0.0011494024765790751,0.0005743884388814897,7.917168855667114,0.028847604790955505,26,0.0017237909154605648
4.230294942855835,1715519405.9797814,27,0.002448471354167156,0.0029319063870619465,8.017276287078857,0.015877042098146717,27,0.005380377741229103
4.332665920257568,1715519406.0822332,28,0.001091658953561998,0.00042097591658687717,8.119728088378906,0.015143837037475082,28,0.0015126348701488752
4.434148073196411,1715519406.183694,29,0.0009395068315962372,0.0005761838951071493,8.22118878364563,0.01476170412129907,29,0.0015156907267033864
4.536735534667969,1715519406.2861304,30,0.0009027440467150006,0.00024099480651159613,8.323625326156616,0.2013117068506241,30,0.0011437388532265966
4.635380029678345,1715519406.3849049,31,0.05487876425147936,0.03711218586230433,8.422399759292603,0.06507630581956696,31,0.09199095011378369
4.736146926879883,1715519406.4856322,32,0.008494863550065826,0.002599959687854712,8.52312707901001,0.03094855349249075,32,0.011094823237920538
4.833283424377441,1715519406.5826855,33,0.003293963672913631,0.0022448298803982823,8.620180368423462,0.0290747142224691,33,0.005538793553311914
4.935091257095337,1715519406.684552,34,0.0029808553958126168,0.0005231202679923534,8.722046852111816,0.025753332881698683,34,0.00350397566380497
5.03732705116272,1715519406.7868536,35,0.0023318708449464698,0.0003152550942616946,8.824348449707031,0.024835306417655145,35,0.0026471259392081645
5.137343645095825,1715519406.8867106,36,0.0020151576448357855,0.00039550201261218603,8.924205541610718,0.022855202711762803,36,0.0024106596574479714
5.236201524734497,1715519406.985654,37,0.0017970387361984804,0.00014798055286292596,9.023149013519287,0.07409141854994274,37,0.0019450192890614064
5.3378376960754395,1715519407.0873015,38,0.006853906317324299,0.007032146310722304,9.124796390533447,0.039730953541817854,38,0.013886052628046604
5.438537836074829,1715519407.1880653,39,0.0028619944780313767,0.0008221858345883569,9.225560188293457,0.02564210977864972,39,0.0036841803126197335
5.537102937698364,1715519407.2865498,40,0.0016598277070321399,0.00015247191214112394,9.324044704437256,0.02105853203515932,40,0.0018122996191732637
