_timestamp,_step,loss_boundary,loss_interior,time,l2_error,loss,step,_runtime
1715515107.6512063,0,0.10221430993907545,0.0009206967623794066,1.5056977272033691,0.20654093170283913,0.10313500670145485,0,5.519914150238037
1715515107.8168178,1,0.07856398579807991,0.0010247286098433474,1.8801090717315674,0.21874226700439545,0.07958871440792326,1,5.68552565574646
1715515107.979239,2,0.07708944899829714,0.001120037131013515,2.041362762451172,0.22520144489537677,0.07820948612931065,2,5.847946882247925
1715515108.1330597,3,0.07693479220000354,0.0011976979741087801,2.196425437927246,0.22520144489537677,0.07813249017411232,3,6.001767635345459
1715515108.2898493,4,0.07693479220000354,0.0011976979741087801,2.353250026702881,0.22587976522743225,0.07813249017411232,4,6.158557176589966
1715515108.4445345,5,0.07690231336366823,0.0012262664633779878,2.507857322692871,0.22722324688510168,0.07812857982704623,5,6.313242435455322
1715515108.5999684,6,0.07674692083554782,0.0013550501350364451,2.6633384227752686,0.22771958655253172,0.07810197097058427,6,6.468676328659058
1715515108.7444952,7,0.07603744250225519,0.0019542955684937833,2.8079278469085693,0.2192216117158631,0.07799173807074898,7,6.613203048706055
1715515108.889635,8,0.07447271108675065,0.003241306590007992,2.9529876708984375,0.20923755930364335,0.07771401767675863,8,6.758342981338501
1715515109.036175,9,0.07353492312025907,0.004041289251563003,3.0995521545410156,0.20531334327263712,0.07757621237182208,9,6.904882907867432
1715515109.1814995,10,0.07347490829620608,0.004008817374098638,3.244870901107788,0.21099163113500632,0.07748372567030472,10,7.0502073764801025
1715515109.329318,11,0.07412431525966055,0.002800330835209606,3.3927488327026367,0.22266399648688356,0.07692464609487015,11,7.198025941848755
1715515109.476197,12,0.07488024826181133,0.0017879376652045616,3.539640426635742,0.22403867501686767,0.0766681859270159,12,7.344904899597168
1715515109.621341,13,0.07499323723950801,0.001487160584269953,3.6847023963928223,0.21707891964633225,0.07648039782377797,13,7.490048885345459
1715515109.766944,14,0.07438760461406396,0.00179876256822558,3.8303277492523193,0.21429456034091351,0.07618636718228955,14,7.6356518268585205
1715515109.9136076,15,0.07356143821800026,0.0024002683947502083,3.9770114421844482,0.21681241217205133,0.07596170661275047,15,7.782315492630005
1715515110.058327,16,0.07302256952009892,0.002760806667837406,4.121725082397461,0.2178887315724197,0.07578337618793632,16,7.927034854888916
1715515110.2124128,17,0.07299780381115989,0.0025679064789391674,4.275756597518921,0.21659884814918307,0.07556571029009905,17,8.081120729446411
1715515110.3711815,18,0.0732056172569799,0.0021197027946833306,4.4345808029174805,0.21727993367700532,0.07532532005166323,18,8.23988938331604
1715515110.524243,19,0.07325465920210078,0.001851609067864936,4.587563514709473,0.218877361800912,0.07510626826996572,19,8.392951011657715
1715515110.6783178,20,0.07293092512913973,0.0019106005445851594,4.741725921630859,0.21729354217757885,0.07484152567372489,20,8.547025680541992
1715515110.8328063,21,0.07237547159070962,0.002177398114031001,4.896217346191406,0.21423802818004076,0.07455286970474062,21,8.70151424407959
1715515110.9877446,22,0.07188658038643096,0.0023601471894295085,5.051093578338623,0.2140777482237536,0.07424672757586047,22,8.856452465057373
1715515111.1422694,23,0.07162493741536019,0.0022736218050677876,5.2056732177734375,0.21554975628423284,0.07389855922042798,23,9.010977268218994
1715515111.2959108,24,0.07144984293607572,0.0020647266229777586,5.359331369400024,0.21467114894442585,0.07351456955905347,24,9.164618730545044
1715515111.452305,25,0.07109709622411513,0.0019897270685780887,5.515712022781372,0.21230004044806927,0.07308682329269321,25,9.3210129737854
1715515111.6062841,26,0.07049985271158984,0.0021002513429234067,5.66970682144165,0.2113071460703074,0.07260010405451325,26,9.474992036819458
1715515111.7585588,27,0.06982713134571898,0.0022196884849522884,5.821932554244995,0.21077646409002088,0.07204681983067127,27,9.627266645431519
1715515111.9121552,28,0.0692273729238604,0.0021830463887582557,5.975552320480347,0.20913323393280975,0.07141041931261866,28,9.780863046646118
1715515112.0646498,29,0.06859875740440732,0.0020715937383739822,6.128036022186279,0.2074786342080399,0.0706703511427813,29,9.93335771560669
1715515112.2179646,30,0.06773630456284704,0.0020664383094065814,6.281365394592285,0.20563862088615237,0.06980274287225363,30,10.08667254447937
1715515112.372521,31,0.06660923642355492,0.0021642371335202372,6.435929775238037,0.20267582852240743,0.06877347355707515,31,10.241228818893433
1715515112.525541,32,0.06536310477519724,0.0021774131013821895,6.588891983032227,0.20002609472976404,0.06754051787657943,32,10.394248962402344
1715515112.6822388,33,0.06394309351355508,0.0021055754623086546,6.745516061782837,0.19614986482063948,0.06604866897586373,33,10.550946712493896
1715515112.83712,34,0.06202649562636591,0.0021938324128991066,6.900274753570557,0.1905209351330923,0.06422032803926501,34,10.705827951431274
1715515112.990781,35,0.05969837130322088,0.002259708790533434,7.054132461547852,0.1853212945171657,0.061958080093754316,35,10.85948896408081
1715515113.146944,36,0.05692521993307523,0.0022081320822050555,7.210240125656128,0.1741235516349448,0.059133352015280284,36,11.015651941299438
1715515113.2979603,37,0.05308226145660313,0.0025043509329343606,7.36134934425354,0.17217361955000082,0.05558661238953749,37,11.166668176651001
1715515113.4517355,38,0.04925236332500599,0.0019797440903930263,7.515074968338013,0.12920242714739677,0.05123210741539901,38,11.320443391799927
1715515113.6053839,39,0.04191266601027664,0.00630501731805399,7.66877293586731,0.14474258046383986,0.04821768332833063,39,11.47409176826477
1715515113.7621906,40,0.04222888223053659,0.0026719727508020628,7.825517177581787,0.1558065337538371,0.04490085498133865,40,11.630898475646973
1715515114.0656078,41,0.04244726864382624,0.0019322818249191576,8.128937244415283,0.13865503994004114,0.04437955046874539,42,11.93431568145752
