time,_step,_runtime,_timestamp,loss_boundary,l2_error,step,loss_interior,loss
1.2918980121612549,0,2.3231422901153564,1726514480.3707004,0.018235298179658677,0.1420957455505082,0,0.003384950596444573,0.02162024877610325
1.871541976928711,1,2.5738894939422607,1726514480.6214476,0.012566630476260133,0.10502380332561641,1,0.0012717798423704416,0.013838410318630574
2.0958800315856934,2,2.796863555908203,1726514480.8444216,0.0059138122942602,0.07489693303665983,2,0.0004441617804520902,0.00635797407471229
2.329353094100952,3,3.0303897857666016,1726514481.0779479,0.0040611609830403465,0.06031178958389039,3,0.0003014972922926414,0.0043626582753329875
2.5574028491973877,4,3.258493423461914,1726514481.3060515,0.0029912454668404543,0.04861261016824388,4,0.00034278465724272227,0.0033340301240831764
2.7915120124816895,5,3.492550849914551,1726514481.540109,0.001905978719656574,0.035017639227821085,5,0.0002971270074223308,0.002203105727078905
3.0474705696105957,6,3.7484493255615234,1726514481.7960074,0.0014326055502750193,0.03843936809269012,6,0.00033115744056783997,0.0017637629908428592
3.3097615242004395,7,4.010867357254028,1726514482.0584254,0.001122538814599239,0.03363426186674104,7,0.00020990229716962908,0.001332441111768868
3.539055585861206,8,4.240064859390259,1726514482.287623,0.001070138744851084,0.034635835343667015,8,0.00021492751510050528,0.0012850662599515894
3.779287338256836,9,4.4802610874176025,1726514482.5278192,0.0008849587835712434,0.03153496827621948,9,0.00015482547488193183,0.0010397842584531753
4.02971076965332,10,4.730743885040283,1726514482.778302,0.0008061341528564717,0.03111441219842725,10,0.00016705381902340984,0.0009731879718798816
4.2730255126953125,11,4.974010705947876,1726514483.0215688,0.0006910683041012895,0.02843175492574404,11,0.00014964884299613863,0.0008407171470974281
4.530418634414673,12,5.231444597244263,1726514483.2790027,0.0006661452294398299,0.02573123033134063,12,0.00013277598138325473,0.0007989212108230846
4.774333715438843,13,5.4753148555755615,1726514483.522873,0.0005865756759623696,0.024259588999499933,13,0.00012323998287089698,0.0007098156588332666
5.023383855819702,14,5.724332571029663,1726514483.7718906,0.0005852470720157784,0.02234008284179389,14,0.00012304869514081457,0.000708295767156593
5.272918701171875,15,5.973889112472534,1726514484.0214472,0.0004960744427266475,0.020831548911832715,15,0.00011349549066881296,0.0006095699333954606
5.534708499908447,16,6.235710144042969,1726514484.2832682,0.0004890674518662384,0.018908476310581433,16,0.0001163254884551598,0.0006053929403213982
5.7776877880096436,17,6.478881359100342,1726514484.5264394,0.000408380811051434,0.016678257875238325,17,0.00011927689059529315,0.0005276577016467271
6.026662588119507,18,6.727613687515259,1726514484.7751718,0.00037052209970017967,0.014439832005958537,18,0.00012553091913033946,0.0004960530188305192
6.247002601623535,19,6.9479992389678955,1726514484.9955573,0.0003360422610574471,0.012824717680092282,19,0.00012174333313040514,0.00045778559418785224
6.489903688430786,20,7.191110372543335,1726514485.2386684,0.0002776076587965807,0.011081127694986146,20,0.00012995321258366718,0.00040756087138024786
6.701658010482788,21,7.402753829956055,1726514485.450312,0.0002577637325439246,0.010641928700804975,21,0.0001290028855633451,0.00038676661810726966
6.949776649475098,22,7.650834083557129,1726514485.6983922,0.0002298160077906252,0.009318162406218125,22,0.00012635843035679238,0.00035617443814741755
7.214139223098755,23,7.915154695510864,1726514485.9627128,0.00020514584430901867,0.009167049495306955,23,0.00012186340894791384,0.00032700925325693253
7.461151838302612,24,8.162177085876465,1726514486.2097352,0.000171587840631107,0.009067282421654204,24,0.0001275058367503846,0.00029909367738149156
7.709482908248901,25,8.410526037216187,1726514486.458084,0.00017141591384145253,0.009227362296016148,25,0.00013239336442009405,0.00030380927826154655
7.951030254364014,26,8.652060747146606,1726514486.6996188,0.0001398003021269279,0.010196961290757554,26,0.00012885406404794633,0.00026865436617487423
8.161041259765625,27,8.862032890319824,1726514486.909591,0.00013280046472623634,0.009838527471247267,27,0.00012856325243007751,0.00026136371715631385
8.393335580825806,28,9.094308853149414,1726514487.141867,0.00011485669882930398,0.010359448284279605,28,0.0001233372755086821,0.0002381939743379861
8.611032009124756,29,9.312145233154297,1726514487.3597033,0.00010380274545136975,0.010433827290325227,29,0.00012782180423743053,0.00023162454968880027
8.82661771774292,30,9.527677774429321,1726514487.5752358,9.337926905224264e-05,0.01089465135666883,30,0.0001155820478233895,0.00020896131687563215
9.079679727554321,31,9.780662536621094,1726514487.8282206,8.555563860848584e-05,0.012167512155949417,31,0.00011986601641975703,0.00020542165502824287
9.327347755432129,32,10.028504133224487,1726514488.0760622,7.672753140087407e-05,0.01159610403145033,32,0.00011280259213796909,0.00018953012353884315
9.568691968917847,33,10.269744157791138,1726514488.3173022,7.41463516001338e-05,0.01163426844777549,33,0.00011370861675128296,0.00018785496835141676
9.784992933273315,34,10.48604416847229,1726514488.5336022,7.222017434297378e-05,0.01176663170870537,34,0.00010348916793124367,0.00017570934227421745
10.006961584091187,35,10.708530902862549,1726514488.756089,6.669232474256409e-05,0.013030614887524116,35,9.706615852483964e-05,0.00016375848326740373
10.253976821899414,36,10.954984426498413,1726514489.0025425,6.040807599534208e-05,0.011866870782523303,36,8.999159434426141e-05,0.0001503996703396035
10.508674383163452,37,11.209669351577759,1726514489.2572274,5.8457266381943724e-05,0.01188927728700474,37,8.9268462987692e-05,0.00014772572936963573
10.733266592025757,38,11.434400796890259,1726514489.4819589,5.653359487999564e-05,0.01171500164789187,38,8.325521077978577e-05,0.0001397888056597814
10.976266384124756,39,11.677278757095337,1726514489.7248368,5.332455280638265e-05,0.011285319286465166,39,7.25087450788588e-05,0.00012583329788524146
