_step,loss,step,_runtime,time,l2_error,_timestamp,loss_boundary,loss_interior
0,122.18549486955206,0,6.0658838748931885,1.9160592555999756,1.5300628226740158,1714606313.7830698,1.5021347655867303,120.68336010396533
1,121.29200323713108,1,6.246031284332275,2.315918207168579,1.2945220979382346,1714606313.9632173,1.3867736047299173,119.90522963240117
2,111.30325767790666,2,6.400906324386597,2.4714455604553223,0.9180421598696569,1714606314.1180923,0.9695101032227128,110.33374757468394
3,71.13018730191732,3,6.555397272109985,2.6256844997406006,1.098379177568942,1714606314.2725832,0.49541902328613674,70.63476827863119
4,62.16440926228517,4,6.709082841873169,2.7795565128326416,0.9306247680211965,1714606314.4262688,0.7422369211597959,61.422172341125375
5,38.97404555607454,5,6.866901636123657,2.9370532035827637,0.7254223866799003,1714606314.5840876,0.5782413343228577,38.39580422175168
6,29.147292358726048,6,7.020900726318359,3.09136962890625,0.7194768817619769,1714606314.7380867,0.378385677144966,28.768906681581083
7,18.666070178638854,7,7.1750266551971436,3.2454605102539062,0.8378184104300889,1714606314.8922126,0.38049548485103407,18.28557469378782
8,15.367091731857771,8,7.34086275100708,3.411325693130493,0.9334472910042747,1714606315.0580487,0.4845667938398223,14.88252493801795
9,14.784515740926263,9,7.49365758895874,3.5641393661499023,0.9655288476146736,1714606315.2108436,0.5795530232250828,14.20496271770118
10,11.746117353760887,10,7.647358655929565,3.7176272869110107,0.9389535054824537,1714606315.3645446,0.6224523679164795,11.123664985844409
11,10.639067012435964,11,7.801145792007446,3.8716068267822266,0.9329093266128808,1714606315.5183318,0.5992180414549189,10.039848970981046
12,10.012778428665559,12,7.9589927196502686,4.029750347137451,0.9831666283461253,1714606315.6761787,0.5964043112977402,9.41637411736782
13,8.546290466419311,13,8.11208963394165,4.182429313659668,1.029512891517418,1714606315.8292756,0.6544233013679928,7.891867165051318
14,7.650055703081495,14,8.270734548568726,4.341211557388306,1.0157724943659412,1714606315.9879205,0.7081728389826426,6.941882864098853
15,6.1309559312437445,15,8.43285846710205,4.503343105316162,1.0123002923170878,1714606316.1500444,0.6926730447808963,5.438282886462848
16,5.108563154691584,16,8.592315673828125,4.66279673576355,1.0233127309516716,1714606316.3095016,0.6848704633940806,4.423692691297504
17,4.334290626352243,17,8.747816801071167,4.818264007568359,0.9885559948535433,1714606316.4650028,0.6959765456410394,3.6383140807112038
18,3.877981437071586,18,8.902842044830322,4.973315477371216,0.9665683048402215,1714606316.620028,0.6545413286975995,3.2234401083739868
19,3.55820065954223,19,9.057673454284668,5.128134727478027,0.96646787889974,1714606316.7748594,0.6257529564233811,2.9324477031188487
20,3.23411480127416,20,9.212707042694092,5.283184766769409,0.9209582281024258,1714606316.929893,0.6213733451773819,2.612741456096778
21,2.8877538068283766,21,9.368504285812378,5.43895959854126,0.9088044447221908,1714606317.0856903,0.5691068921475323,2.318646914680844
22,2.536643689603104,22,9.607301950454712,5.67764687538147,0.86614198901829,1714606317.324488,0.5508752672054675,1.9857684223976368
23,2.343171798446373,23,9.761298179626465,5.83182692527771,0.8518999812251346,1714606317.4784842,0.4993414450988588,1.843830353347514
24,2.0523720433695813,24,9.914145469665527,5.984764099121094,0.8392893313243224,1714606317.6313314,0.48460752585289585,1.5677645175166857
25,1.9064772288411236,25,10.073412656784058,6.143840074539185,0.815850417132756,1714606317.7905986,0.47057130417659454,1.4359059246645292
26,1.7678018999499086,26,10.226540803909302,6.297217845916748,0.7676367737532622,1714606317.9437268,0.44568329554964103,1.3221186044002675
27,1.6149553611276868,27,10.378530740737915,6.44922137260437,0.752948927534089,1714606318.0957167,0.395993577022151,1.2189617841055358
28,1.4417613185253766,28,10.530853033065796,6.60152792930603,0.7191378468591317,1714606318.248039,0.3803104740008479,1.0614508445245288
29,1.345312323288966,29,10.68406057357788,6.754458427429199,0.7014460171316557,1714606318.4012465,0.35021161731160644,0.9951007059773598
30,1.2223007218019761,30,10.838022947311401,6.9083404541015625,0.6646262519638617,1714606318.555209,0.3314773175624075,0.8908234042395685
31,1.1271062059203132,31,10.996303796768188,7.066455841064453,0.6038527183249164,1714606318.7134898,0.2995912124361555,0.8275149934841577
32,1.0180798535489228,32,11.150450229644775,7.221024751663208,0.586045183172989,1714606318.8676362,0.24828644464937732,0.7697934088995455
33,0.914853116806505,33,11.306164979934692,7.376785039901733,0.5704392248353506,1714606319.023351,0.234972691715074,0.679880425091431
