l2_error,_timestamp,loss_interior,loss,loss_boundary,time,_step,_runtime,step
3.188409597819619,1715421444.8989112,123.25134859863059,124.79941088089237,1.5480622822617889,1.0673432350158691,0,6.246448278427124,0
4.696732142790655,1715421444.9418921,100.37024627990839,105.55190766195729,5.1816613820489055,1.65303373336792,1,6.289429187774658,1
3.070012177551208,1715421444.9758909,104.69414003832762,116.123592214864,11.429452176536383,1.6862835884094238,2,6.32342791557312,2
2.3895692822665997,1715421445.012536,184.32319528545406,189.73697318073127,5.413777895277199,1.722839117050171,3,6.360073089599609,3
1.675285012014065,1715421445.040355,127.26249735235233,130.3638311143766,3.101333762024281,1.7507505416870117,4,6.387892007827759,4
1.5969983842320976,1715421445.067595,120.80209503632946,122.45622634491617,1.6541313085867102,1.7780838012695312,5,6.41513204574585,5
1.686283689181055,1715421445.0943599,125.10718739389294,126.69527488427242,1.588087490379483,1.8047184944152832,6,6.441896915435791,6
1.8321186982646152,1715421445.1219559,121.19995083185776,122.8283908748078,1.6284400429500334,1.8321866989135742,7,6.4694929122924805,7
2.0113485478892046,1715421445.1494727,118.81372763001472,120.86236868570586,2.0486410556911334,1.8600077629089355,8,6.497009754180908,8
1.8010828089850575,1715421445.1769369,114.76374606835506,117.06241116615453,2.298665097799466,1.887397050857544,9,6.5244739055633545,9
1.6795484652029824,1715421445.205866,117.50955884017162,119.29624686287244,1.7866880227008135,1.9146888256072998,10,6.55340313911438,10
1.596654455494919,1715421445.2322147,119.688746896198,121.26993378719105,1.5811868909930504,1.9447026252746582,11,6.57975172996521,11
2.1544021701113145,1715421445.2583032,109.78448357598664,111.31612583931842,1.5316422633317743,1.970947504043579,12,6.60584020614624,12
2.0961025773350563,1715421445.2838178,120.89656153069289,123.16221498484134,2.265653454148448,1.9962081909179688,13,6.631354808807373,13
1.7320680841676712,1715421445.3092332,120.30476025457348,122.75525193806847,2.45049168349499,2.0216526985168457,14,6.6567702293396,14
1.6102261641849884,1715421445.3343554,124.80142200960377,126.51965256905578,1.718230559452009,2.047072649002075,15,6.681892395019531,15
1.5903330248738567,1715421445.3594859,123.59913672904382,125.12908697768599,1.52995024864217,2.0722570419311523,16,6.7070229053497314,16
1.6614743769057365,1715421445.399447,123.4986451311309,124.91918738668731,1.4205422555564169,2.1121022701263428,17,6.746984004974365,17
1.744230629343936,1715421445.4256,121.91570931827432,123.34125585862863,1.4255465403543102,2.1383984088897705,18,6.773137092590332,18
1.7426717807213814,1715421445.4506943,123.14991323014429,124.86177382262842,1.7118605924841337,2.16330885887146,19,6.798231363296509,19
1.6673916771682515,1715421445.4756393,119.770341518613,121.60089917550617,1.8305576568931812,2.188308000564575,20,6.823176383972168,20
1.5965036247401059,1715421445.5011854,117.77433521255055,119.42496085881805,1.6506256462674946,2.2138612270355225,21,6.848722457885742,21
1.5866781758523925,1715421445.5265427,121.64218657645199,123.1343498209367,1.4921632444847217,2.239365339279175,22,6.874079704284668,22
1.6190367997309345,1715421445.5518656,121.45166720821727,123.02939711601962,1.5777299078023495,2.2643635272979736,23,6.899402618408203,23
1.6444045542184622,1715421445.5770977,121.55978321040752,123.13894493611785,1.5791617257103308,2.2898731231689453,24,6.924634695053101,24
1.6296645440543933,1715421445.6028569,122.13249031691643,123.75068351537026,1.618193198453826,2.3157055377960205,25,6.950393915176392,25
1.5954552605902086,1715421445.6283345,125.7377838600352,127.32275229031593,1.5849684302807332,2.3412039279937744,26,6.975871562957764,26
1.5830182835115771,1715421445.6536026,125.28328182644195,126.70654735739444,1.4232655309524926,2.3663241863250732,27,7.0011396408081055,27
1.592148828612656,1715421445.6792152,122.12131641012756,123.59288250079578,1.471566090668218,2.3918673992156982,28,7.026752233505249,28
1.6116497738014168,1715421445.7045424,121.833434970811,123.34369785377919,1.5102628829681863,2.417306423187256,29,7.052079439163208,29
1.6319256965933326,1715421445.7296042,121.08097136520256,122.6837612474375,1.6027898822349511,2.4423553943634033,30,7.077141284942627,30
1.6293914975079025,1715421445.7544794,118.4813806175431,119.96587166892523,1.4844910513821334,2.467132806777954,31,7.102016448974609,31
1.6025224481653362,1715421445.779453,118.00244690315891,119.49242869807674,1.4899817949178256,2.4921834468841553,32,7.126990079879761,32
1.583496293313737,1715421445.8044477,127.20262644979353,128.82899163459984,1.6263651848063174,2.5172383785247803,33,7.151984691619873,33
1.5938765716642365,1715421445.8295424,117.07390589292848,118.57074455011077,1.4968386571822956,2.542233467102051,34,7.177079439163208,34
1.6180477963032402,1715421445.8545666,123.9676199596657,125.55542974226944,1.5878097826037412,2.567347764968872,35,7.202103614807129,35
1.6237550777358174,1715421445.8799894,121.02999152955805,122.65722891145761,1.6272373818995594,2.592926502227783,36,7.227526426315308,36
1.5985372342843085,1715421445.9102433,121.92893233592794,123.55150469095112,1.6225723550231828,2.6229312419891357,37,7.257780313491821,37
1.5836766139814067,1715421445.9364345,122.06294433788459,123.57288601649367,1.5099416786090825,2.649121046066284,38,7.283971548080444,38
1.5857962322928973,1715421445.9614944,119.76294320038598,121.28029510064383,1.5173519002578555,2.6743550300598145,39,7.3090314865112305,39
1.5947059210250223,1715421445.9865918,124.60817609315309,125.99246227263961,1.3842861794865202,2.699275493621826,40,7.3341288566589355,40
1.605590405859351,1715421446.0324612,120.54590574629827,122.0566248929291,1.5107191466308205,2.7451412677764893,41,7.379998207092285,42
1.599624481969031,1715421446.11751,129.79245215471326,131.24780671719614,1.4553545624828776,2.829799175262451,42,7.465047121047974,46
