_step,l2_error,time,loss_interior,step,_runtime,_timestamp,loss_boundary,loss
0,1.5072219732226466,1.7352688312530518,120.68336010396533,0,5.752255439758301,1714607018.0274544,1.5021347655867303,122.18549486955206
1,0.5542793828231984,2.1706016063690186,119.68787269021652,1,5.9627156257629395,1714607018.2379146,1.3432057539047473,121.03107844412126
2,0.6070888954259094,2.346452474594116,88.57680042656455,2,6.138376951217651,1714607018.413576,0.16991322676737974,88.74671365333192
3,0.9873674246119326,2.496396780014038,40.689125789031934,3,6.287445783615112,1714607018.5626447,0.2876342119536729,40.97676000098561
4,0.9873674246119326,2.6428256034851074,28.5305714390136,4,6.433645963668823,1714607018.708845,0.678718377676676,29.209289816690276
5,1.0022302179716462,2.800168752670288,28.5305714390136,5,6.591266393661499,1714607018.8664653,0.678718377676676,29.209289816690276
6,1.0847919641096109,2.946051597595215,28.439384409691904,6,6.736894607543945,1714607019.0120935,0.6965343461818282,29.135918755873732
7,0.9439966408931826,3.139390230178833,27.245909794629416,7,6.932358503341675,1714607019.2075574,0.793541560845184,28.0394513554746
8,0.8464056510091473,3.3030436038970947,21.17828615967368,8,7.093737840652466,1714607019.3689368,0.6130865537119902,21.79137271338567
9,0.7978621514489951,3.471348762512207,20.293927551961282,9,7.2619993686676025,1714607019.5371983,0.5031783619283053,20.797105913889588
10,0.7763610185981614,3.6260526180267334,20.16322474657128,10,7.416623830795288,1714607019.6918228,0.4521331338446248,20.615357880415907
11,0.8873453587353654,3.788923501968384,15.510692099422089,11,7.582138299942017,1714607019.8573372,0.42593904882666,15.936631148248749
12,0.9302079626685593,3.996779680252075,14.325614520725294,12,7.788140535354614,1714607020.0633395,0.5369851992130027,14.862599719938297
13,0.8105252074215934,4.15425968170166,14.026077040933055,13,7.945836305618286,1714607020.2210352,0.5816477094306514,14.607724750363706
14,0.8434939643198887,4.297085523605347,12.064120880047751,14,8.088066577911377,1714607020.3632655,0.4358331332486701,12.49995401329642
15,0.8583322959448105,4.435077667236328,10.962474574836117,15,8.225518226623535,1714607020.5007172,0.48395821980532355,11.44643279464144
16,0.7856335572486441,4.576914310455322,10.542053103342132,16,8.369258165359497,1714607020.644457,0.49946133877940035,11.041514442121533
17,0.7820507898654098,4.717889070510864,9.896835169986943,17,8.508324146270752,1714607020.783523,0.4172391679615218,10.314074337948465
18,0.8524390251330337,4.854825973510742,9.88337157963579,18,8.645436525344849,1714607020.9206355,0.4112591481549313,10.294630727790722
19,0.7589368065508032,4.991524934768677,8.997755613652561,19,8.781905174255371,1714607021.057104,0.48035624252648995,9.478111856179051
20,0.6828032285402155,5.1314966678619385,8.637613883562953,20,8.921928405761719,1714607021.1971273,0.4001153325503646,9.037729216113316
21,0.7930698353111845,5.268946886062622,8.214452002018014,21,9.059443235397339,1714607021.3346422,0.32877531101451085,8.543227313032524
22,0.808445704105624,5.405740737915039,7.7565990569783505,22,9.196154356002808,1714607021.4713533,0.42203985624454454,8.178638913222896
23,0.7178061865849246,5.541440963745117,7.721424706904876,23,9.331772565841675,1714607021.6069715,0.4364018924184429,8.157826599323318
24,0.6969336460073569,5.678705453872681,7.522817390808776,24,9.469157695770264,1714607021.7443566,0.3576811866083318,7.880498577417108
