loss_boundary,loss,_step,_runtime,l2_error,_timestamp,time,step,loss_interior
1.380917835554935e-07,4.1280362762669767e-07,39,1454.0512380599976,0.0007974396644586831,1714598761.083846,1450.1478381156921,39,2.7471184407120415e-07
1.3187565443920633e-07,3.9402731374798317e-07,40,1490.2068037986755,0.0007937678437017194,1714598797.2394118,1486.3042278289795,40,2.6215165930877685e-07
1.238813189753613e-07,3.608500098030629e-07,41,1562.1634120941162,0.0007802111383408328,1714598869.1960201,1558.2605137825012,42,2.3696869082770161e-07
1.1113764305267961e-07,3.1068593622540326e-07,42,1706.092657327652,0.0007585020309209468,1714599013.1252654,1702.1896224021912,46,1.9954829317272366e-07
9.582621798668526e-08,2.5593426923918984e-07,43,1850.8221592903137,0.0007283161132961382,1714599157.8547673,1846.9194173812866,50,1.601080512525046e-07
7.746408070380415e-08,2.0048489190933557e-07,44,2032.4142680168152,0.0006905976302377334,1714599339.446876,2028.5113744735718,55,1.230208112055314e-07
6.755602411038547e-08,1.6505857464477602e-07,45,2249.384631872177,0.00066430634907923,1714599556.41724,2245.481731891632,61,9.750255053439056e-08
5.846589589881428e-08,1.3976281939942793e-07,46,2466.9232478141785,0.0006471103450415396,1714599773.9558558,2463.0195727348328,67,8.129692350061365e-08
5.357633612774644e-08,1.267858395425554e-07,47,2683.837033510208,0.0006342775114530413,1714599990.8696415,2679.933132648468,73,7.320950341480895e-08
4.723906508501917e-08,1.0987269813590506e-07,48,2973.3103551864624,0.0006162060389493323,1714600280.3429632,2969.4075520038605,81,6.263363305088588e-08
4.670716695502557e-08,1.0854251992254943e-07,49,3009.5428161621094,0.0006142653072840173,1714600316.5754242,3005.639923810959,82,6.183535296752386e-08
