loss_boundary,loss,_step,_runtime,l2_error,_timestamp,time,step,loss_interior
1.5021347655867303,122.18549486955206,0,41.69345664978027,1.588859989321701,1714597348.7260647,37.4508171081543,0,120.68336010396533
1.5022484257275073,121.99204107449039,1,78.34543681144714,1.6575221575810342,1714597385.3780448,74.44275236129761,1,120.48979264876289
1.6447842755520197,106.11852399649796,2,115.06283378601074,1.498661898970349,1714597422.0954418,111.16008758544922,2,104.47373972094594
1.342321450559628,95.11582781994774,3,151.8521490097046,1.3588269643192905,1714597458.884757,147.94839787483215,3,93.77350636938812
1.0979916471548437,71.35386184839656,4,188.00870633125305,1.3706323795064204,1714597495.0413144,184.10459637641907,4,70.25587020124172
1.061961977836641,16.519758531729938,5,224.5297336578369,0.7112071053359664,1714597531.5623417,220.6269121170044,5,15.457796553893296
0.30641306326827655,6.1280452321953875,6,261.05542850494385,0.2860232276246967,1714597568.0880365,257.15265941619873,6,5.821632168927111
0.054070357516178336,0.9731946739955255,7,297.61905169487,0.06509959279441407,1714597604.6516597,293.71627855300903,7,0.9191243164793472
0.003035374542334014,0.05794323227024925,8,334.29352593421936,0.022424185738443275,1714597641.326134,330.3904016017914,8,0.05490785772791524
0.00037203625904629837,0.004660338929397802,9,370.94606852531433,0.006468564216512179,1714597677.9786766,367.0426776409149,9,0.004288302670351503
3.0309867517707743e-05,0.0003144609959463721,10,407.3061490058899,0.003649133985763103,1714597714.338757,403.40338826179504,10,0.00028415112842866436
9.201400253524828e-06,4.543949235882351e-05,11,443.5918653011322,0.002963808715036209,1714597750.6244733,439.68804693222046,11,3.6238092105298677e-05
4.999161314967384e-06,1.7799639678987226e-05,12,479.99029898643494,0.0025771733448384177,1714597787.022907,476.08731865882874,12,1.2800478364019841e-05
3.4003833590021667e-06,1.1141504134538291e-05,13,516.3122134208679,0.0023026887429284685,1714597823.3448215,512.4093670845032,13,7.741120775536125e-06
2.49303549894542e-06,8.053184084067453e-06,14,552.5187439918518,0.002066534033945147,1714597859.551352,548.6160507202148,14,5.560148585122033e-06
1.8655981479558628e-06,6.210518914592707e-06,15,588.7793962955475,0.00187267988548831,1714597895.8120043,584.8762938976288,15,4.344920766636844e-06
1.4488103262606197e-06,4.857876701319574e-06,16,625.0400695800781,0.001728184142420532,1714597932.0726776,621.1364669799805,16,3.409066375058955e-06
1.1412127401793362e-06,3.83619640353728e-06,17,661.1791722774506,0.0015838250364631635,1714597968.2117803,657.2754981517792,17,2.694983663357944e-06
9.217799136149054e-07,3.224493413848342e-06,18,697.3525664806366,0.0015297931546473119,1714598004.3851745,693.449755191803,18,2.3027135002334366e-06
8.35677191792472e-07,2.7206732454486974e-06,19,733.4458694458008,0.0013431003395868101,1714598040.4784775,729.5424046516418,19,1.8849960536562254e-06
5.863370661035039e-07,2.2875928166465992e-06,20,769.46164894104,0.0012551187327891939,1714598076.494257,765.5589833259583,20,1.7012557505430952e-06
4.966011944766077e-07,1.6837551460319547e-06,21,805.3993520736694,0.0012058280803126725,1714598112.43196,801.4965522289276,21,1.187153951555347e-06
4.3737421483101216e-07,1.5083793893252966e-06,22,841.4071033000946,0.0011508777142206356,1714598148.4397113,837.5031723976135,22,1.0710051744942845e-06
3.8760055327554527e-07,1.3392325978363531e-06,23,877.4617252349854,0.0011042125954695608,1714598184.4943333,873.5591232776642,23,9.516320445608078e-07
3.4879905868224504e-07,1.2078035145199337e-06,24,913.4731569290161,0.0010661053672637586,1714598220.505765,909.5694663524628,24,8.590044558376888e-07
3.1641799665922463e-07,1.0885440110191602e-06,25,949.4641268253326,0.0010340616571999194,1714598256.4967349,945.5611543655396,25,7.721260143599357e-07
2.9012320140481036e-07,9.955247871268759e-07,26,985.4534428119659,0.0010045588835578038,1714598292.4860508,981.5507121086121,26,7.054015857220655e-07
2.6799316807891897e-07,9.165115022817086e-07,27,1021.4029550552368,0.0009808197509374478,1714598328.435563,1017.5000517368317,27,6.485183342027896e-07
2.499136975241724e-07,8.480657066673966e-07,28,1057.4040732383728,0.0009589041079752935,1714598364.4366813,1053.5003926753998,28,5.981520091432242e-07
2.3414652145308623e-07,7.882056715255671e-07,29,1093.4259717464447,0.0009388584316170844,1714598400.4585798,1089.5231537818909,29,5.540591500724809e-07
2.207673542426049e-07,7.377777315006372e-07,30,1129.520639181137,0.0009235096169295283,1714598436.5532472,1125.6179258823395,30,5.170103772580323e-07
2.0911745165581854e-07,6.931134849630447e-07,31,1165.7674794197083,0.0008921639190639476,1714598472.8000875,1161.8636918067932,31,4.839960333072261e-07
1.9022464843095294e-07,6.463473332310871e-07,32,1201.8309211730957,0.0008813427991212724,1714598508.8635292,1197.9279704093933,32,4.561226848001342e-07
1.8211923772993912e-07,5.875578832984441e-07,33,1237.7608783245087,0.0008588116259332856,1714598544.7934864,1233.8581714630127,33,4.05438645568505e-07
1.6884627970423509e-07,5.507898987886246e-07,34,1273.756251335144,0.0008516283596037399,1714598580.7888594,1269.852549791336,34,3.819436190843895e-07
1.6321092795495537e-07,5.131040799661119e-07,35,1309.8513062000275,0.000833679349554423,1714598616.8839142,1305.9480142593384,35,3.4989315201115655e-07
1.534864056345825e-07,4.827439020881495e-07,36,1345.8956124782562,0.0008284656603783172,1714598652.9282205,1341.9928073883057,36,3.292574964535671e-07
1.4918744330599964e-07,4.568370453053663e-07,37,1381.833750963211,0.0008138365946168358,1714598688.866359,1377.9310185909271,37,3.0764960199936665e-07
1.4161297752265796e-07,4.3434863500428487e-07,38,1417.923086643219,0.0008093224460269256,1714598724.9556947,1414.0203108787537,38,2.9273565748162694e-07
