time,_runtime,_step,loss_interior,l2_error,loss_boundary,step,loss,_timestamp
1.551844596862793,5.676331520080566,0,120.68336010396533,1.5163892417230036,1.5021347655867303,0,122.18549486955206,1714579042.8944814
1.925837755203247,5.82983660697937,1,119.81218482669668,1.0290829641680244,1.3583720111130735,1,121.17055683780976,1714579043.0479865
2.0794966220855713,5.984938621520996,2,92.5530479183635,0.8479565117851972,0.5445691371503744,2,93.09761705551388,1714579043.2030885
2.2339651584625244,6.138508558273315,3,50.93125316184348,1.2015737857290836,0.47927921481746105,3,51.41053237666094,1714579043.3566585
2.386857509613037,6.291405200958252,4,44.25831567529608,1.3991966395530664,0.9068269500401551,4,45.16514262533624,1714579043.509555
2.539207696914673,6.443892002105713,5,42.693136859502964,1.4918118475172153,1.2097563933745146,5,43.902893252877476,1714579043.662042
2.6951849460601807,6.599824905395508,6,42.10599241025235,1.5742174548704955,1.3711486717075223,6,43.47714108195987,1714579043.8179748
2.84831166267395,6.752922058105469,7,41.23526065261893,1.717225483760031,1.5283762213584984,7,42.76363687397743,1714579043.971072
3.0005571842193604,6.9051666259765625,8,38.98679703552795,1.8191242439294915,1.8344520054457871,8,40.82124904097374,1714579044.1233165
3.1537697315216064,7.0584633350372314,9,36.01179265854076,1.8523624327013568,2.0903575692937726,9,38.102150227834535,1714579044.2766132
3.3066399097442627,7.211431264877319,10,32.79638684243122,1.8286901623989542,2.2121621070897373,10,35.00854894952096,1714579044.4295812
3.4597220420837402,7.364521265029907,11,30.78673361680188,1.6247031402332994,2.1790658481718856,11,32.96579946497376,1714579044.5826712
3.6131949424743652,7.5181238651275635,12,24.679266489483858,1.429007583115571,1.7773890585520462,12,26.456655548035904,1714579044.7362738
3.769268751144409,7.67431116104126,13,23.307640128439584,1.3781195144950475,1.4222324709716416,13,24.729872599411227,1714579044.892461
3.9241394996643066,7.829023361206055,14,22.97967118090557,1.2961697849032048,1.3347356011119442,14,24.314406782017514,1714579045.0471733
4.079050302505493,7.984095573425293,15,22.035515775342894,1.2741714439354674,1.1899954354039755,15,23.22551121074687,1714579045.2022455
4.241892099380493,8.146921634674072,16,21.59607437891904,1.2931527111619436,1.1419197919284179,16,22.73799417084746,1714579045.3650715
4.396031379699707,8.301018238067627,17,20.92430550111428,1.4136820665410446,1.1210276271138677,17,22.045333128228148,1714579045.5191681
4.551033973693848,8.456011772155762,18,20.3280852699953,1.605279400467627,1.235190199281902,18,21.5632754692772,1714579045.6741617
4.708190441131592,8.613260746002197,19,17.407539739670366,1.6926542376834046,1.496607240250565,19,18.90414697992093,1714579045.8314106
4.862421751022339,8.76740026473999,20,15.432937098711166,1.7230401633126584,1.65274969893435,20,17.085686797645515,1714579045.9855502
5.017710208892822,8.922782897949219,21,14.948841091198677,1.7281685344683562,1.7213265858277307,21,16.670167677026406,1714579046.1409328
5.176271915435791,9.081395149230957,22,14.892689336354053,1.7318574126369726,1.735656061055122,22,16.628345397409174,1714579046.299545
5.331418037414551,9.236411571502686,23,14.820410735254113,1.7340152233033832,1.748126123608478,23,16.56853685886259,1714579046.4545615
5.485418796539307,9.390474319458008,24,14.742429609360565,1.7333123418359815,1.7584479647528528,24,16.500877574113417,1714579046.6086242
5.640931844711304,9.545979261398315,25,14.655343719968254,1.7318669061618506,1.7714785635622015,25,16.426822283530456,1714579046.7641292
5.795466899871826,9.700452089309692,26,14.642279238140327,1.7270493153709896,1.7726937205463187,26,16.414972958686647,1714579046.918602
5.949341297149658,9.853819131851196,27,14.593637795632358,1.7081433851515875,1.7718942439974517,27,16.36553203962981,1714579047.071969
6.10383677482605,10.0082688331604,28,14.496943882586168,1.6100517837104922,1.754460173156699,28,16.251404055742867,1714579047.2264187
6.257940292358398,10.162449359893799,29,14.269988553980108,1.3777944878674253,1.6144574786712356,29,15.884446032651343,1714579047.3805993
6.410318851470947,10.315567970275879,30,13.9935062334484,1.2961494591345684,1.2504417442805984,30,15.243947977728999,1714579047.5337179
6.565721273422241,10.470802783966064,31,14.022244328880852,1.209504038870562,1.126135312471306,31,15.148379641352157,1714579047.6889527
6.720557928085327,10.625563621520996,32,14.053143070922195,1.1656898909938813,0.9984286121427918,32,15.051571683064987,1714579047.8437135
6.874890327453613,10.779951810836792,33,14.05950006386377,1.0791584678954447,0.935729742958148,33,14.995229806821918,1714579047.9981017
7.030396461486816,10.935463666915894,34,14.063221015069077,0.9955701384092974,0.8160084827189764,34,14.879229497788053,1714579048.1536136
7.184717416763306,11.089751482009888,35,14.099186177765123,0.9176746045232677,0.7059164210839629,35,14.805102598849086,1714579048.3079014
7.340312242507935,11.245363473892212,36,14.124577770497167,0.8480230566908126,0.608315428337259,36,14.732893198834425,1714579048.4635134
7.495663404464722,11.400702476501465,37,14.07342492062972,0.7894341090514868,0.5249537382995682,37,14.598378658929288,1714579048.6188524
7.649486780166626,11.554594278335571,38,13.913225274751346,0.7454281899469442,0.4572241576494065,38,14.370449432400752,1714579048.7727442
7.803773880004883,11.708716869354248,39,13.712243504059435,0.7302793133888402,0.40678661061672144,39,14.119030114676157,1714579048.9268668
7.958542346954346,11.863604545593262,40,13.626727533797572,0.7202772348622302,0.388787188341659,40,14.015514722139232,1714579049.0817544
8.264050483703613,12.169050216674805,41,13.510529634866241,0.7148741470554605,0.3678646882989047,42,13.878394323165146,1714579049.3872
8.862020015716553,12.767096757888794,42,13.464923064412995,0.7196781510286993,0.3647694408612456,46,13.82969250527424,1714579049.9852467
