_runtime,loss_interior,time,_step,loss_boundary,l2_error,_timestamp,loss,step
5.508185863494873,120.68336010396533,1.445430040359497,0,1.5021347655867303,1.5882574102018394,1714838855.6374729,122.18549486955206,0
5.609543323516846,120.68335792491189,1.800534725189209,1,1.5021343991671436,3.041929751469845,1714838855.7388303,122.18549232407904,1
5.706089496612549,163.02512265010324,1.8969151973724365,2,5.054721628319165,2.9976199626409334,1714838855.8353765,168.0798442784224,2
5.800110816955566,98.86095301857975,1.991745948791504,3,4.906911614369146,2.761353757726564,1714838855.9293978,103.7678646329489,3
5.891038656234741,63.16271249571205,2.082662343978882,4,4.196934246904934,3.6480399891164117,1714838856.0203257,67.35964674261699,4
5.981544256210327,48.525675652936805,2.1731984615325928,5,7.001254745791892,3.274356390988399,1714838856.1108313,55.526930398728695,5
6.072298765182495,47.256688499160866,2.262603521347046,6,5.740737096405747,3.268949610011042,1714838856.2015858,52.99742559556661,6
6.163721799850464,42.46525437200929,2.354862928390503,7,5.764929227307441,3.772700803151369,1714838856.2930088,48.23018359931673,7
6.252271890640259,37.23598101154738,2.4435153007507324,8,7.491227393330037,4.280414499460873,1714838856.381559,44.727208404877416,8
6.343002080917358,31.380156892679864,2.5348024368286133,9,9.669383163247879,4.944121489698805,1714838856.472289,41.04954005592774,9
6.432156324386597,24.469404775767718,2.6238622665405273,10,12.764874798300355,5.281190969452628,1714838856.5614433,37.23427957406807,10
6.523482084274292,19.229705073472225,2.715167760848999,11,14.55749265277801,5.1029421115278515,1714838856.652769,33.787197726250234,11
6.612938642501831,15.281321847229988,2.8046438694000244,12,13.6392878907147,4.512090266132333,1714838856.7422256,28.920609737944687,12
6.702247142791748,14.19467931763262,2.8939437866210938,13,10.855293181845894,3.5373463722703895,1714838856.8315341,25.049972499478514,13
6.791718244552612,12.798220257709916,2.9834368228912354,14,6.90710930785118,2.6818227189627737,1714838856.9210052,19.705329565561097,14
6.881149530410767,11.688568107484903,3.072718620300293,15,4.095483943176115,2.1234247194362394,1714838857.0104365,15.784052050661018,15
6.973041534423828,11.935774656729443,3.1647002696990967,16,2.7478402648441915,1.7736577172408956,1714838857.1023285,14.683614921573634,16
7.064547061920166,11.320054147144008,3.256251096725464,17,2.003170815968549,1.6601295817626958,1714838857.193834,13.323224963112557,17
7.15370512008667,10.620536731983568,3.345423936843872,18,1.8457616635069203,1.8410623028793591,1714838857.2829921,12.466298395490488,18
7.240129470825195,8.565625585365012,3.431980609893799,19,2.26605713205486,1.8452004730512725,1714838857.3694165,10.831682717419872,19
7.343111038208008,8.017266447040077,3.5348012447357178,20,2.305834075438443,1.862650444113383,1714838857.472398,10.32310052247852,20
7.4315056800842285,7.375591764444094,3.622734546661377,21,2.356165232331815,1.8913965154464585,1714838857.5607927,9.731756996775909,21
7.522756338119507,7.1323945876203725,3.7140021324157715,22,2.4137051975393202,1.8714752421811343,1714838857.6520433,9.546099785159694,22
7.617255926132202,6.453385208858502,3.808413505554199,23,2.358057564372014,1.8743617024468078,1714838857.746543,8.811442773230516,23
7.708553314208984,6.291826674466357,3.899747371673584,24,2.351690270364376,1.8408105691108372,1714838857.8378403,8.643516944830733,24
7.7960803508758545,6.127867139773027,3.9879536628723145,25,2.2827176984336974,1.86852169787449,1714838857.9253674,8.410584838206724,25
7.885982513427734,5.873980236907861,4.0778279304504395,26,2.325486328092019,1.7200501808868223,1714838858.0152695,8.19946656499988,26
7.976790904998779,5.61538269121965,4.168599367141724,27,1.9620655308387656,1.7403716519746921,1714838858.106078,7.577448222058416,27
8.066744565963745,5.311511761486411,4.258409738540649,28,1.9424360502512672,1.6729307699520517,1714838858.1960316,7.253947811737678,28
8.157161951065063,5.175591788775731,4.348853588104248,29,1.786013132824504,1.745677586795493,1714838858.286449,6.961604921600235,29
8.246896505355835,4.776226095806308,4.43859601020813,30,1.8909439696726649,1.6818401910467284,1714838858.3761835,6.667170065478973,30
8.337432384490967,4.722177240389119,4.529077529907227,31,1.7880569268155138,1.6192585596160582,1714838858.4667194,6.510234167204633,31
8.427918672561646,4.2583984021628005,4.619596004486084,32,1.6836661787061182,1.5268321531994853,1714838858.5572057,5.9420645808689185,32
8.52904200553894,4.235493013822361,4.720844268798828,33,1.5399106162949048,1.4616279752775743,1714838858.658329,5.775403630117266,33
8.61873459815979,4.028821256197354,4.810209035873413,34,1.4301104781514153,1.4579961451669545,1714838858.7480216,5.458931734348769,34
8.712872505187988,3.7315491168520105,4.904624700546265,35,1.423000497390457,1.4587293690639662,1714838858.8421595,5.154549614242468,35
8.810545206069946,3.5838496715167176,5.002308368682861,36,1.4185741669016039,1.400927034492791,1714838858.9398322,5.002423838418322,36
8.89762806892395,3.3773445970207425,5.088759183883667,37,1.2939249303182139,1.3203940460272958,1714838859.026915,4.671269527338956,37
8.98768663406372,3.371862016032177,5.179492712020874,38,1.1633625077549965,1.2282188646654097,1714838859.1169736,4.535224523787173,38
9.078504085540771,3.376023470168754,5.270116329193115,39,1.0180429918631482,1.2036910591142493,1714838859.207791,4.394066462031902,39
9.170454502105713,3.305229836675062,5.362001180648804,40,0.9728572104933253,1.1995609428204763,1714838859.2997415,4.278087047168388,40
9.363558292388916,3.0899780526902587,5.554658651351929,41,0.9887619608727765,1.175321781966475,1714838859.4928453,4.078740013563035,42
9.709627151489258,3.0715111923921072,5.901381015777588,42,0.5184986226066501,0.808394874114197,1714838859.8389142,3.5900098149987576,46
10.055109024047852,2.881966396615321,6.246838569641113,43,0.4029098034564891,0.7219304193771247,1714838860.184396,3.28487620007181,50
