loss_boundary,step,l2_error,_runtime,_step,loss_interior,loss,time,_timestamp
1.5021347655867303,0,2.7361243228807886,5.600722312927246,0,120.68336010396533,122.18549486955206,1.067617416381836,1714583868.3568623
4.014252829690202,1,2.370640754623669,5.617804765701294,1,118.27431275022452,122.28856557991473,1.3396046161651611,1714583868.3739448
3.414221149871699,2,1.8010359552374953,5.633488178253174,2,171.7751492884488,175.1893704383205,1.354341745376587,1714583868.3896282
1.8928962992480562,3,2.331168726115184,5.64921498298645,3,120.66848218418754,122.56137848343559,1.3702349662780762,1714583868.405355
3.0305000951817984,4,2.479106425869184,5.665402889251709,4,120.58251368804993,123.61301378323172,1.3870842456817627,1714583868.421543
3.395737833395522,5,2.2601919556065835,5.681743621826172,5,120.59222263569183,123.98796046908734,1.4037296772003174,1714583868.4378836
2.862753894896601,6,1.8966082864911549,5.697816610336304,6,120.59655588785449,123.45930978275109,1.419543743133545,1714583868.4539566
2.079744600802894,7,1.6158177279686834,5.7172276973724365,7,120.59709806616739,122.67684266697029,1.439051866531372,1714583868.4733677
1.5527760358638336,8,1.6133487492705902,5.733189821243286,8,120.5971120493995,122.14988808526333,1.4546549320220947,1714583868.4893298
1.515002237576194,9,1.8179878102629896,5.748990297317505,9,120.59710398363788,122.11210622121408,1.4704627990722656,1714583868.5051303
1.838908291956212,10,1.9996417929292944,5.7656989097595215,10,120.59710041732622,122.43600870928243,1.4857115745544434,1714583868.521839
2.169948897480062,11,2.0322096499257993,5.781715631484985,11,120.59709914942815,122.76704804690822,1.502671241760254,1714583868.5378556
2.2330759263387288,12,1.9169290144373925,5.79754900932312,12,120.59709870385933,122.83017463019806,1.5189306735992432,1714583868.553689
2.0147241675512864,13,1.7339616293592062,5.820235729217529,13,120.59709854143347,122.61182270898476,1.5349657535552979,1714583868.5763757
1.6985469145076764,14,1.5982633956210803,5.836578845977783,14,120.59709847848103,122.2956453929887,1.5584301948547363,1714583868.5927188
1.4946361223720104,15,1.588014357211182,5.852724552154541,15,120.59709845213679,122.0917345745088,1.5745129585266113,1714583868.6088645
1.5003635595084306,16,1.6728478336589656,5.866247177124023,16,120.59709844014719,122.09746199965562,1.5899930000305176,1714583868.6223872
