loss_interior,l2_error,loss_boundary,loss,_step,time,_runtime,_timestamp,step
120.68336010396533,1.58825749718322,1.5021347655867303,122.18549486955206,0,1.4275524616241455,5.57207179069519,1714837488.8387988,0
120.68335881557991,1.3439443621530824,1.5021345761846803,122.1854933917646,1,1.7949275970458984,5.678574800491333,1714837488.9453018,1
136.61690217495283,2.233244255397448,1.0646027801332953,137.68150495508613,2,1.8977124691009521,5.781351804733276,1714837489.0480788,2
60.16199679553056,1.898651863411783,2.672581209584555,62.83457800511512,3,2.0024375915527344,5.885238409042358,1714837489.1519654,3
44.81545483457063,1.6275675065117094,1.9810361854801173,46.796491020050745,4,2.099733591079712,5.982524633407593,1714837489.2492516,4
35.20473512203775,1.8360431998893079,1.5649183481749012,36.769653470212646,5,2.1976706981658936,6.081143379211426,1714837489.3478703,5
23.199859502915245,1.6480339904913528,1.9586551052356547,25.1585146081509,6,2.297218084335327,6.182016849517822,1714837489.4487438,6
20.83727578100575,1.4574133952816601,1.6257475388364278,22.46302331984218,7,2.398578643798828,6.281372547149658,1714837489.5480995,7
17.19432305094549,1.566520874782642,1.4271837161468743,18.621506767092363,8,2.4992949962615967,6.382105350494385,1714837489.6488323,8
12.082588909172218,1.5881658836158334,1.5730672829406827,13.6556561921129,9,2.5983967781066895,6.481168985366821,1714837489.747896,9
10.782944129680965,1.6089584196877675,1.6037926370591948,12.38673676674016,10,2.6982648372650146,6.581228733062744,1714837489.8479557,10
9.031410495723597,1.4592052562154887,1.6749810860310668,10.706391581754664,11,2.7959632873535156,6.678956985473633,1714837489.945684,11
7.893116986397055,1.3764907515647458,1.4266184587968727,9.319735445193928,12,2.8935091495513916,6.776447534561157,1714837490.0431745,12
6.720546362060207,1.4340851195037696,1.321657175375824,8.04220353743603,13,2.9908599853515625,6.873759984970093,1714837490.140487,13
5.598066792848578,1.3978709074311337,1.4267724119786696,7.024839204827248,14,3.0929808616638184,6.976085424423218,1714837490.2428124,14
5.186612740427153,1.3846734129301783,1.367813114238535,6.554425854665688,15,3.1914615631103516,7.074386119842529,1714837490.341113,15
4.788729978935052,1.4252801812295715,1.3461093823016463,6.134839361236699,16,3.283912181854248,7.166638612747192,1714837490.4333656,16
4.29607407579198,1.401642303931942,1.4129810265504896,5.70905510234247,17,3.3791089057922363,7.2620460987091064,1714837490.528773,17
3.9388077405702933,1.3914977268076465,1.3735389595297398,5.312346700100033,18,3.475095510482788,7.357995510101318,1714837490.6247225,18
3.6229993022629574,1.3767785920872342,1.3512032228701005,4.974202525133058,19,3.569721221923828,7.453110933303833,1714837490.719838,19
3.319254828448496,1.334103512777964,1.3211967743505866,4.640451602799082,20,3.664206027984619,7.547624111175537,1714837490.814351,20
3.1337103878368153,1.3182476709717055,1.2453950928289874,4.379105480665803,21,3.76269268989563,7.646073341369629,1714837490.9128003,21
2.8731631364187837,1.2823663184433247,1.2087617429674486,4.081924879386232,22,3.864872694015503,7.748274326324463,1714837491.0150013,22
2.6261574766225837,1.2037175961490019,1.150761573961601,3.7769190505841848,23,3.9639813899993896,7.84738302230835,1714837491.11411,23
2.4568573996409833,1.1598798014406602,1.0276477214619997,3.484505121102983,24,4.062474727630615,7.945844888687134,1714837491.2125719,24
2.3053867679854454,1.0787067201207379,0.9548838532871899,3.2602706212726353,25,4.1566948890686035,8.039416551589966,1714837491.3061435,25
2.1300563460174327,0.9940787933718362,0.8399049779003152,2.969961323917748,26,4.254206418991089,8.13712215423584,1714837491.4038491,26
2.0304278084813263,0.9238840851003516,0.7276040554967699,2.758031863978096,27,4.350613117218018,8.233482837677002,1714837491.5002098,27
1.8230316357528087,0.872186066179929,0.6364664791992889,2.4594981149520976,28,4.446969747543335,8.329818487167358,1714837491.5965455,28
1.65949423467975,0.7987880642883816,0.5774583633171296,2.2369525979968796,29,4.548391580581665,8.431304216384888,1714837491.6980312,29
1.4965707184272978,0.7259886309999468,0.4964061672447575,1.9929768856720553,30,4.643884897232056,8.526646137237549,1714837491.793373,30
1.324656362221441,0.6641007653879788,0.4188690560207922,1.743525418242233,31,4.741168737411499,8.623862504959106,1714837491.8905895,31
1.2403868921963714,0.5876157885924789,0.3607345642994029,1.6011214564957743,32,4.837274551391602,8.719979286193848,1714837491.9867063,32
1.0962536019733682,0.5555561321793264,0.2946660561865034,1.3909196581598715,33,4.933460474014282,8.81620454788208,1714837492.0829315,33
1.018966087843828,0.4927860320656659,0.2707053995123303,1.2896714873561583,34,5.033425331115723,8.916123628616333,1714837492.1828506,34
0.9111094964830542,0.46830091539892327,0.22353550684347398,1.134645003326528,35,5.128381252288818,9.01109504699707,1714837492.277822,35
0.8239491305478168,0.4498780872224081,0.20594925160612126,1.029898382153938,36,5.223633289337158,9.10634970664978,1714837492.3730767,36
0.738613871897899,0.4266535442933256,0.19354574033550073,0.9321596122333997,37,5.318654537200928,9.20157265663147,1714837492.4682996,37
0.671920921610088,0.41317891066494156,0.1753051032376878,0.8472260248477758,38,5.414652109146118,9.297502756118774,1714837492.5642297,38
0.610947556714297,0.4036248715598256,0.16622031473582316,0.7771678714501202,39,5.518493413925171,9.40142822265625,1714837492.6681552,39
0.5424628293761922,0.3976970423036056,0.1590389891842541,0.7015018185604462,40,5.613865613937378,9.496802806854248,1714837492.7635298,40
0.42279564791107066,0.3851412464098773,0.14746916124336054,0.5702648091544312,41,5.798142194747925,9.68082880973816,1714837492.9475558,42
0.24108021914096534,0.3624030304317303,0.13132014779584,0.37240036693680534,42,6.166121244430542,10.04907774925232,1714837493.3158047,46
