loss,time,_timestamp,loss_interior,step,_step,l2_error,loss_boundary,_runtime
122.18549486955206,1.4307022094726562,1714591700.233633,120.68336010396533,0,0,1.5530405272731296,1.5021347655867303,5.532639980316162
112.37174334950805,2.0765416622161865,1714591700.5512903,110.92796729589662,1,1,0.7855751977674041,1.4437760536114301,5.850297212600708
82.34599440298923,2.39408540725708,1714591700.8686767,81.99522825498646,2,2,0.6554149394907857,0.3507661480027829,6.1676836013793945
58.98933534676976,2.721324920654297,1714591701.1959097,58.71670403161025,3,3,0.5601259255399701,0.27263131515950495,6.494916677474976
52.93995326751777,3.0425424575805664,1714591701.5186508,52.72506009271442,4,4,0.6018963218579417,0.2148931748033539,6.817657709121704
48.525171806635356,3.3628811836242676,1714591701.8374915,48.291316659674024,5,5,0.4531916122985402,0.23385514696133355,7.13649845123291
45.663277315499094,3.6801648139953613,1714591702.1547618,45.50705059680232,6,6,0.5098910927367096,0.15622671869677052,7.453768730163574
43.018314648040345,3.9963505268096924,1714591702.4709241,42.83786290145444,7,7,0.4292652183075387,0.18045174658590252,7.769931077957153
40.85469706177378,4.31371283531189,1714591702.788505,40.70939158447429,8,8,0.4690468930824637,0.14530547729948648,8.087512016296387
37.11565565078251,4.6348326206207275,1714591703.1094131,36.958840356004075,9,9,0.3861960035909101,0.15681529477843575,8.408420085906982
35.20002401669776,4.958337306976318,1714591703.4329295,35.07294018959235,10,10,0.4278738122043096,0.1270838271054075,8.73193645477295
31.48573136505765,5.277271032333374,1714591703.7520869,31.348791336565625,11,11,0.37615481517004534,0.13694002849202433,9.051093816757202
30.049596554972215,5.596181392669678,1714591704.070747,29.926599411065155,12,12,0.4774655523281229,0.12299714390705983,9.36975383758545
24.20234510677326,5.919656753540039,1714591704.394432,24.02091700454547,13,13,0.47435059015807407,0.1814281022277924,9.69343900680542
22.858592674019135,6.243478059768677,1714591704.7181394,22.688784533841083,14,14,0.477004964095217,0.16980814017805362,10.017146348953247
21.98587777603785,6.565327882766724,1714591705.04001,21.80679635917518,15,15,0.4793829987367252,0.17908141686266965,10.339016914367676
21.513107376812282,6.887060880661011,1714591705.3616407,21.338668529280127,16,16,0.4779069756246042,0.17443884753215422,10.660647630691528
21.069258899857253,7.206255912780762,1714591705.6809723,20.890672538727326,17,17,0.49193708343968007,0.1785863611299266,10.979979276657104
19.55499686002398,7.525370836257935,1714591705.9999404,19.37490962668549,18,18,0.48260365630052837,0.18008723333849072,11.29894733428955
18.72132169497446,7.843433380126953,1714591706.3180008,18.538812896346936,19,19,0.49967335107422306,0.1825087986275241,11.617007732391357
18.14406977393649,8.161088466644287,1714591706.6358523,17.9476815048589,20,20,0.49674724914785207,0.19638826907759233,11.934859275817871
17.716305877149512,8.479052066802979,1714591706.9535882,17.5246487210736,21,21,0.5219288313466443,0.19165715607591188,12.25259518623352
17.211353117198968,8.798351287841797,1714591707.2729464,17.009970964165635,22,22,0.5175656197420828,0.20138215303333346,12.571953296661377
16.932855381045176,9.119186401367188,1714591707.5940096,16.728616577843763,23,23,0.5218057883324726,0.2042388032014114,12.893016576766968
16.70444497995101,9.439245223999023,1714591707.913808,16.50113853928879,24,24,0.5230193908309942,0.20330644066222267,13.212815046310425
16.522871489671406,9.760535478591919,1714591708.2351162,16.31595698037035,25,25,0.5477189026371077,0.20691450930105784,13.534123182296753
15.885724426011672,10.079806089401245,1714591708.5546014,15.669748811565496,26,26,0.5433224038400555,0.21597561444617513,13.85360836982727
15.527226979906962,10.401137351989746,1714591708.8757217,15.307856786732465,27,27,0.5974726096439327,0.21937019317449602,14.174728631973267
14.737065422854615,10.719057559967041,1714591709.1938348,14.493745757888503,28,28,0.5808873875529822,0.24331966496611165,14.492841720581055
14.016756736794138,11.037996768951416,1714591709.512615,13.773812165641255,29,29,0.7109668686877847,0.24294457115288215,14.811621904373169
11.896084684243077,11.361878156661987,1714591709.836464,11.548147362672108,30,30,0.7183387340372004,0.3479373215709683,15.135470867156982
10.42356314709632,11.68309211730957,1714591710.1579182,10.083029379764916,31,31,0.7140525884962571,0.34053376733140445,15.4569251537323
10.270388308769004,12.00288200378418,1714591710.4774644,9.92875583205241,32,32,0.7364039279213761,0.34163247671659464,15.776471376419067
10.181511933445664,12.324655771255493,1714591710.7993486,9.829101367076332,33,33,0.7302942544040221,0.35241056636933227,16.098355531692505
10.078839544319177,12.655492782592773,1714591711.1301072,9.72726661055204,34,34,0.7320008397424633,0.3515729337671372,16.42911410331726
9.913876754983896,12.993297815322876,1714591711.468121,9.555573520961817,35,35,0.7458402877236496,0.3583032340220784,16.767127990722656
9.821032421422577,13.31730318069458,1714591711.7919338,9.458470801403951,36,36,0.7428625861802441,0.36256162001862696,17.090940713882446
9.757285410850525,13.640964031219482,1714591712.115783,9.393557184426598,37,37,0.7530864718029815,0.3637282264239262,17.41478991508484
9.679866518568534,13.962976217269897,1714591712.4375627,9.311389791365748,38,38,0.7503106903440305,0.368476727202787,17.73656964302063
9.622083468245473,14.283312320709229,1714591712.75793,9.252726159479696,39,39,0.766687224954204,0.36935730876577666,18.056936979293823
9.506791691303603,14.603460311889648,1714591713.0782082,9.128926072311907,40,40,0.7604163639227282,0.377865618991695,18.377215147018433
9.340260455382925,15.249625205993652,1714591713.7243688,8.953939898668859,42,41,0.7701864804397996,0.38632055671406645,19.023375749588013
8.881619727927777,16.518781185150146,1714591714.9936073,8.459933902373898,46,42,0.8071720562828079,0.42168582555388034,20.292614221572876
