step,time,_runtime,l2_error,_step,_timestamp,loss_interior,loss_boundary,loss
98,2.6932754516601562,6.740926504135132,1.3140756892408298,50,1714579995.9110434,2.045778794366367,1.318847844016245,3.364626638382612
107,2.7862179279327393,6.83382248878479,2.0779036188531124,51,1714579996.0039394,26.485179713114633,1.4205864435376117,27.905766156652245
118,2.894296407699585,6.941989898681641,1.0020809058407498,52,1714579996.1121068,5.264654582932995,0.7839280432966316,6.048582626229627
130,3.013974905014038,7.061830759048462,0.7304854908489156,53,1714579996.2319477,2.133991063212944,0.43759949733435394,2.571590560547298
143,3.1403136253356934,7.188037872314453,0.2735589144735831,54,1714579996.3581548,0.9704446375643238,0.07651371819664997,1.0469583557609736
157,3.277071237564087,7.32478141784668,0.124768625759469,55,1714579996.4948983,0.4296222394224725,0.028201995606516362,0.4578242350289889
172,3.425046443939209,7.472942352294922,0.11303876363265992,56,1714579996.6430593,0.2396161576017273,0.010643703449906975,0.2502598610516343
190,3.5973100662231445,7.64500617980957,0.10772847087540618,57,1714579996.815123,0.1532296771475589,0.009917455148958925,0.1631471322965178
208,3.7746317386627197,7.8224403858184814,0.09603277646892668,58,1714579996.9925573,0.11647501247811362,0.008856001581870977,0.1253310140599846
229,3.9779767990112305,8.025680303573608,0.09044354772634755,59,1714579997.1957972,0.09245152486327098,0.008126667312196913,0.10057819217546789
252,4.202133893966675,8.249891757965088,0.0867910766830422,60,1714579997.4200087,0.07574033357918443,0.007575463731635806,0.08331579731082024
277,4.4449756145477295,8.492709636688232,0.08350368238294681,61,1714579997.6628265,0.06352348024739543,0.007070094587630104,0.07059357483502554
305,4.714617729187012,8.762603759765625,0.0806335759956704,62,1714579997.9327207,0.05390347549147822,0.006612322450794945,0.060515797942273165
335,5.0038323402404785,9.051817178726196,0.07804614116793988,63,1714579998.221934,0.046433541766326435,0.006195064445281286,0.05262860621160772
369,5.33044958114624,9.378178834915161,0.07550665895640278,64,1714579998.5482957,0.04015057119383214,0.005787067271169844,0.045937638465001984
406,5.684297561645508,9.731196880340576,0.07307027415915346,65,1714579998.9013138,0.03499242332531223,0.005400456372759227,0.040392879698071454
446,6.086711883544922,10.134436130523682,0.07071134809188886,66,1714579999.304553,0.030705963930063196,0.005033420327026995,0.03573938425709019
491,6.521322727203369,10.569043397903442,0.06831092403068158,67,1714579999.7391603,0.026960333649276774,0.004669697234311201,0.03163003088358798
540,6.993257284164429,11.040711402893066,0.06593024402972965,68,1714580000.2108283,0.023771853233995548,0.004320574745779541,0.02809242797977509
594,7.503270387649536,11.551172494888306,0.06352785552051116,69,1714580000.7212894,0.02100672124106352,0.003981362832372079,0.0249880840734356
653,8.140501499176025,12.187076568603516,0.06111774774579336,70,1714580001.3571935,0.018618817918937054,0.0036551699907609514,0.022273987909698006
718,8.759592294692993,12.807199001312256,0.058677783434935224,71,1714580001.977316,0.016531564260846517,0.0033398411288571295,0.019871405389703646
790,9.442812204360962,13.490766048431396,0.056196634429550356,72,1714580002.660883,0.0146924021559163,0.0030348055149008284,0.017727207670817126
869,10.186078786849976,14.234178304672241,0.05370130000111999,73,1714580003.4042952,0.013080787395909848,0.002743965772442456,0.015824753168352305
956,11.01078987121582,15.058444738388062,0.05118754737872882,74,1714580004.2285616,0.011655845606681247,0.0024670928738069215,0.014122938480488168
1052,11.941311597824097,15.988932132720947,0.0486587622903632,75,1714580005.159049,0.010387511720567873,0.0022047741612246687,0.012592285881792542
1157,12.94476842880249,16.992761373519897,0.04614861371767119,76,1714580006.1628783,0.009263194351317283,0.0019603349244868003,0.011223529275804084
1272,14.055131673812866,18.102720737457275,0.04366810156177336,77,1714580007.2728376,0.008261009996817921,0.0017342545478801169,0.009995264544698039
1400,15.296732187271118,19.344479084014893,0.04119795012395268,78,1714580008.514596,0.007352423498146521,0.0015242794341754284,0.008876702932321949
1539,16.60310935974121,20.650847673416138,0.03882064627228197,79,1714580009.8209646,0.006548704025903601,0.0013363849868944543,0.007885089012798056
1693,18.071173667907715,22.119213104248047,0.036510983746399855,80,1714580011.28933,0.005824240802151756,0.0011670948613202595,0.006991335663472016
1863,19.671298503875732,23.719187259674072,0.03430359818117881,81,1714580012.8893042,0.005176651940579004,0.0010174716567721142,0.0061941235973511175
2049,21.443246603012085,25.49104356765747,0.032239203261632154,82,1714580014.6611605,0.004605946504170021,0.0008882836058398154,0.005494230110009836
2254,23.417744398117065,27.465781927108765,0.030319479176099187,83,1714580016.6358988,0.004102878184874372,0.0007774479226923699,0.004880326107566742
2479,25.542628288269043,29.59050178527832,0.02856397302276333,84,1714580018.7606187,0.0036652757558917805,0.0006838999724055453,0.0043491757282973255
2727,27.922420740127563,31.97051978111267,0.026968079654203194,85,1714580021.1406367,0.003286794446661343,0.0006052491300048907,0.0038920435766662334
3000,30.541430234909058,34.58942222595215,0.025526739050944672,86,1714580023.7595391,0.002963030960712366,0.00053930994572543,0.003502340906437796
3299,33.46993565559387,37.524624824523926,0.024227691172743735,87,1714580026.6947417,0.002689240177532395,0.000483835972990661,0.0031730761505230558
3629,36.653799533843994,40.701281785964966,0.023035418763171604,88,1714580029.8713987,0.0024565236076185886,0.0004360130860769159,0.0028925366936955045
3992,40.112431049346924,44.16082715988159,0.02192875374642824,89,1714580033.330944,0.0022590271752035217,0.0003940896608394471,0.002653116836042969
4391,43.97962808609009,48.026721715927124,0.02088761173412846,90,1714580037.1968386,0.0020904130232070055,0.0003566993364862683,0.002447112359693274
4831,48.167723178863525,52.21578764915466,0.019895841444839718,91,1714580041.3859046,0.0019446200652298309,0.0003228889818819202,0.002267509047111751
5314,52.71875739097595,56.76690196990967,0.0189524528093013,92,1714580045.9370189,0.0018177569021800856,0.0002923789289813934,0.002110135831161479
5845,57.78290581703186,61.83072328567505,0.018055558634105552,93,1714580051.0008402,0.001705944753308297,0.0002649125502793168,0.0019708573035876137
6429,63.37036919593811,67.41858649253845,0.01720766365194286,94,1714580056.5887034,0.0016063303411835823,0.00024038782926632794,0.0018467181704499103
7072,69.40874481201172,73.45660996437073,0.019284806479641016,95,1714580062.6267269,0.002466918887920398,0.0004017540684024866,0.0028686729563228847
7779,76.07197594642639,80.11976385116577,0.015800005142571384,96,1714580069.2898808,0.001477330588376167,0.00019967493943099578,0.0016770055278071629
8557,83.45015788078308,87.49835991859436,0.015106308652649662,97,1714580076.6684768,0.001389698196569617,0.00018424226757975313,0.00157394046414937
9413,91.61540150642395,95.66349673271179,0.014483446042564812,98,1714580084.8336136,0.0014003674090267808,0.00016626410681209262,0.0015666315158388733
10354,100.53633379936218,104.584627866745,0.013857810376712904,99,1714580093.7547448,0.0012750439938794046,0.00015499149418227276,0.0014300354880616773
11389,110.37477326393127,114.42278909683228,0.013323648428531674,100,1714580103.592906,0.0012015712256383021,0.0001454877218566064,0.0013470589474949084
12528,121.26880264282227,125.31670308113098,0.012729656518859633,101,1714580114.48682,0.001162800326122315,0.0001322222133177833,0.0012950225394400983
13781,133.33143186569214,137.3796513080597,0.01232179787122097,102,1714580126.5497682,0.0010928987703230622,0.00012663747840803855,0.0012195362487311008
15159,146.47066116333008,150.5187590122223,0.01179329322043313,103,1714580139.688876,0.0010498900591806046,0.00011645200263648492,0.0011663420618170895
16675,160.9414792060852,164.98940443992615,0.011245455398027864,104,1714580154.1595213,0.001010086379419917,0.00010544596188612882,0.0011155323413060457
18342,176.71438598632812,180.76247906684875,0.011066645385646006,105,1714580169.932596,0.0009398540669014766,0.00010572921254243212,0.0010455832794439087
20177,194.14322066307068,198.19128823280334,0.010669454433222689,106,1714580187.3614051,0.000892169464213287,9.918701364252362e-05,0.0009913564778558106
22194,213.1968309879303,217.24470162391663,0.010329262709779873,107,1714580206.4148185,0.0008425150596946299,9.376303528820327e-05,0.0009362780949828333
24414,234.31623768806458,238.36408972740173,0.010059601306704255,108,1714580227.5342066,0.0007907620138298137,8.962613209986414e-05,0.0008803881459296778
26855,257.34691405296326,261.3952181339264,0.009871064028310976,109,1714580250.565335,0.0007369064338989491,8.688610535538942e-05,0.0008237925392543385
29540,282.79122376441956,286.8392698764801,0.009744226673012675,110,1714580276.0093868,0.0006819574465984065,8.503565323346075e-05,0.0007669930998318673
32494,310.91059017181396,314.95884895324707,0.009672735192646213,111,1714580304.1289659,0.000626295249096629,8.385143548847033e-05,0.0007101466845850993
35744,341.8405158519745,345.88864278793335,0.00962807771513351,112,1714580335.0587597,0.0005707093241888255,8.285515177908631e-05,0.0006535644759679118
39318,375.6551785469055,379.7032563686371,0.009593136701919292,113,1714580368.8733733,0.0005155994930187321,8.187642155323188e-05,0.000597475914571964
43250,413.23791122436523,417.2861180305481,0.00947749995218169,114,1714580406.456235,0.00046247093522011645,7.948265380863512e-05,0.0005419535890287515
47575,454.38972783088684,458.43573021888733,0.009279788083397451,115,1714580447.6058471,0.00041120949320478143,7.586559361697242e-05,0.00048707508682175384
52332,499.5884623527527,503.6366174221039,0.008984934481343534,116,1714580492.8067343,0.0003623569810066581,7.092161313555289e-05,0.000433278594142211
57566,549.3060400485992,553.3540606498718,0.008584878109411663,117,1714580542.5241776,0.0003166201484509277,6.465386989113534e-05,0.000381274018342063
63322,603.8912556171417,607.9394686222076,0.008091207644826008,118,1714580597.1095855,0.0002747051214201175,5.7366130642748355e-05,0.00033207125206286583
69654,664.2655096054077,668.3136479854584,0.007537787903648884,119,1714580657.483765,0.0002371906257644433,4.964898322538007e-05,0.00028683960898982336
76620,730.2674670219421,734.3157887458801,0.00697281030192224,120,1714580723.4859056,0.00020461449965058823,4.219675664758568e-05,0.0002468112562981739
84281,803.7252910137177,807.7733924388885,0.006442319062328951,121,1714580796.9435093,0.00017732813217350568,3.5573895366905746e-05,0.00021290202754041141
92710,883.9638214111328,888.011397600174,0.005974648906124825,122,1714580877.1815145,0.00015514852283363945,3.007372556167576e-05,0.00018522224839531522
101980,972.99143242836,977.0395290851593,0.005577023758744925,123,1714580966.209646,0.00013735477946244282,2.5724699456635426e-05,0.00016307947891907825
112178,1070.3745021820068,1074.4226293563843,0.005240774894562147,124,1714581063.5927463,0.0001229854961078691,2.236087933743044e-05,0.00014534637544529955
123396,1177.4591438770294,1181.5070843696594,0.004951003253335994,125,1714581170.6772013,0.00011117356770850435,1.973924347457464e-05,0.000130912811183079
135736,1296.0187857151031,1300.0669107437134,0.00469363242193942,126,1714581289.2370276,0.0001012371725236185,1.763150033914911e-05,0.0001188686728627676
149309,1425.219889163971,1429.2676753997803,0.004458975684938028,127,1714581418.4377923,9.267731798795207e-05,1.587084558471903e-05,0.0001085481635726711
164240,1567.2538304328918,1571.301992893219,0.004241698580762992,128,1714581560.4721098,8.51454007420821e-05,1.4352978097395487e-05,9.949837883947759e-05
180664,1722.65869307518,1726.7064640522003,0.004039266652314587,129,1714581715.876581,7.840918504022461e-05,1.301778289201206e-05,9.142696793223667e-05
198731,1892.973848581314,1897.0215392112732,0.0038503211226747712,130,1714581886.191656,7.231461105470488e-05,1.1829829408014015e-05,8.41444404627189e-05
218604,2081.269631624222,2085.3176503181458,0.0036738933417863055,131,1714582074.4877672,6.675940670990667e-05,1.0766749358725896e-05,7.752615606863256e-05
240464,2288.440799474716,2292.488924264908,0.0035091170500320826,132,1714582281.6590412,6.167298896498159e-05,9.813023502265635e-06,7.148601246724723e-05
264510,2515.60701918602,2519.6551818847656,0.0033552395879101905,133,1714582508.8252988,5.70048701111992e-05,8.957177240743006e-06,6.596204735194221e-05
290961,2765.6263222694397,2769.6747164726257,0.0032116439730196515,134,1714582758.8448334,5.271672633882414e-05,8.190076825214745e-06,6.090680316403888e-05
315724,3000.00027012825,3004.0485010147095,0.003096393821312883,135,1714582993.218618,4.932059650857584e-05,7.5973062529046036e-06,5.691790276148044e-05
