loss,time,loss_interior,step,_step,_runtime,loss_boundary,_timestamp,l2_error
122.15818470261613,64.27539443969727,120.66585450262039,0,0,68.38129472732544,1.4923301999957372,1714588275.7632487,1.5804355584338692
121.93558276864893,123.56765699386597,120.45228877306342,1,1,127.31399035453796,1.4832939955855158,1714588334.6959443,1.5816226065960135
121.72784159808454,180.67743372917175,120.239356164422,2,2,184.42301106452942,1.4884854336625324,1714588391.804965,1.5645392046301247
121.23476741787321,237.84126377105713,119.7850643617153,3,3,241.58766841888428,1.4497030561579154,1714588448.9696224,1.5665957333920129
117.39741156675022,295.61564588546753,115.93523840321701,4,4,299.36508679389954,1.462173163533211,1714588506.7470407,2.252124331971328
100.7387160307083,356.1222174167633,98.01118166772636,5,5,359.86954498291016,2.727534362981938,1714588567.251499,2.3093994185826103
96.06921211366455,415.353307723999,93.24373644161948,6,6,419.0992202758789,2.8254756720450698,1714588626.4811742,1.4070318804809907
64.35463446751491,473.3134548664093,63.16433147211371,7,7,477.06128334999084,1.190302995401198,1714588684.4432373,1.1415872119699833
34.97350294747589,534.7199909687042,34.21952488521987,8,8,538.4665977954865,0.7539780622560226,1714588745.8485518,0.9127911411313833
19.166212601907947,592.3536734580994,18.648230340351684,9,9,596.0994145870209,0.5179822615562618,1714588803.4813685,0.44459132166560084
5.781291763848722,651.7796325683594,5.65204949499209,10,10,655.5255258083344,0.12924226885663198,1714588862.9074798,0.31110364622144815
1.6081772577517874,711.4824430942535,1.5495362613308856,11,11,715.2288854122162,0.05864099642090176,1714588922.6108394,0.1431277659630316
0.07994830978521333,770.6374099254608,0.06666826880773719,12,12,774.3833386898041,0.013280040977476155,1714588981.7652926,0.0698861444464083
0.02574544857546852,829.0658669471741,0.02262979811273374,13,13,832.8115518093109,0.003115650462734783,1714589040.1935058,0.03702786612957591
0.010707229638860711,887.260683298111,0.009838263761547401,14,14,891.0066869258881,0.0008689658773133098,1714589098.3886409,0.019179248908862533
0.004021999838913988,948.2065651416779,0.003795814569035213,15,15,951.953211069107,0.0002261852698787752,1714589159.335165,0.007536645850847431
0.001040709050681275,1008.2535874843597,0.0010043025082849123,16,16,1012.0021905899048,3.6406542396362663e-05,1714589219.3841445,0.004079534516004678
5.180721619213711e-05,1067.4548168182373,4.3240440682212794e-05,17,17,1071.2017631530762,8.566775509924314e-06,1714589278.583717,0.0007437801380041603
1.2271369800353534e-06,1129.0641911029816,9.20948467578939e-07,18,18,1132.8107767105103,3.0618851245641456e-07,1714589340.1927307,0.00020835552624127142
2.19081426589673e-08,1187.7622439861298,1.5414954808145967e-08,19,19,1191.5080633163452,6.4931878508213326e-09,1714589398.8900173,0.0001916827524979424
1.0116660941408518e-08,1248.804209470749,7.128697916272156e-09,20,20,1252.5506148338318,2.987963025136362e-09,1714589459.9325688,0.00019160763957460652
1.0093869921426434e-08,1306.9543633460999,7.110622900943242e-09,21,21,1310.7032811641693,2.983247020483192e-09,1714589518.085235,0.00019158180916366022
1.0093456364869044e-08,1364.775194644928,7.110294244347112e-09,22,22,1368.521731853485,2.983162120521931e-09,1714589575.9036858,0.00019157977869912983
1.009316109464248e-08,1424.203314781189,7.109506804110636e-09,23,23,1427.9497017860413,2.9836542905318445e-09,1714589635.3316557,0.0001915733082794774
1.0093000837285034e-08,1481.7413206100464,7.109804385696442e-09,24,24,1485.487782239914,2.983196451588593e-09,1714589692.8697362,0.0001915541966746311
1.0092836715932278e-08,1541.1596200466156,7.109816406819902e-09,25,25,1544.9061200618744,2.9830203091123767e-09,1714589752.288074,0.00019156097107817354
1.0092714997058107e-08,1600.059638261795,7.1093521568072555e-09,26,26,1603.8082611560822,2.9833628402508526e-09,1714589811.190215,0.0001915459954916735
1.0092616103758679e-08,1666.156378030777,7.109504073888241e-09,27,27,1669.9024195671082,2.9831120298704377e-09,1714589877.2843735,0.0001915312876245286
1.009247352101863e-08,1726.776047706604,7.1094406859213645e-09,28,28,1730.5220322608948,2.983032835097266e-09,1714589937.9039862,0.0001915309514352186
1.009237456078455e-08,1785.230474948883,7.109122156483803e-09,29,29,1788.9767322540283,2.9832524043007465e-09,1714589996.3586862,0.00019153899506659634
1.0092284537722554e-08,1846.9092304706573,7.1094012088700544e-09,30,30,1850.6555831432343,2.982883328852499e-09,1714590058.037537,0.00019152539647613223
1.0092227435127834e-08,1904.919305562973,7.109489540193997e-09,31,31,1908.665904045105,2.982737894933837e-09,1714590116.047858,0.00019154261797981343
1.0092201502502893e-08,1980.1166503429413,7.1090723128938706e-09,32,32,1983.864601612091,2.983129189609022e-09,1714590191.2465556,0.00019152469491173194
1.0092103847272742e-08,2056.971956729889,7.109123789147584e-09,33,33,2060.717822790146,2.9829800581251573e-09,1714590268.0997767,0.00019152222606692154
1.0092035566348498e-08,2143.343450307846,7.1088151878964145e-09,34,34,2147.089566707611,2.9832203784520833e-09,1714590354.4715207,0.0001914855850150319
1.0091929563633232e-08,2220.1188287734985,7.109835081402099e-09,35,35,2223.8655545711517,2.9820944822311337e-09,1714590431.2475085,0.00019147890795225437
1.0091853881172959e-08,2325.3025863170624,7.109793796623595e-09,36,36,2329.0505468845367,2.9820600845493646e-09,1714590536.4325008,0.00019149750582618747
1.0091740951975527e-08,2402.7374515533447,7.108784650013252e-09,37,37,2406.484110355377,2.982956301962275e-09,1714590613.8660643,0.00019149632794710948
1.0091605227433586e-08,2480.950100183487,7.108383104558372e-09,38,38,2484.6959557533264,2.9832221228752148e-09,1714590692.0779097,0.0001914862093529894
