l2_error,loss_boundary,time,_timestamp,loss_interior,step,_step,_runtime,loss
1.5955119902953638,1.5480622822617889,1.5570263862609863,1715431281.8276372,123.25134859863059,0,0,5.861241102218628,124.79941088089237
1.627425336952739,1.5480617958087706,1.952505111694336,1715431281.9549336,123.25134555506578,1,1,5.988537549972534,124.79940735087456
1.519871270260183,1.609688675940879,2.073920726776123,1715431282.0755012,2015.0632766649096,2,2,6.109105110168457,2016.6729653408504
1.4755560817811078,1.3760974940124011,2.184286117553711,1715431282.1858594,209.9443231191306,3,3,6.219463348388672,211.320420613143
1.4255550255498703,1.3001288251085839,2.292445182800293,1715431282.2939124,113.06854473541948,4,4,6.327516317367554,114.36867356052807
1.6209239993751465,1.2013497064011405,2.4008219242095947,1715431282.4025016,96.39812499831484,5,5,6.436105489730835,97.59947470471599
1.5456309241260926,1.3163784488932042,2.506715774536133,1715431282.5096955,62.44971658260231,6,6,6.543299436569214,63.76609503149552
1.72234198155165,1.2426396550369367,2.6127254962921143,1715431282.6140792,37.871850344598805,7,7,6.647683143615723,39.114489999635744
1.87534864329096,1.5378933589055228,2.7171847820281982,1715431282.7187405,28.470217859080627,8,8,6.752344369888306,30.00811121798615
2.2803344079722403,1.7849798768235998,2.8219709396362305,1715431282.8234956,19.493462930978474,9,9,6.857099533081055,21.278442807802072
2.4233344495138485,2.6891288595121385,2.9282071590423584,1715431282.929779,10.843848820573383,10,10,6.963382959365845,13.532977680085521
2.359894900017747,2.983061606795872,3.0325117111206055,1715431283.0340009,7.705259150859771,11,11,7.0676047801971436,10.688320757655642
1.9389739848169782,2.8946059062611367,3.137298822402954,1715431283.1386065,5.555752908026996,12,12,7.172210454940796,8.450358814288133
1.1686599492516978,1.9528957431622649,3.2308218479156494,1715431283.2321253,3.7952620670580015,13,13,7.265729188919067,5.748157810220267
0.7856790032208456,0.8177671381905239,3.3236472606658936,1715431283.3249567,3.1473488503244917,14,14,7.358560562133789,3.9651159885150156
0.662865133402512,0.44387037432495163,3.418010950088501,1715431283.41935,2.6628008214783274,15,15,7.452953815460205,3.106671195803279
0.6422460344055939,0.36656206607000325,3.5122203826904297,1715431283.5135121,2.1115437928824314,16,16,7.547116041183472,2.4781058589524347
0.6279844584151542,0.3562162176515768,3.6086881160736084,1715431283.6099958,1.762019465925214,17,17,7.64359974861145,2.1182356835767906
0.5863244205070831,0.33759590750927043,3.702634811401367,1715431283.70393,1.5409754353244516,18,18,7.737533807754517,1.878571342833722
0.5401904655219197,0.2976859585482673,3.7962634563446045,1715431283.797517,1.3123615508753925,19,19,7.83112096786499,1.61004750942366
0.48902066140631123,0.2563447630936298,3.890376091003418,1715431283.8916798,1.1554312859016247,20,20,7.925283670425415,1.4117760489952544
0.44472605781007224,0.20905576449691693,3.9858202934265137,1715431283.9871063,0.9999549257410444,21,21,8.020710229873657,1.2090106902379614
0.4077773603289287,0.17489267705426897,4.080342054367065,1715431284.081642,0.8364565544161088,22,22,8.115245819091797,1.0113492314703778
0.38463983702589627,0.1483274335611854,4.186535835266113,1715431284.1880817,0.7136064613751969,23,23,8.221685647964478,0.8619338949363823
0.3542305907343731,0.1333208259751387,4.291627645492554,1715431284.2931108,0.6540561229061227,24,24,8.326714754104614,0.7873769488812614
0.33463094255611686,0.11474486019891623,4.394949674606323,1715431284.396501,0.5468486703045281,25,25,8.430104970932007,0.6615935305034444
0.31449641021936714,0.10367398365106394,4.500741243362427,1715431284.502346,0.4960725380448758,26,26,8.535949945449829,0.5997465216959397
0.2916056542772595,0.09227915609459275,4.5959954261779785,1715431284.5972984,0.43163380817883645,27,27,8.630902290344238,0.5239129642734293
0.2693954770957377,0.08021274047058148,4.689752817153931,1715431284.6910548,0.3688501613667889,28,28,8.724658727645874,0.44906290183737035
0.258184662343104,0.06894409272842768,4.78324294090271,1715431284.7844994,0.30021732903815546,29,29,8.818103313446045,0.3691614217665831
0.2529696586717532,0.06328373810035608,4.876510143280029,1715431284.8778114,0.25236413018870296,30,30,8.911415338516235,0.31564786828905905
0.24878157936038575,0.060342966474351376,4.970519542694092,1715431284.9718318,0.21076454336311112,31,31,9.005435705184937,0.2711075098374625
0.24268548196099649,0.05849470901623727,5.063658237457275,1715431285.0649533,0.19249637970461017,32,32,9.098557233810425,0.2509910887208474
0.2354186631098897,0.055875113871649944,5.161764860153198,1715431285.1630328,0.1665506103742282,33,33,9.19663667678833,0.22242572424587814
0.2278903915346169,0.0529554182970248,5.255329132080078,1715431285.2565935,0.15053379619265653,34,34,9.290197372436523,0.20348921448968132
0.2184404067506946,0.050065828167656735,5.349411249160767,1715431285.3507128,0.13300226182465044,35,35,9.384316682815552,0.18306808999230717
0.2109908351238748,0.04654304486161776,5.4437010288238525,1715431285.4450135,0.1179598623383439,36,36,9.478617429733276,0.16450290719996166
0.2049907372133649,0.04367650918316209,5.537224054336548,1715431285.5385287,0.10689568057515525,37,37,9.572132587432861,0.15057218975831735
0.19916982577967265,0.041425661844585134,5.631738662719727,1715431285.6330385,0.09948664494922456,38,38,9.666642427444458,0.1409123067938097
0.19391907473886563,0.03937499241448724,5.725496768951416,1715431285.726786,0.09191170652009642,39,39,9.760389804840088,0.13128669893458367
0.18971333148996136,0.0373754434242002,5.830744504928589,1715431285.8324769,0.0851124297514372,40,40,9.86608076095581,0.12248787317563739
0.18105218501944656,0.033308297946011665,6.030434608459473,1715431286.031729,0.06870087315307287,42,41,10.065332889556885,0.10200917109908453
