step,_runtime,_timestamp,loss,time,l2_error,loss_boundary,loss_interior,_step
0,5.268710136413574,1714585143.3390002,122.18549486955206,1.2365126609802246,1.5895087894072342,1.5021347655867303,120.68336010396533,0
1,5.535065650939941,1714585143.6053557,122.06686203826744,1.726586103439331,1.865277639206037,1.496614304203064,120.57024773406438,1
2,5.954211235046387,1714585144.0245013,105.88351641423837,2.1456868648529053,1.1067254028248896,1.7046548659334881,104.17886154830488,2
3,6.442699670791626,1714585144.5129898,91.86640774722977,2.6341092586517334,1.594267571232392,0.5445441792240092,91.32186356800577,3
4,7.062666416168213,1714585145.1329565,59.49400359388764,3.2521133422851562,2.545324179181896,1.394432703802443,58.0995708900852,4
5,7.851294755935669,1714585145.9215848,39.26720735141495,4.041378974914551,0.7946157039595502,3.4640301910064326,35.803177160408524,5
6,8.586870670318604,1714585146.6571608,17.37781365676617,4.778318166732788,1.0368357676231421,0.4665559553819384,16.91125770138423,6
7,9.391093730926514,1714585147.4613838,11.70430296378273,5.582540273666382,0.6065408678326284,0.6222735286446508,11.082029435138079,7
8,10.261779308319092,1714585148.3320694,4.221303590207767,6.453244924545288,0.41338591727206303,0.28754266035917214,3.933760929848595,8
9,11.243259906768799,1714585149.31355,1.4428220016078026,7.434670686721802,0.3394020990979129,0.15180155434965334,1.2910204472581492,9
10,12.048523426055908,1714585150.1188135,0.1790673197644443,8.239974021911621,0.24235952834662627,0.1012739717169855,0.07779334804745877,10
11,13.251280546188354,1714585151.3215706,0.0899631488758263,9.44249176979065,0.13815172214684382,0.04530305449996221,0.04466009437586407,11
12,15.035680055618286,1714585153.1059701,0.030762180868497135,11.22711992263794,0.0675573122171057,0.014037131758969154,0.016725049109527983,12
13,16.90689706802368,1714585154.9771872,0.010945969128722961,13.09799337387085,0.052098676485167125,0.003926446430741342,0.007019522697981619,13
14,19.49084496498108,1714585157.561135,0.007237465284129953,15.682238340377808,0.05003878654739317,0.002614272962195162,0.004623192321934791,14
15,20.244307041168213,1714585158.3145971,0.006870453569963494,16.435773372650146,0.0491743237084729,0.002378356469196931,0.004492097100766563,15
16,23.267560720443726,1714585161.3378508,0.0064206967295718075,19.458966732025146,0.047569934390840105,0.0022148814149675873,0.00420581531460422,16
17,24.11409044265747,1714585162.1843805,0.0055908129343124075,20.305506944656372,0.049233163434533135,0.0020859852193019553,0.0035048277150104526,17
18,28.297905206680298,1714585166.3681953,0.005408801088317001,24.489062070846558,0.04852204783252044,0.002087057284833483,0.0033217438034835174,18
19,29.180877208709717,1714585167.2511673,0.005174396227534192,25.372227907180786,0.048989998761078894,0.0019846274608922142,0.0031897687666419786,19
20,30.96097445487976,1714585169.0312645,0.005081626769328778,27.152385234832764,0.04992017365241321,0.001933731193847308,0.0031478955754814706,20
21,31.79709482192993,1714585169.867385,0.004968192288147468,27.98843765258789,0.04949899941916726,0.001913326305239065,0.0030548659829084035,21
22,34.24534630775452,1714585172.3156364,0.0046756874529305945,30.436532020568848,0.04990280776888678,0.001839706277894015,0.0028359811750365794,22
23,34.86953806877136,1714585172.9398282,0.004537688938861693,31.060944318771362,0.04876110166500885,0.0018087263331925101,0.0027289626056691834,23
24,35.69998574256897,1714585173.7702758,0.004240030676995627,31.89137315750122,0.047452400836660275,0.0017156031590679487,0.002524427517927678,24
25,40.16255593299866,1714585178.232846,0.0038917530706000522,36.353595495224,0.04623393755292043,0.0016256877599533294,0.0022660653106467226,25
26,40.81930065155029,1714585178.8895907,0.0035439811735370817,37.01069760322571,0.04527051403671806,0.0015484983742485251,0.0019954827992885566,26
27,42.03964400291443,1714585180.109934,0.003427605257813218,38.23107433319092,0.04419229518631631,0.0014741685666413713,0.0019534366911718466,27
28,42.73524737358093,1714585180.8055375,0.003293497832246267,38.92666268348694,0.04309052201362039,0.0014008888772856526,0.0018926089549606145,28
29,44.28394532203674,1714585182.3542354,0.003143437740304539,40.47527623176575,0.04201866260582858,0.001330706085186012,0.001812731655118527,29
30,44.97565245628357,1714585183.0459425,0.0030420727586269306,41.16705322265625,0.040851209603207136,0.001257583974896021,0.0017844887837309097,30
31,45.78218698501587,1714585183.852477,0.0029190526974657424,41.973618268966675,0.03968532296141437,0.0011872525753570918,0.0017318001221086506,31
32,50.25337600708008,1714585188.323666,0.0027705563752669403,46.444501876831055,0.03843281815038914,0.0011212939634747015,0.0016492624117922386,32
33,50.822368144989014,1714585188.8926582,0.002674371410106122,47.01374912261963,0.037500696158993485,0.0010514903705102587,0.001622881039595863,33
34,51.6367826461792,1714585189.7070727,0.0025790553969959685,47.82817983627319,0.036472058921529174,0.0009998346173762842,0.0015792207796196842,34
35,52.77944850921631,1714585190.8497386,0.0025195943712444584,48.97084140777588,0.03544520828125186,0.0009428971784828979,0.0015766971927615606,35
36,53.43984627723694,1714585191.5101364,0.0024136692579382227,49.63123178482056,0.034393119736939724,0.0008886495102862226,0.001525019747652,36
37,56.216455698013306,1714585194.2867458,0.002289010812247151,52.407840967178345,0.032772884268495756,0.0008363598832389828,0.0014526509290081681,37
38,56.84546232223511,1714585194.9157524,0.0021693804773002213,53.03686714172363,0.03126192120771821,0.0007507524707945386,0.0014186280065056828,38
39,57.7556631565094,1714585195.8259532,0.0020266380040774665,53.94697093963623,0.029710305766263066,0.0006772849057412263,0.0013493530983362402,39
40,58.962186336517334,1714585197.0324764,0.0019522444449381515,55.153300762176514,0.02796868519643878,0.0006056444523236691,0.0013465999926144823,40
42,64.1814501285553,1714585202.2517402,0.001715432641656682,60.37279963493347,0.021091261167383954,0.00047254060412777946,0.0012428920375289025,41
