time,loss_interior,l2_error,_timestamp,loss_boundary,step,_runtime,loss,_step
1.1969482898712158,123.25134859863059,1.5955122172853817,1730044187.4882295,1.5480622822617889,0,1.9260084629058838,124.79941088089237,0
1.63377046585083,123.01450249449452,1.5987942223918705,1730044187.7173028,1.598335412171707,1,2.1550817489624023,124.61283790666623,1
1.961319923400879,117.48323760689635,1.5396550642294762,1730044188.04383,1.6918168058630523,2,2.4816088676452637,119.17505441275941,2
2.3729469776153564,115.86203172570364,1.9787789434658811,1730044188.4555311,1.3616188888386418,3,2.893310070037842,117.2236506145423,3
3.165196180343628,104.745008269111,4.302232821719879,1730044189.248021,2.2135631660560677,4,3.6857998371124268,106.95857143516706,4
4.222595691680908,96.67779365701216,2.2387856139761304,1730044190.3053985,8.867433923741912,5,4.74317741394043,105.54522758075407,5
5.09166145324707,82.5428320831089,0.8208234749697544,1730044191.1745172,3.114584353680698,6,5.612296104431152,85.6574164367896,6
6.413968801498413,13.843238997722963,0.8314819089301142,1730044192.4968264,0.48234445065207504,7,6.934605360031128,14.325583448375038,7
7.654442548751831,2.3862051690823494,0.12027794053819954,1730044193.737257,0.417716248711437,8,8.175035953521729,2.803921417793786,8
8.910947322845459,0.30729587371598666,0.07112234619355397,1730044194.9938703,0.013876492758753009,9,9.431649208068848,0.3211723664747397,9
10.480279207229614,0.036872846516383236,0.050209319849588,1730044196.5631092,0.0045612290921085335,10,11.000888109207153,0.04143407560849177,10
12.223446130752563,0.021207880667242964,0.034712107599741124,1730044198.3062537,0.002384289329465104,11,12.744032621383667,0.023592169996708066,11
14.719582557678223,0.009502260514184246,0.02550757464964371,1730044200.8026369,0.0012026810029067134,12,15.240415811538696,0.01070494151709096,12
17.090139627456665,0.006581090717691246,0.020715243517657817,1730044203.1729574,0.0006027082747300967,13,17.61073637008667,0.007183798992421343,13
19.994231939315796,0.0047033602973778526,0.02145602758005822,1730044206.0770655,0.0004538120375644865,14,20.51484441757202,0.005157172334942339,14
22.978696823120117,0.0035960398786706476,0.025128761200283966,1730044209.061505,0.0005029930277431274,15,23.499284029006958,0.004099032906413775,15
25.921025037765503,0.0037445547157847264,0.017499137341522072,1730044212.0038478,0.0004180589704272054,16,26.44162678718567,0.004162613686211932,16
28.09785008430481,0.0025808582402226366,0.013890340797166714,1730044214.1806645,0.00028575125360818826,17,28.618443489074707,0.0028666094938308248,17
32.53658080101013,0.00213138247492375,0.012408738524339758,1730044218.6196299,0.00015475778949818175,18,33.057408809661865,0.0022861402644219317,18
35.790480852127075,0.002034044791873571,0.01290081300986478,1730044221.8733222,0.00014472851535259784,19,36.31110119819641,0.002178773307226169,19
38.4572548866272,0.0015639483845397344,0.013340644589219497,1730044224.540049,0.000113988765728255,20,38.97782802581787,0.0016779371502679895,20
44.81152534484863,0.0013088159451622244,0.008453631187834187,1730044230.8943484,0.00012151766194609216,21,45.33212733268738,0.0014303336071083165,21
46.274818658828735,0.0008546338787660062,0.008314090100423974,1730044232.3576975,7.2451202213223e-05,22,46.79547643661499,0.0009270850809792292,22
52.82715964317322,0.0008483709228210267,0.008761017027938668,1730044238.9101949,6.39838841999587e-05,23,53.34797382354736,0.0009123548070209854,23
55.139469385147095,0.0006990279288964573,0.00835343104117953,1730044241.2223496,7.068987019889824e-05,24,55.660128593444824,0.0007697177990953556,24
61.76566410064697,0.0005992926536278283,0.00797328492748193,1730044247.8484757,6.767397949841228e-05,25,62.28625464439392,0.0006669666331262405,25
64.08581805229187,0.00054976657773968,0.008296689280474086,1730044250.1686215,5.504811096868785e-05,26,64.60640048980713,0.0006048146887083679,26
65.87604713439941,0.0005208729267677125,0.008151839832179816,1730044251.9588823,5.479881497372849e-05,27,66.3966612815857,0.000575671741741441,27
67.5721971988678,0.0005021963217654895,0.007998645751315453,1730044253.655029,5.65224959242599e-05,28,68.09280800819397,0.0005587188176897494,28
73.79201054573059,0.00048555587699374594,0.006050864313445318,1730044259.8749027,5.978005785610223e-05,29,74.31268167495728,0.0005453359348498481,29
75.27077293395996,0.0005269311725924172,0.004866343234943036,1730044261.353586,3.278369908635533e-05,30,75.79136490821838,0.0005597148716787725,30
81.87543082237244,0.0004915688653114913,0.004139000388670009,1730044267.9584928,2.2516120733374994e-05,31,82.39627170562744,0.0005140849860448662,31
83.67688536643982,0.0004319981931424004,0.003800883002007783,1730044269.7597468,2.185773597930086e-05,32,84.1975257396698,0.00045385592912170126,32
88.25013041496277,0.0004347657717918707,0.004985594446768438,1730044274.3329701,1.664815055712345e-05,33,88.77074909210205,0.0004514139223489941,33
89.87174844741821,0.00039340092379504347,0.006522171089649108,1730044275.9545724,2.3723967788018e-05,34,90.39235138893127,0.00041712489158306145,34
91.7986421585083,0.00037689103071190385,0.006409260638604527,1730044277.881434,2.999747993477997e-05,35,92.31921291351318,0.00040688851064668384,35
98.22034358978271,0.0003297352304137212,0.009316811550939486,1730044284.303186,3.2479722452352315e-05,36,98.74096488952637,0.0003622149528660735,36
100.0976254940033,0.0002707730137399576,0.010244644178647335,1730044286.1804304,5.066822639275402e-05,37,100.61820936203003,0.0003214412401327116,37
106.4955198764801,0.00023618533241742066,0.011223924873160478,1730044292.578395,5.7754034031679875e-05,38,107.01617383956909,0.00029393936644910056,38
111.508780002594,0.00018205716427448278,0.009981434674956975,1730044297.591782,6.950493767685976e-05,39,112.02956104278564,0.00025156210195134254,39
113.32429647445679,0.00014899853497886374,0.00946582442876588,1730044299.4072273,4.771174321530779e-05,40,113.84500622749329,0.00019671027819417153,40
