loss_boundary,_step,_runtime,loss,step,time,l2_error,_timestamp,loss_interior
1.5021347655867303,0,6.913961887359619,122.18549486955206,0,1.4773011207580566,1.5882573185080169,1714835028.752065,120.68336010396533
1.5021342134056452,1,7.0467164516448975,122.18549096073774,1,2.4007797241210938,2.9368723523997446,1714835028.8848195,120.6833567473321
4.943328012265613,2,7.148941993713379,37001.77994567343,2,2.5033926963806152,3.1423533179845506,1714835028.987045,36996.83661766116
5.316643873261555,3,7.248470306396484,1567.6013232558437,3,2.6037325859069824,3.138403806853248,1714835029.0865734,1562.2846793825822
5.273685322718596,4,7.345305681228638,280.93196203483006,4,2.700594902038574,3.123980777684736,1714835029.1834087,275.65827671211144
5.198907250022427,5,7.440834045410156,148.48533481380605,5,2.7960877418518066,3.0558676461278873,1714835029.278937,143.28642756378363
4.941524597364578,6,7.537424087524414,118.98676413675246,6,2.8913097381591797,2.7462550057068027,1714835029.3755271,114.04523953938788
3.899725429408214,7,7.632534742355347,88.45372191922456,7,2.9878125190734863,2.1657222572264927,1714835029.4706378,84.55399648981636
2.378293597152764,8,7.729413032531738,51.02548598325357,8,3.084707260131836,2.1134708590954356,1714835029.567516,48.647192386100805
2.229476605844485,9,7.825493574142456,35.86218038540451,9,3.180091381072998,1.7564153628568735,1714835029.6635966,33.632703779560025
1.5483458422037484,10,7.922596454620361,26.116783148257255,10,3.2778728008270264,1.477375728540268,1714835029.7606995,24.568437306053507
1.1514136786427798,11,8.017231941223145,19.46471534069993,11,3.372506618499756,1.2906337354184083,1714835029.855335,18.31330166205715
0.8733945326789968,12,8.113264083862305,11.600423711593944,12,3.4683923721313477,0.9114451840103722,1714835029.9513671,10.727029178914947
0.46028302491892636,13,8.219281196594238,8.516679894907961,13,3.5737650394439697,0.5687888573083407,1714835030.0573843,8.056396869989035
0.23642679176706333,14,8.317763090133667,6.229601001930921,14,3.672436475753784,0.5112591590595902,1714835030.1558661,5.993174210163858
0.1975062748402042,15,8.415459156036377,4.399839515742216,15,3.7700486183166504,0.51489842793959,1714835030.2535622,4.2023332409020115
0.19900464646310354,16,8.525224685668945,3.4932645727764435,16,3.879802703857422,0.4918003744202359,1714835030.3633277,3.29425992631334
0.18425670222949872,17,8.623830795288086,2.816179047021822,17,3.978456735610962,0.47365452231505123,1714835030.4619339,2.6319223447923235
0.1699189018470833,18,8.720885038375854,2.312735452714117,18,4.075537919998169,0.46433269728790594,1714835030.558988,2.1428165508670336
0.16217442087507136,19,8.817529916763306,1.9914641969758249,19,4.17282772064209,0.41963003256090226,1714835030.655633,1.8292897761007536
0.13914696509218852,20,8.913458585739136,1.6264195265205372,20,4.268618822097778,0.38426897570625745,1714835030.7515616,1.4872725614283486
0.1186193894028421,21,9.00936508178711,1.4095226249195514,21,4.363964319229126,0.3716214764187847,1714835030.8474681,1.2909032355167094
0.1113235058076872,22,9.109529495239258,1.280500133402084,22,4.464193105697632,0.35292137412152785,1714835030.9476326,1.1691766275943969
0.10071726576644374,23,9.208997249603271,1.125429749265906,23,4.563620567321777,0.32624941820924785,1714835031.0471003,1.0247124834994623
0.08783563660892328,24,9.304897546768188,0.970270111239505,24,4.65953803062439,0.3051114922882031,1714835031.1430006,0.8824344746305818
0.08055224344479156,25,9.403904438018799,0.8773303308207339,25,4.758496999740601,0.26853263497084545,1714835031.2420075,0.7967780873759424
0.06953176682855514,26,9.501479864120483,0.728869988391504,26,4.856157064437866,0.24857773399018449,1714835031.339583,0.6593382215629489
0.06367197473697656,27,9.599327802658081,0.6203334492915944,27,4.953948020935059,0.24045901119008242,1714835031.4374309,0.5566614745546178
0.06119618717904397,28,9.697465181350708,0.546574405488173,28,5.05211877822876,0.23735441417649505,1714835031.5355682,0.4853782183091291
0.060292057661855476,29,9.794765949249268,0.48339699228046823,29,5.149348020553589,0.22984623544973087,1714835031.632869,0.42310493461861276
0.05640309059267741,30,9.89362621307373,0.39722602618716485,30,5.248198986053467,0.2190915749822176,1714835031.7317293,0.34082293559448745
0.05038895812413189,31,9.990415811538696,0.3306185873095747,31,5.345666170120239,0.21598616134980905,1714835031.8285189,0.2802296291854428
0.048146634921333045,32,10.086974620819092,0.27983503030775836,32,5.442071437835693,0.2161371411042476,1714835031.9250777,0.23168839538642533
0.04723770930726086,33,10.18374228477478,0.24057713905711897,33,5.538862466812134,0.21070609667388945,1714835032.0218453,0.1933394297498581
0.043908717198740316,34,10.279390335083008,0.20184810371492354,34,5.634528160095215,0.20382546561842682,1714835032.1174934,0.15793938651618322
0.04135475311569687,35,10.377174854278564,0.17560504361606158,35,5.73223614692688,0.19791806940643444,1714835032.215278,0.13425029050036472
0.03967870100157585,36,10.47447395324707,0.15668014633292005,36,5.829571723937988,0.1888715002133876,1714835032.312577,0.11700144533134418
0.037021833414814964,37,10.574604749679565,0.13874909627713566,37,5.92967963218689,0.1826631432570146,1714835032.4127078,0.10172726286232071
0.03530322156908223,38,10.671430826187134,0.12439619287763073,38,6.025979518890381,0.1796470483408703,1714835032.509534,0.0890929713085485
0.034429215437123434,39,10.766900300979614,0.11406725569101282,39,6.122138261795044,0.1754343219329255,1714835032.6050034,0.07963804025388939
0.03298920141725915,40,10.862936735153198,0.10334925684675592,40,6.218024015426636,0.17095495813959813,1714835032.7010398,0.07036005542949678
0.030302746481718996,41,11.050226926803589,0.08637983638342087,42,6.4053614139556885,0.16339500729931633,1714835032.88833,0.05607708990170186
0.024386760956234994,42,11.426462650299072,0.06494094335428752,46,6.781505346298218,0.1507743024790325,1714835033.2645657,0.040554182398052516
