loss_boundary,loss,step,loss_interior,_step,_runtime,l2_error,time,_timestamp
1.5480622822617889,124.79941088089237,0,123.25134859863059,0,7.0894434452056885,1.5234255193141217,1.7204720973968506,1715418324.1908555
1.415848589281261,123.61773156257559,1,122.20188297329432,1,7.269513368606567,1.7086660429479377,2.540452003479004,1715418324.3709254
1.378785870435897,106.67353211083041,2,105.29474624039452,2,7.441395998001099,0.7672641142531449,2.713883876800537,1715418324.542808
0.3417989422233436,81.74676635075117,3,81.40496740852782,3,7.614551067352295,0.9109389706559142,2.8870532512664795,1715418324.7159631
0.457758406581679,79.70744297043244,4,79.24968456385076,4,7.785795211791992,1.2922124445637828,3.058225154876709,1715418324.8872073
0.8613055838256441,71.86262102564282,5,71.00131544181718,5,7.958315372467041,1.5734578952116072,3.230776309967041,1715418325.0597274
1.3202722649130123,60.03051657092909,6,58.71024430601607,6,8.135195255279541,1.6504404831415929,3.40761137008667,1715418325.2366073
1.5378085173066827,54.31650391513085,7,52.77869539782417,7,8.308825492858887,1.7018922367579057,3.581289768218994,1715418325.4102376
1.7599917024500693,50.84716388739818,8,49.08717218494811,8,8.483303308486938,1.7220573543791888,3.7556538581848145,1715418325.5847154
1.8653724543768406,50.14717688296505,9,48.28180442858821,9,8.654388427734375,1.7340136721965915,3.926783323287964,1715418325.7558005
1.948873883318886,49.52539406695987,10,47.57652018364098,10,8.825265645980835,1.7390345854914597,4.097627878189087,1715418325.9266777
2.0077684756651766,48.6793552107129,11,46.671586735047725,11,8.996368408203125,1.7452816622082499,4.268802881240845,1715418326.0977805
2.084177311833225,46.791179497275806,12,44.70700218544258,12,9.169456958770752,1.747269664389404,4.4418628215789795,1715418326.270869
2.1048479097401405,44.91699785023356,13,42.81214994049342,13,9.341126918792725,1.7252614742522137,4.6135077476501465,1715418326.442539
2.035603589814028,42.71685645705069,14,40.68125286723666,14,9.505896091461182,1.5278098999770258,4.778181314468384,1715418326.6073081
1.5767598788530215,38.94467577134546,15,37.367915892492434,15,9.671201467514038,1.0170845539134186,4.943503141403198,1715418326.7726135
0.7997138691563607,31.459847909984727,16,30.660134040828368,16,9.835687160491943,1.0498452967313365,5.107873201370239,1715418326.9370992
0.7724619031941244,28.3051812083228,17,27.532719305128676,17,10.00631046295166,1.2027307934109341,5.2783403396606445,1715418327.1077225
0.9214066650659549,26.512718613326307,18,25.59131194826035,18,10.18116569519043,1.560249488148839,5.4532318115234375,1715418327.2825778
1.3972042182562703,23.454083286294516,19,22.056879068038246,19,10.360946416854858,1.6992960808027715,5.63280725479126,1715418327.4623585
1.635799953319971,22.329230205203586,20,20.693430251883616,20,10.534329414367676,1.8708000701498346,5.806413888931274,1715418327.6357415
2.0104389563612375,20.66879525469194,21,18.658356298330702,21,10.70358681678772,1.901046361093012,5.975693225860596,1715418327.8049989
2.1113181031767083,20.121554509027753,22,18.010236405851046,22,10.871031522750854,1.8601212781379124,6.143197774887085,1715418327.9724436
2.116933068366453,19.009220572499668,23,16.892287504133215,23,11.036243915557861,1.7987199830957508,6.3083906173706055,1715418328.137656
2.0283525657226886,18.258729402909335,24,16.230376837186647,24,11.202471256256104,1.614749912536431,6.474633455276489,1715418328.3038833
1.7122660719597729,16.13619678029694,25,14.423930708337167,25,11.367690324783325,1.4397324729652143,6.639888286590576,1715418328.4691024
1.3866439726159892,14.652140442189124,26,13.265496469573135,26,11.53634786605835,1.4063207288636628,6.808368682861328,1715418328.63776
1.2985940467436712,14.118886984441595,27,12.820292937697923,27,11.703288316726685,1.4310286452033742,6.9753077030181885,1715418328.8047004
1.2923625088253008,13.645219163806601,28,12.3528566549813,28,11.871854782104492,1.4622970905256096,7.1438963413238525,1715418328.9732668
1.319364268994062,13.424433709503685,29,12.105069440509624,29,12.041410446166992,1.54598049416834,7.313408136367798,1715418329.1428225
1.4149332459246635,13.030696300791584,30,11.615763054866921,30,12.210415124893188,1.6367760490638188,7.482340574264526,1715418329.3118272
1.5369093876400384,12.773256080999984,31,11.236346693359945,31,12.378691911697388,1.7177511259035165,7.650665760040283,1715418329.480104
1.6603665254401676,12.386056379146666,32,10.725689853706498,32,12.549175262451172,1.836216876682991,7.82123589515686,1715418329.6505873
1.8706710337202879,11.276047420075702,33,9.405376386355414,33,12.718928337097168,1.868325933699392,7.990848064422607,1715418329.8203404
1.9591514116879172,10.053778663385147,34,8.09462725169723,34,12.888357162475586,1.8325376444070451,8.160349607467651,1715418329.9897692
1.9155649956214205,9.49963782108384,35,7.584072825462421,35,13.057358026504517,1.7574715307483473,8.32934832572937,1715418330.15877
1.8026702118637092,9.095920572448817,36,7.293250360585107,36,13.226330041885376,1.7101253396261173,8.4983069896698,1715418330.327742
1.7280447060343458,8.93592722616381,37,7.2078825201294645,37,13.396411418914795,1.6074770206325948,8.668441772460938,1715418330.4978235
1.5638122613791678,8.592866340418302,38,7.029054079039134,38,13.564934492111206,1.4078314400413097,8.836915493011475,1715418330.6663465
1.2480834393074447,8.123897295287984,39,6.87581385598054,39,13.736757755279541,1.2873944095647656,9.008755683898926,1715418330.8381698
1.0473412021445934,7.2761879066192865,40,6.228846704474694,40,13.906099081039429,1.2799094569656428,9.177963256835938,1715418331.0075111
1.039964627361523,6.269798416977805,42,5.229833789616282,41,14.239743947982788,1.3324523943150688,9.511703491210938,1715418331.341156
1.1369177334261258,5.219880576414578,46,4.082962842988453,42,14.907451152801514,1.3197598718462344,10.179353475570679,1715418332.0088632
0.8529377790477152,3.8845590839458475,50,3.0316213048981324,43,15.57227087020874,1.0582671331625557,10.84405779838562,1715418332.673683
